Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,17,1 True,
2,ahora,,28,,1 True,para,20,1 True,
3,,ahorra,,89,2,para,28,1 True,
4,(uno),,,,,para,23,1 True,
5,vara,,23,,1 True,para,29,1 True,
6,,barra,,71,2,para,28,1 True,
7,(pata),,,,,para,24,1 True,
8,coral ,,27,,1 True,para,22,1 True,
9,,corral,,88,2,para,24,1 True,
10,(duelo),,,,,para,23,1 True,
11,caro,,25,,1 True,para,22,1 True,
12,,carro,,93,2,para,26,1 True,
13,(cuna),,,,,para,25,1 True,
14,pera,,25,,1 True,para,25,1 True,
15,,perra,,108,3,para,17,1 True,
16,(huelo),,,,,para,N/A,perceptual,AUDIO 2
17,careta,,28,,1 True,para,21,1 True,
18,,carreta,,96,2,para,28,1 True,
19,(cena),,,,,para,24,1 True,
20,encerar,,28,,1 True,para,24,1 True,
20b,encerar,,22,,1 True,,,,
21,,encerrar,,149,3,para,25,1 True,
21b,encerrar,,27,,1 True,,,,
22,(pena),,,,,para,24,1 True,
23,perito,,27,,1 True,para,20,1 True,
24,,perrito,,78,2,para,21,1 True,
25,(invita),,,,,para,25,1 True,
26,pero,,23,,1 True,para,26,1 True,
27,,perro,,131,3,para,26,1 True,
28,(incita),,,,,para,24,1 True,
29,cero,,28,,1 True,para,20,1 True,
30,,cerro,,112,2,para,26,1 True,
31,(pato),,,,,para,23,1 True,AUDIO 3
32,,reto,,74,1,para,24,1 True,
33,,rifa,,62,1,para,26,1 True,
34,(cometa),,,,,para,24,1 True,
35,,risa,,69,1,para,27,1 True,
36,,rojo,,128,3,para,31,1 True,
37,(gato),,,,,para,27,1 True,
38,,ropa,,131,3,para,27,1 True,
39,,borracho,,124,3,para,27,1 True,
40,(hilo),,,,,para,29,1 True,
41,,carreta,,69,1,para,23,1 True,
42,,perrita,,81,2,para,26,1 True,
43,(cono),,,,,para,30,1 True,
44,,jarrita,,82,1,para,24,1 True,
45,,barrilete,,112,2,para,16,1 True,
46,(camisa),,,,,para,26,1 True,AUDIO 4
47,,guitarra,,112,2,para,21,1 True,
48,,torre,,84,2,para,22,1 True,
49,(clase),,,,,para,24,1 True,
50,,burro ,,102,2,para,30,1 True,
51,,zorro,,131,3,para,22,1 True,
52,(cómico),,,,,para,28,1 True,
53,,tierra,,132,3,para,26,1 True,
54,,sonrisa,,102,2,para,23,1 True,
55,(tiempo),,,,,para,24,1 True,
56,,alrededor,,142,3,para,20,1 True,
56b,alrededor,,24,,1 True,,,,
57,,enriquece,,119,2,para,19,1 True,
58,(mango),,,,,para,22,1 True,
59,,honrado,,142,3,para,23,1 True,
60,,israel,,119,2,para,20,1 True,
61,(cometa),,,,,para,27,1 True,AUDIO 6
62,cara,,17,,1 True,para,18,1 True,
63,madera,,25,,1 True,para,28,approximant,
64,(música),,,,,para,20,1 True,
65,cereza,,28,,1 True,para,20,1 True,
66,quiero,,19,,1 True,para,17,1 True,
67,(médico),,,,,para,24,1 True,
68,pereza,,20,,1 True,para,25,1 True,
69a,parar,,23,,1 True,,,,
69b,parar,,22,,1 True,para,21,1 True,
70,(mesa),,,,,para,22,1 True,
71a,querer,,27,,1 True,,,,
71b,querer,,27,,1 True,para,28,1 True,
72a,morir,,28,,1 True,para,18,1 True,
72b,morir,,26,,1 True,,,,
73,(amigo),,,,,para,24,1 True,
74a,mirar,,27,,1 True,,,,
74b,mirar,,21,,1 True,para,28,1 True,
75a,tirar,,23,,1 True,,,,
75b,tirar,,20,,1 True,para,21,1 True,
76,(cocina),,,,,para,25,1 True,AUDIO 7
77a,morder,,23,,1 True,,,,
77b,morder,,25,,1 True,para,20,1 True,
78a,marcar,,23,,1 True,,,,
78b,marcar,,N/A,,perceptual,para,22,1 True,
79,(tiza),,,,,para,26,1 True,
80a,cortar ,,23,,1 True,,,,
80b,cortar ,,20,,1 True,para,22,1 True,
81a,hurtar,,23,,1 True,,,,
81b,hurtar,,24,,1 True,para,26,1 True,
82,(dieta),,,,,para,22,1 True,
83a,perder,,24,,1 True,,,,
83b,perder,,17,,1 True,para,19,1 True,
84a,torero,,26,,1 True,,,,
84b,torero,,27,,1 True,para,23,1 True,
85,(agua),,,,,para,23,1 True,
86a,perecer,,25,,1 True,,,,
86b,perecer,,22,,1 True,para,18,1 True,
87a,colorear,,25,,1 True,,,,
87b,colorear,,23,,1 True,para,22,1 True,
88,(café),,,,,para,27,1 True,
89a,mercurio,,18,,1 True,,,,
89b,mercurio,,23,,1 True,para,18,1 True,
90a,arteria,,26,,1 True,,,,
90b,arteria,,28,,1 True,para,24,1 True,
91,(dibujo),,,,,para,24,1 True,AUDIO 8
92a,,radicar,,178,4,,,,
92b,radicar,,25,,1 True,para,25,1 True,
93a,,rifar,,86,2,,,,
93b,rifar,,26,,1 True,para,28,1 True,
94,(venta),,,,,para,21,1 True,
95a,,rodar,,115,2,,,,
95b,rodar,,30,,approximant,para,26,1 True,
96a,,romper,,81,2,,,,
96b,romper,,24,,1 True,para,20,1 True,
97,(siete),,,,,para,24,1 True,
98a,,rumor,,123,2,,,,
98b,rumor,,24,,1 True,para,29,1 True,
99a,,raro,,72,1,,,,
99b,raro,,22,,1 True,para,24,1 True,
100,(ocho),,,,,para,24,1 True,
101a,,ropero,,75,1,,,,
101b,ropero,,22,,1 True,para,25,1 True,
102a,,ratero,,70,1,,,,
102b,ratero,,22,,1 True,para,23,1 True,
103,(mayo),,,,,para,27,1 True,
104a,,carrera ,,112,2,,,,
104b,carrera,,25,,1 True,para,32,approximant,
105a,,rapero,,64,1,,,,
105b,rapero,,24,,1 True,para,25,1 True,Fin AUDIO 8
106,(semana),,,,,para,24,1 True,Audio 9
107a,,barrer,,101,2,para,19,1 True,
107b,barrer,,31,,approximant,,,,
108a,,correr,,122,2,para,21,1 True,
108b,correr,,21,,1 True,,,,
109,(antes),,,,,para,18,1 True,
110a,,narrar,,115,2,para,18,1 True,
110b,narrar,,24,,1 True,,,,
111a,,borrar,,96,2,para,21,1 True,
111b,borrar,,29,,1 True,,,,
112,(estoy),,,,,para,20,1 True,
113a,,cerrar ,,130,3,para,27,1 True,
113b,cerrar,,25,,1 True,,,,
114a,,derribar,,97,2,para,26,1 True,
114b,derribar,,23,,1 True,,,,
115,(común),,,,,para,18,1 True,
116a,,corregir,,117,2,para,17,1 True,
116b,corregir,,24,,1 True,,,,
117a,,irritar,,81,2,para,26,1 True,
117b,irritar,,18,,1 True,,,,
118,(menos),,,,,para,28,1 True,
119a,,interrogar,,132,3,para,21,1 True,
119b,interrogar,,29,,1 True,,,,
120a,,corredor,,84,1,para,24,1 True,
120b,corredor,,23,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,POST para x̄ =,,
,,,24.23880597,103.66,,,23.56302521,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,95,2,,,,
2,Roberto,,19,,1 True,,,,
3,para,,21,,1 True,,,,
4,,América,27,,1 True,,,,
5,Caribe,,26,,1 True,,,,
6,pérdida,,23,,1 True,,,,
7,,región,,74,2,,,,
8,,relacionada,,110,2,,,,
9,,rápida,,112,2,,,,
10,,tierras,,115,2,,,,
11,para,,20,,1 True,,,,
12,pérdida,,N/A,,perceptual,,,,
13,,desarrollo,,156,3,,,,
14,infraestructura,,28,,1 True,,,,
15,,relacionada,,88,0,,,,
16,,carreteras,,127,2,,,,
17,carreteras,,22,,1 True,,,,
18,para,,19,,1 True,,,,
19,,carros,,98,2,,,,
20,,carrozas,,116,2,,,,
21,,rotundo ,,97,2,,,,
22,productor,,22,,1 True,,,,
23,materia,,21,,1 True,,,,
24,,relevante,,105,2,,,,
25,minería,,26,,1 True,,,,
26,por,,20,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,22.61538462,107.75,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,norte,,23,,1 True,,,,
2,acerca,,20,,1 True,,,,
3,sería,,25,,1 True,,,,
4,fuerte,,20,,1 True,,,,
5,,repente,,105,2,,,,
6,viajero,,25,,1 True,,,,
7,verlo,,15,,1 True,,,,
8,convinieron,,23,,1 True,,,,
9,primero,,20,,1 True,,,,
10,consiguiera,,22,,1 True,,,,
11,quitarle,,N/A,,perceptual,,,,
12,seria,,22,,1 True,,,,
13,fuerte,,22,,1 True,,,,
14,norte,,27,,1 True,,,,
15,soplar,,24,,1 True,,,,
16,furia,,18,,1 True,,,,
17,pero,,23,,1 True,,,,
18,,aferraba,,110,2,,,,
19,norte,,20,,1 True,,,,
20,esplendor ,,23,,1 True,,,,
21,,arrojó,,129,2,,,,
22,norte,,20,,1 True,,,,
23,,reconocer,,114,2,,,,
24,reconocer,,23,,1 True,,,,
25,superioridad,,28,,1 True,,,,
26,superioridad,,N/A,,N/A,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,22.15,114.5,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
Imagen A,,Corriendo,,115,2,,,,
Imagen A,Correr,,,,,,,,
Imagen A,,Perros,,151,3,,,,
Imagen B,Caminar,,,,,,,,
Imagen B,,Arrocito,,137,3,,,,
Imagen B,,,,,,,,,
Imagen C,Caminar,,,,,,,,
Imagen C,Lavar,,,,,,,,
Imagen C,Mujer,,30,,1 True,,,,
Imagen C,,Ropa,,95,2,,,,
Imagen D,,Corre,,132,3,,,,
Imagen D,,Rápido,,114,2,,,,
Imagen D,Toro,,25,,1 True,,,,
Imagen D,Atacar,,,,,,,,
Imagen E,Lavar,,,,,,,,
Imagen E,Mujer,,22,,1 True,,,,
Imagen E,Nariz,,24,,1 True,,,,
Imagen F,Tocar,,,,,,,,
Imagen F,Mujer,,20,,1 True,,,,
Imagen F,,Guitarra,,145,3,,,,
Imagen F,,Reir,,,,,,,
Imagen F,Reir,,,,,,,,
Imagen G,Dar,,,,,,,,
Imagen G,,Rojo,,91,2,,,,
Imagen G,,Zorro,,,,,,,
Imagen G,Flor,,27,,1 True,,,,
Imagen H,,Rojo,,94,2,,,,
Imagen H,Gira,,19,,1 True,,,,
Imagen H,Girar,,,,,,,,
Imagen H,,Carro,,149,3,,,,
Imagen H,,Rápido,,120,2,,,,
,,,,,,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,23.85714286,122.0909091,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Forced choice,N/A for sp102,,,,,,,,
Preguntas,Tap,Trill,Duration,Duration ,Occlusions,,,,
1,,correr,,,,,,,
1,correr,,,,,,,,
1,caminar,,,,,,,,
2,comer,,,,,,,,
2,,restaurantes,,,,,,,
2,cocinar,,,,,,,,
3,,rojo,,,,,,,
3,,rosado,,,,,,,
4,,ropa,,,,,,,
4,cara,,,,,,,,
4,,ropa,,,,,,,
4,barata,,,,,,,,
5,peras,,,,,,,,
5,moras,,,,,,,,
6,,carro,,,,,,,
6,,carro,,,,,,,
7,,arroz,,,,,,,
7,cereal,,,,,,,,
8,cortar,,,,,,,,
8,cortar,,,,,,,,
8,comprar,,,,,,,,
9,,gorra,,,,,,,
9,,correa,,,,,,,
10,tener,,,,,,,,
10,,rutina,,,,,,,
11,limpiar,,,,,,,,
11,lavar,,,,,,,,
12,,perro,,,,,,,
12,,burro,,,,,,,
