Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,25,1 True,
2,ahora,,25,,1 True,para,35,approximant,
3,,ahorra,,40,0,para,33,approximant,
4,(uno),,,,,para,31,1 True,
5,vara,,33,,1 True,para,38,approximant,
6,,barra,,43,1,para,36,approximant,
7,(pata),,,,,para,30,1 True,
8,coral ,,26,,1 True,para,37,approximant,
9,,corral,,35,1,para,41,approximant,
10,(duelo),,,,,para,29,1 True,
11,caro,,29,,1 True,para,37,approximant,
12,,carro,,50,2,para,40,approximant,
13,(cuna),,,,,para,36,approximant,
14,pera,,31,,1 True,para,30,1 True,
15,,perra,,55,1,para,25,1 True,
16,(huelo),,,,,para,21,1 True,AUDIO 2
17,careta,,33,,1 True,para,33,approximant,
18,,carreta,,53,1,para,46,approximant,
19,(cena),,,,,para,25,1 True,
20,encerar,,27,,1 True,para,31,approximant,
20b,encerar,,24,,1 True,,,,
21,,encerrar,,39,1,para,32,approximant,
21b,encerrar,,21,,1 True,,,,
22,(pena),,,,,para,29,1 True,
23,perito,,30,,1 True,para,37,approximant,
24,,perrito,,54,,para,43,approximant,
25,(invita),,,,,para,28,1 True,
26,pero,,37,,approximant,para,38,approximant,
27,,perro,,46,1,para,41,approximant,
28,(incita),,,,,para,34,1 True,
29,cero,,26,,1 True,para,34,approximant,
30,,cerro,,46,1,para,32,approximant,
31,(pato),,,,,para,22,1 True,AUDIO 3
32,,reto,,45,1,para,24,1 True,
33,,rifa,,46,1,para,37,approximant,
34,(cometa),,,,,para,27,1 True,
35,,risa,,43,0,para,23,1 True,
36,,rojo,,50,1,para,38,approximant,
37,(gato),,,,,para,24,1 True,
38,,ropa,,43,1,para,36,approximant,
39,,borracho,,50,0,para,32,approximant,
40,(hilo),,,,,para,28,1 True,
41,,carreta,,44,1,para,26,1 True,
42,,perrita,,54,1,para,28,1 True,
43,(cono),,,,,para,29,1 True,
44,,jarrita,,56,1,para,25,1 True,
45,,barrilete,,74,0,para,N/A,perceptual,
46,(camisa),,,,,para,23,1 True,AUDIO 4
47,,guitarra,,74,2,para,36,approximant,
48,,torre,,41,1,para,42,approximant,
49,(clase),,,,,para,22,1 True,
50,,burro ,,35,1,para,21,1 True,
51,,zorro,,58,2,para,31,1 True,
52,(cómico),,,,,para,33,1 True,
53,,tierra,,53,0,para,41,approximant,
54,,sonrisa,,78,0,para,45,approximant,
55,(tiempo),,,,,para,30,1 True,
56,,alrededor,,55,1,para,23,1 True,
56b,alrededor,,30,,1 True,,,,
57,,enriquece,,67,0,para,24,1 True,
58,(mango),,,,,para,22,1 True,
59,,honrado,,64,0,para,27,1 True,
60,,israel,,67,0,para,37,approximant,
61,(cometa),,,,,para,27,1 True,AUDIO 6
62,cara,,26,,1 True,para,38,approximant,
63,madera,,24,,1 True,para,33,approximant,
64,(música),,,,,para,30,1 True,
65,cereza,,26,,1 True,para,23,1 True,
66,quiero,,26,,1 True,para,32,approximant,
67,(médico),,,,,para,29,1 True,
68,pereza,,26,,1 True,para,33,approximant,
69a,parar,,29,,1 True,,,,
69b,parar,,21,,1 True,para,22,1 True,
70,(mesa),,,,,para,30,1 True,
71a,querer,,22,,1 True,,,,
71b,querer,,21,,1 True,para,23,1 True,
72a,morir,,24,,1 True,para,25,1 True,
72b,morir,,28,,1 True,,,,
73,(amigo),,,,,para,27,1 True,
74a,mirar,,25,,1 True,,,,
74b,mirar,,29,,1 True,para,27,1 True,
75a,tirar,,26,,1 True,,,,
75b,tirar,,23,,1 True,para,23,1 True,
76,(cocina),,,,,para,27,1 True,AUDIO 7
77a,morder,,25,,1 True,,,,
77b,morder,,27,,1 True,para,26,1 True,
78a,marcar,,30,,approximant,,,,
78b,marcar,,31,,approximant,para,36,approximant,
79,(tiza),,,,,para,29,1 True,
80a,cortar ,,23,,1 True,,,,
80b,cortar ,,21,,1 True,para,23,1 True,
81a,hurtar,,20,,1 True,,,,
81b,hurtar,,21,,1 True,para,27,1 True,
82,(dieta),,,,,para,27,1 True,
83a,perder,,25,,1 True,,,,
83b,perder,,26,,1 True,para,24,1 True,
84a,torero,,30,,1 True,,,,
84b,torero,,22,,1 True,para,21,1 True,
85,(agua),,,,,para,22,1 True,
86a,perecer,,25,,1 True,,,,
86b,perecer,,21,,1 True,para,22,1 True,
87a,colorear,,30,,1 True,,,,
87b,colorear,,27,,1 True,para,34,approximant,
88,(café),,,,,para,21,1 True,
89a,mercurio,,N/A,,perceptual,,,,
89b,mercurio,,27,,1 True,para,24,1 True,
90a,arteria,,24,,1 True,,,,
90b,arteria,,34,,approximant,para,27,1 True,
91,(dibujo),,,,,para,19,1 True,AUDIO 8
92a,,radicar,,83,0,,,,
92b,radicar,,N/A,,perceptual,para,27,1 True,
93a,,rifar,,55,0,,,,
93b,rifar,,29,,1 True,para,28,1 True,
94,(venta),,,,,para,25,1 True,
95a,,rodar,,44,0,,,,
95b,rodar,,23,,1 True,para,26,1 True,
96a,,romper,,44,0,,,,
96b,romper,,27,,1 True,para,28,1 True,
97,(siete),,,,,para,29,1 True,
98a,,rumor,,54,1,,,,
98b,rumor,,34,,approximant,para,24,1 True,
99a,,raro,,70,0,,,,
99b,raro,,30,,1 True,para,28,1 True,
100,(ocho),,,,,para,26,1 True,
101a,,ropero,,37,1,,,,
101b,ropero,,29,,1 True,para,28,1 True,
102a,,ratero,,52,0,,,,
102b,ratero,,29,,1 True,para,28,1 True,
103,(mayo),,,,,para,31,1 True,
104a,,carrera ,,36,1,,,,
104b,carrera,,18,,1 True,para,28,1 True,
105a,,rapero,,60,0,,,,
105b,rapero,,21,,1 True,para,24,1 True,Fin AUDIO 8
106,(semana),,,,,para,27,1 True,Audio 9
107a,,barrer,,50,1,para,23,1 True,
107b,barrer,,23,,1 True,,,,
108a,,correr,,60,1,para,29,1 True,
108b,correr,,25,,1 True,,,,
109,(antes),,,,,para,28,1 True,
110a,,narrar,,54,1,para,30,1 True,
110b,narrar,,23,,1 True,,,,
111a,,borrar,,46,1,para,29,1 True,
111b,borrar,,30,,1 True,,,,
112,(estoy),,,,,para,24,1 True,
113a,,cerrar ,,48,1,para,29,1 True,
113b,cerrar,,29,,1 True,,,,
114a,,derribar,,35,1,para,28,1 True,
114b,derribar,,26,,1 True,,,,
115,(común),,,,,para,25,1 True,
116a,,corregir,,36,1,para,38,approximant,
116b,corregir,,25,,1 True,,,,
117a,,irritar,,52,1,para,31,approximant,
117b,irritar,,28,,1 True,,,,
118,(menos),,,,,para,27,1 True,
119a,,interrogar,,62,0,para,30,1 True,
119b,interrogar,,34,,approximant,,,,
120a,,corredor,,38,1,para,28,1 True,
120b,corredor,,31,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,POST para x̄ =,,
,,,26.53030303,51.48,,,29.41176471,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,52,1,,,,
2,Roberto,,24,,1 True,,,,
3,para,,26,,1 True,,,,
4,,América,28,,1 True,,,,
5,Caribe,,24,,1 True,,,,
6,pérdida,,29,,1 True,,,,
7,,región,,58,1,,,,
8,,relacionada,,66,0,,,,
9,,rápida,,77,0,,,,
10,,tierras,,81,0,,,,
11,para,,26,,1 True,,,,
12,pérdida,,31,,1 True,,,,
13,,desarrollo,,70,1,,,,
14,infraestructura,,27,,1 True,,,,
15,,relacionada,,70,0,,,,
16,,carreteras,,51,1,,,,
17,carreteras,,29,,1 True,,,,
18,para,,40,,approximant,,,,
19,,carros,,59,1,,,,
20,,carrozas,,69,1,,,,
21,,rotundo ,,68,0,,,,
22,productor,,28,,1 True,,,,
23,materia,,27,,1 True,,,,
24,,relevante,,39,0,,,,
25,minería,,28,,1 True,,,,
26,por,,46,,approximant,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,29.5,63.33333333,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,norte,,27,,1 True,,,,
2,acerca,,28,,1 True,,,,
3,sería,,26,,1 True,,,,
4,fuerte,,24,,1 True,,,,
5,,repente,,45,1,,,,
6,viajero,,21,,1 True,,,,
7,verlo,,46,,approximant,,,,
8,convinieron,,30,,1 True,,,,
9,primero,,25,,1 True,,,,
10,consiguiera,,32,,approximant,,,,
11,quitarle,,N/A,,perceptual,,,,
12,seria,,25,,1 True,,,,
13,fuerte,,21,,1 True,,,,
14,norte,,27,,1 True,,,,
15,soplar,,33,,approximant,,,,
16,furia,,31,,1 True,,,,
17,pero,,36,,approximant,,,,
18,,aferraba,,52,1,,,,
19,norte,,23,,1 True,,,,
20,esplendor ,,32,,approximant,,,,
21,,arrojó,,57,1,,,,
22,norte,,24,,1 True,,,,
23,,reconocer,,34,0,,,,
24,reconocer,,37,,approximant,,,,
25,superioridad,,33,,1 True,,,,
26,superioridad,,28,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,29,47,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
Imagen A,,Correr,,39,1,,,,
Imagen A,Correr,,29,,1 True,,,,
Imagen A,,Perros,,37,1,,,,
Imagen B,Caminar,,27,,1 True,,,,
Imagen B,,Arroz,,39,1,,,,
Imagen B,,,,,,,,,
Imagen C,Caminar,,27,,1 True,,,,
Imagen C,Lavar,,28,,1 True,,,,
Imagen C,Mujer,,28,,1 True,,,,
Imagen C,,Ropa,,72,0,,,,
Imagen D,,Correr,,36,1,,,,
Imagen D,Correr,,26,,1 True,,,,
Imagen D,Toro,,28,,1 True,,,,
Imagen D,Para,,29,,1 True,,,,
Imagen D,Atacar,,33,,1 True,,,,
Imagen E,Lavar,,25,,1 True,,,,
Imagen E,Mujer,,27,,1 True,,,,
Imagen E,Cara,,28,,1 True,,,,
Imagen F,Tocar,,,,,,,,
Imagen F,Mujer,,28,,1 True,,,,
Imagen F,,Guitarra,,42,1,,,,
Imagen F,,Reir,,67,0,,,,
Imagen F,Reir,,38,,approximant,,,,
Imagen G,Dar,,,,,,,,
Imagen G,,Rojo,,47,0,,,,
Imagen G,,Zorro,,48,1,,,,
Imagen G,Flor,,29,,1 True,,,,
Imagen H,,Rojo,,46,0,,,,
Imagen H,Girar,,27,,1 True,,,,
Imagen H,Girar,,,,,,,,
Imagen H,,Carro,,40,1,,,,
Imagen H,,Rápido,,45,1,,,,
,,,,,,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,28.5625,46.5,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Forced choice,N/A,,,,,,,,
Preguntas,Tap,Trill,,Duration ,Occlusions,,,,
1,,correr,,,,,,,
1,correr,,,,,,,,
1,caminar,,,,,,,,
2,comer,,,,,,,,
2,,restaurantes,,,,,,,
2,cocinar,,,,,,,,
3,,rojo,,,,,,,
3,,rosado,,,,,,,
4,,ropa,,,,,,,
4,cara,,,,,,,,
4,,ropa,,,,,,,
4,barata,,,,,,,,
5,peras,,,,,,,,
5,moras,,,,,,,,
6,,carro,,,,,,,
6,,carro,,,,,,,
7,,arroz,,,,,,,
7,cereal,,,,,,,,
8,cortar,,,,,,,,
8,cortar,,,,,,,,
8,comprar,,,,,,,,
9,,gorra,,,,,,,
9,,correa,,,,,,,
10,tener,,,,,,,,
10,,rutina,,,,,,,
11,limpiar,,,,,,,,
11,lavar,,,,,,,,
12,,perro,,,,,,,
12,,burro,,,,,,,
