Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,34,1 True,
2,ahora,,38,,1 True,para,35,1 True,
3,,ahorra,,48,1,para,35,1 True,
4,(uno),,,,,para,26,1 True,
5,vara,,30,,1 True,para,27,1 True,
6,,barra,,76,2,para,43,1 True,
7,(pata),,,,,para,28,1 True,
8,coral ,,25,,1 True,para,33,1 True,
9,,corral,,91,2,para,31,1 True,
10,(duelo),,,,,para,27,1 True,
11,caro,,25,,1 True,para,35,1 True,
12,,carro,,31,1,para,37,1 True,
13,(cuna),,,,,para,28,1 True,
14,pera,,27,,1 True,para,35,approximant,
15,,perra,,80,2,para,35,1 True,
16,(huelo),,,,,para,33,1 True,AUDIO 2
17,careta,,36,,1 True,para,34,1 True,
18,,carreta,,87,2,para,45,1 True,
19,(cena),,,,,para,33,1 True,
20,encerar,,41,,1 True,para,32,1 True,
20b,encerar,,28,,1 True,,,,
21,,encerrar,,113,3,para,30,1 True,
21b,encerrar,,28,,1 True,,,,
22,(pena),,,,,para,35,1 True,
23,perito,,47,,1 True,para,26,1 True,
24,,perrito,,134,3,para,35,1 True,
25,(invita),,,,,para,28,1 True,
26,pero,,26,,1 True,para,30,1 True,
27,,perro,,84,2,para,39,1 True,
28,(incita),,,,,para,26,1 True,
29,cero,,50,,1 True,para,37,1 True,
30,,cerro,,105,2,para,26,1 True,
31,(pato),,,,,para,25,1 True,AUDIO 3
32,,reto,,36,0,para,35,1 True,
33,,rifa,,28,1,para,30,1 True,
34,(cometa),,,,,para,29,1 True,
35,,risa,,30,1,para,23,1 True,
36,,rojo,,59,0,para,34,1 True,
37,(gato),,,,,para,20,1 True,
38,,ropa,,38,0,para,29,1 True,
39,,borracho,,141,3,para,30,1 True,
40,(hilo),,,,,para,35,1 True,
41,,carreta,,94,2,para,34,1 True,
42,,perrita,,73,1,para,34,1 True,
43,(cono),,,,,para,25,1 True,
44,,jarrita,,65,1,para,38,1 True,
45,,barrilete,,122,3,para,27,1 True,
46,(camisa),,,,,para,28,1 True,AUDIO 4
47,,guitarra,,47,1,para,32,1 True,
48,,torre,,45,1,para,34,1 True,
49,(clase),,,,,para,32,1 True,
50,,burro ,,125,3,para,40,1 True,
51,,zorro,,105,2,para,34,1 True,
52,(cómico),,,,,para,33,1 True,
53,,tierra,,68,2,para,34,1 True,
54,,sonrisa,,121,2,para,26,1 True,
55,(tiempo),,,,,para,34,1 True,
56,,alrededor,,72,0,para,31,1 True,
56b,alrededor,,31,,approximant,,,,
57,,enriquece,,54,0,para,27,1 True,
58,(mango),,,,,para,27,1 True,
59,,honrado,,74,1,para,28,1 True,
60,,israel,,72,1,para,30,1 True,
61,(cometa),,,,,para,33,1 True,AUDIO 6
62,cara,,27,,1 True,para,23,1 True,
63,madera,,30,,1 True,para,27,1 True,
64,(música),,,,,para,31,1 True,
65,cereza,,35,,1 True,para,28,1 True,
66,quiero,,36,,1 True,para,32,1 True,
67,(médico),,,,,para,29,1 True,
68,pereza,,29,,1 True,para,36,approximant,
69a,parar,,31,,1 True,,,,
69b,parar,,31,,1 True,para,35,1 True,
70,(mesa),,,,,para,24,1 True,
71a,querer,,45,,approximant,,,,
71b,querer,,35,,1 True,para,32,1 True,
72a,morir,,38,,1 True,para,30,1 True,
72b,morir,,24,,1 True,,,,
73,(amigo),,,,,para,23,1 True,
74a,mirar,,65,,2 True,,,,
74b,mirar,,30,,1 True,para,28,1 True,
75a,tirar,,48,,approximant,,,,
75b,tirar,,42,,approximant,para,36,1 True,
76,(cocina),,,,,para,35,1 True,AUDIO 7
77a,morder,,29,,1 True,,,,
77b,morder,,25,,1 True,para,36,1 True,
78a,marcar,,34,,1 True,,,,
78b,marcar,,38,,1 True,para,38,1 True,
79,(tiza),,,,,para,30,1 true,
80a,cortar ,,26,,1 True,,,,
80b,cortar ,,28,,1 True,para,26,1 True,
81a,hurtar,,34,,1 True,,,,
81b,hurtar,,34,,1 True,para,44,1 True,
82,(dieta),,,,,para,22,1 True,
83a,perder,,33,,1 True,,,,
