Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,60,approximant,
2,ahora,,77,,approximant,para,61,approximant,
3,,ahorra,,67,0,para,70,approximant,
4,(uno),,,,,para,61,approximant,
5,vara,,60,,approximant,para,71,approximant,
6,,barra,,62,0,para,64,approximant,
7,(pata),,,,,para,62,approximant,
8,coral ,,70,,approximant,para,60,approximant,
9,,corral,,59,0,para,63,approximant,
10,(duelo),,,,,para,57,approximant,
11,caro,,64,,approximant,para,72,approximant,
12,,carro,,60,0,para,63,approximant,
13,(cuna),,,,,para,62,approximant,
14,pera,,81,,approximant,para,63,approximant,
15,,perra,,64,0,para,74,approximant,
16,(huelo),,,,,para,67,approximant,AUDIO 2
17,careta,,75,,approximant,para,83,approximant,
18,,carreta,,65,0,para,64,approximant,
19,(cena),,,,,para,68,approximant,
20,encerar,,64,,approximant,para,75,approximant,
20b,encerar,,54,,approximant,,,,
21,,encerrar,,55,0,para,85,approximant,
21b,encerrar,,56,,approximant,,,,
22,(pena),,,,,para,66,approximant,
23,perito,,59,,approximant,para,78,approximant,
24,,perrito,,57,0,para,61,approximant,
25,(invita),,,,,para,56,approximant,
26,pero,,57,,approximant,para,68,approximant,
27,,perro,,59,0,para,66,approximant,
28,(incita),,,,,para,68,approximant,
29,cero,,57,,approximant,para,70,approximant,
30,,cerro,,56,0,para,58,approximant,
31,(pato),,,,,para,61,approximant,AUDIO 3
32,,reto,,47,0,para,57,approximant,
33,,rifa,,40,0,para,69,approximant,
34,(cometa),,,,,para,55,approximant,
35,,risa,,40,0,para,61,approximant,
36,,rojo,,42,0,para,77,approximant,
37,(gato),,,,,para,58,approximant,
38,,ropa,,42,0,para,66,approximant,
39,,borracho,,65,0,para,64,approximant,
40,(hilo),,,,,para,61,approximant,
41,,carreta,,61,0,para,66,approximant,
42,,perrita,,63,0,para,70,approximant,
43,(cono),,,,,para,58,approximant,
44,,jarrita,,65,0,para,69,approximant,
45,,barrilete,,52,0,para,73,approximant,
46,(camisa),,,,,para,61,approximant,AUDIO 4
47,,guitarra,,35,1,para,65,approximant,
48,,torre,,50,0,para,80,approximant,
49,(clase),,,,,para,54,approximant,
50,,burro ,,50,0,para,62,approximant,
51,,zorro,,51,0,para,60,approximant,
52,(cómico),,,,,para,56,approximant,
53,,tierra,,62,0,para,57,approximant,
54,,sonrisa,,48,0,para,62,approximant,
55,(tiempo),,,,,para,62,approximant,
56,,alrededor,,42,0,para,54,approximant,
56b,alrededor,,59,,approximant,,,,
57,,enriquece,,42,0,para,50,approximant,
58,(mango),,,,,para,51,approximant,
59,,honrado,,46,0,para,63,approximant,
60,,israel,,50,0,para,56,approximant,
61,(cometa),,,,,para,61,approximant,AUDIO 6
62,cara,,54,,approximant,para,63,approximant,
63,madera,,75,,approximant,para,62,approximant,
64,(música),,,,,para,64,approximant,
65,cereza,,57,,approximant,para,71,approximant,
66,quiero,,68,,approximant,para,75,approximant,
67,(médico),,,,,para,75,approximant,
68,pereza,,54,,approximant,para,65,approximant,
69a,parar,,61,,approximant,,,,
69b,parar,,60,,approximant,para,72,approximant,
70,(mesa),,,,,para,58,approximant,
71a,querer,,49,,approximant,,,,
71b,querer,,47,,approximant,para,68,approximant,
72a,morir,,70,,approximant,para,65,approximant,
72b,morir,,58,,approximant,,,,
73,(amigo),,,,,para,68,approximant,
74a,mirar,,62,,approximant,,,,
74b,mirar,,48,,approximant,para,64,approximant,
75a,tirar,,35,,1 True,,,,
75b,tirar,,46,,approximant,para,69,approximant,
76,(cocina),,,,,para,49,approximant,AUDIO 7
77a,morder,,51,,approximant,,,,
77b,morder,,53,,approximant,para,63,approximant,
78a,marcar,,51,,approximant,,,,
78b,marcar,,53,,approximant,para,62,approximant,
79,(tiza),,,,,para,58,approximant,
80a,cortar ,,48,,approximant,,,,
80b,cortar ,,52,,approximant,para,57,approximant,
81a,hurtar,,N/A,,perceptual,,,,
81b,hurtar,,49,,approximant,para,70,approximant,
82,(dieta),,,,,para,68,approximant,
83a,perder,,N/A,,perceptual,,,,
83b,perder,,54,,approximant,para,53,approximant,
84a,torero,,66,,approximant,,,,
84b,torero,,65,,approximant,para,63,approximant,
85,(agua),,,,,para,65,approximant,
86a,perecer,,54,,approximant,,,,
86b,perecer,,46,,approximant,para,66,approximant,
87a,colorear,,54,,approximant,,,,
87b,colorear,,64,,approximant,para,75,approximant,
88,(café),,,,,para,71,approximant,
89a,mercurio,,49,,approximant,,,,
89b,mercurio,,50,,approximant,para,69,approximant,
90a,arteria,,N/A,,perceptual,,,,
90b,arteria,,68,,approximant,para,74,approximant,
91,(dibujo),,,,,para,63,approximant,AUDIO 8
92a,,radicar,,37,0,,,,
92b,radicar,,43,,approximant,para,56,approximant,NOTA: N/A means it wasn't possible to determine its duration. The wave form overlap with the vowel and the boundaries couldn't be determined. 
93a,,rifar,,39,0,,,,
93b,rifar,,47,,approximant,para,57,approximant,
94,(venta),,,,,para,57,approximant,
95a,,rodar,,38,0,,,,
95b,rodar,,52,,approximant,para,62,approximant,
96a,,romper,,38,0,,,,
96b,romper,,48,,approximant,para,67,approximant,
97,(siete),,,,,para,58,approximant,
98a,,rumor,,39,0,,,,
