Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trils,Occlusions/Cat,PARA,Duration,Occlusions/Cat,NOTE: Taps for this participant seem to be stable at pre-task as well as some intervocalic Trills.
77a,morder,,49,,approximant,para,32,approximant,
77b,morder,,42,,approximant,,,,
78a,marcar,,42,,approximant,para,37,approximant,
78b,marcar,,48,,approximant,,,,
79,(tiza),,,,,para,36,approximant,
80a,cortar ,,41,,approximant,para,40,approximant,
80b,cortar ,,49,,approximant,,,,
81a,hurtar,,29,,1 True,para,52,approximant,
81b,hurtar,,52,,approximant,,,,
82,(dieta),,,,,para,45,approximant,
83a,perder,,48,,approximant,para,46,approximant,
83b,perder,,36,,approximant,,,,
84a,torero,,49,,approximant,para,38,approximant,
84b,torero,,48,,approximant,,,,
85,(agua),,,,,para,32,approximant,
86a,perecer,,55,,approximant,para,33,approximant,
86b,perecer,,69,,approximant,,,,
87a,colorear,,29,,1 True,para,33,approximant,
87b,colorear,,29,,1 True,,,,
88,(café),,,,,para,49,approximant,
89a,mercurio,,45,,approximant,para,49,approximant,
89b,mercurio,,N/A,,N/A,,,,
90a,arteria,,36,,approximant,para,36,approximant,
90b,arteria,,35,,approximant,,,,
91,(AUDIO 8),,,,,para,39,approximant,
92a,,radicar,,44,0,,,,
92b,radicar,,36,,approximant,para,34,approximant,
93a,,rifar,,35,0,,,,
93b,rifar,,39,,approximant,para,32,approximant,
94,(venta),,,,,para,38,approximant,
95a,,rodar,,37,0,para,45,approximant,
95b,rodar,,29,,1 True,,,,
96a,,romper,,46,0,para,34,approximant,
96b,romper,,33,,approximant,,,,
97,(siete),,,,,para,35,approximant,
98a,,rumor,,38,0,para,40,approximant,
98b,rumor,,44,,approximant,,,,
99a,,raro,,42,,para,46,approximant,
99b,raro,,50,,,,,,
100,(ocho),,,,,para,40,approximant,
101a,,ropero,,37,0,para,47,approximant,
101b,ropero,,42,,approximant,,,,
102a,,ratero,,41,0,para,36,approximant,
102b,ratero,,40,,approximant,,,,
103,(mayo),,,,,para,49,approximant,
104a,,carrera ,,25,1,,,,
104b,carrera,,28,,1 True,para,34,approximant,
105a,,rapero,,35,0,para,27,1 True,
105b,rapero,,32,,1 True,,,,
106,(AUDIO 9),,,,,para,26,1 True,
107a,,barrer,,32,0,para,32,approximant,
107b,barrer,,36,,1 True,,,,
108a,,correr,,36,0,para,32,approximant,
108b,correr,,39,,approximant,,,,
109,(antes),,,,,para,29,approximant,
110a,,narrar,,37,,para,28,1 True,
110b,narrar,,40,,,,,,
111a,,borrar,,18,1,para,27,1 True,
111b,borrar,,34,,approximant,,,,
112,(estoy),,,,,para,35,approximant,
113a,,cerrar ,,34,0,para,42,approximant,
113b,cerrar,,40,,approximant,,,,
114a,,derribar,,37,0,para,35,approximant,
114b,derribar,,42,,approximant,,,,
115,(común),,,,,para,37,approximant,
116a,,corregir,,47,0,para,46,approximant,
116b,corregir,,48,,approximant,,,,
117a,,irritar,,35,0,para,40,approximant,
117b,irritar,,45,,approximant,,,,
118,(menos),,,,,para,38,approximant,
119a,,interrogar,,42,1,para,42,approximant,
119b,interrogar,,37,,approximant,,,,
120a,,corredor,,41,0,para,40,approximant,
