Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions,NOTE: Taps for this participant seem to be stable at pre-task as well as Trills in all positions.
1,,,,,,para,22,1 True,
2,ahora,,51,,1 True,para,23,1 True,
3,,ahorra,,88,3,para,21,1 True,
4,(uno),,,,,para,19,1 True,
5,vara,,30,,1 True,para,19,1 True,
6,,barra,,106,3,para,23,1 True,
7,(pata),,,,,para,28,1 True,
8,coral ,,36,,2 True,para,23,1 True,
9,,corral,,98,2,para,29,1 True,
10,(duelo),,,,,para,28,approximant,
11,caro,,25,,1 True,para,20,1 True,
12,,carro,,99,3,para,27,1 True,
13,(cuna),,,,,para,17,1 True,
14,pera,,36,,approximant,para,26,1 True,
15,,perra,,85,3,para,27,1 True,
16,(huelo),,,,,para,28,1 True,AUDIO 2
17,careta,,25,,1 True,para,28,1 True,
18,,carreta,,79,2,para,28,1 True,
19,(cena),,,,,para,25,1 True,
20,encerar,,26,,1 True,para,22,1 True,
20b,encerar,,21,,1 True,,,,
21,,encerrar,,58,2,para,19,1 True,
21b,encerrar,,21,,1 True,,,,
22,(pena),,,,,para,19,1 True,
23,perito,,31,,approximant,para,26,approximant,
24,,perrito,,92,2,para,25,1 True,
25,(invita),,,,,para,26,1 True,
26,pero,,30,,approximant,para,26,1 True,
27,,perro,,58,2,para,29,1 True,
28,(incita),,,,,para,24,1 True,
29,cero,,23,,1 True,para,26,1 True,
30,,cerro,,67,2,para,19,1 True,
31,(pato),,,,,para,28,1 True,AUDIO 3
32,,reto,,42,0,para,16,1 True,
33,,rifa,,28,1,para,28,1 True,
34,(cometa),,,,,para,27,approximant,
35,,risa,,26,1,para,15,1 True,
36,,rojo,,30,0,para,22,1 True,
37,(gato),,,,,para,27,1 True,
38,,ropa,,36,0,para,31,approximant,
39,,borracho,,64,2,para,27,1 True,
40,(hilo),,,,,para,16,1 True,
41,,carreta,,68,2,para,35,1 True,
42,,perrita,,37,1,para,20,1 True,
43,(cono),,,,,para,20,1 True,
44,,jarrita,,74,2,para,29,1 True,
45,,barrilete,,73,3,para,26,1 True,
46,(camisa),,,,,para,22,1 True,AUDIO 4
47,,guitarra,,27,1,para,22,1 True,
48,,torre,,81,3,para,28,1 True,
49,(clase),,,,,para,15,1 True,
50,,burro ,,78,2,para,19,1 True,
51,,zorro,,65,2,para,20,1 True,
52,(cómico),,,,,para,19,1 True,
53,,tierra,,59,2,para,24,1 True,
54,,sonrisa,,30,0,para,22,1 True,
55,(tiempo),,,,,para,30,1 True,
56,,alrededor,,123,3,para,22,1 True,
56b,alrededor,,23,,1 True,,,,
57,,enriquece,,40,1,para,17,1 True,
58,(mango),,,,,para,19,1 True,
59,,honrado,,54,2,para,18,1 True,
60,,israel,,47,1,para,23,1 True,
61,(cometa),,,,,para,22,approximant,AUDIO 6
62,cara,,21,,1 True,para,22,1 True,
63,madera,,34,,1 True,para,17,1 True,
64,(música),,,,,para,18,1 True,
65,cereza,,31,,approximant,para,23,approximant,
66,quiero,,20,,1 True,para,24,1 True,
67,(médico),,,,,para,21,1 True,
68,pereza,,21,,1 True,para,18,1 True,
69a,parar,,25,,1 True,,,,
69b,parar,,28,,approximant,para,22,1 True,
70,(mesa),,,,,para,22,1 True,
71a,querer,,24,,1 True,,,,
71b,querer,,31,,approximant,para,26,approximant,
72a,morir,,33,,1 True,para,21,1 True,
72b,morir,,43,,approximant,,,,
73,(amigo),,,,,para,20,approximant,
74a,mirar,,43,,2 True,,,,
74b,mirar,,52,,approximant,para,25,1 True,
75a,tirar,,24,,1 True,,,,
75b,tirar,,38,,approximant,para,23,1 True,
76,(cocina),,,,,para,20,1 True,AUDIO 7
