Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,42,1 True,
2,ahora,,29,,1 True,para,30,1 True,
3,,ahorra,,135,4,para,42,1 True,
4,(uno),,,,,para,29,1 True,
5,vara,,27,,1 True,para,26,1 True,
6,,barra,,70,2,para,29,1 True,
7,(pata),,,,,para,30,1 True,
8,coral ,,35,,1 True,para,35,1 True,
9,,corral,,71,2,para,41,1 True,
10,(duelo),,,,,para,34,1 True,
11,caro,,39,,1 True,para,26,1 True,
12,,carro,,73,2,para,51,1 True,
13,(cuna),,,,,para,32,1 True,
14,pera,,24,,1 True,para,27,1 True,
15,,perra,,88,3,para,34,1 True,
16,(huelo),,,,,para,41,1 True,AUDIO 2
17,careta,,35,,1 True,para,28,1 True,
18,,carreta,,114,3,para,33,1 True,
19,(cena),,,,,para,37,1 True,
20,encerar,,35,,1 True,para,40,1 True,
20b,encerar,,36,,1 True,,,,
21,,encerrar,,174,4,para,32,1 True,
21b,encerrar,,41,,1 True,,,,
22,(pena),,,,,para,34,1 True,
23,perito,,36,,1 True,para,30,1 True,
24,,perrito,,110,3,para,36,1 True,
25,(invita),,,,,para,31,1 True,
26,pero,,30,,1 True,para,30,1 True,
27,,perro,,58,2,para,41,1 True,
28,(incita),,,,,para,34,1 True,
29,cero,,37,,1 True,para,35,1 True,
30,,cerro,,82,2,para,38,1 True,
31,(pato),,,,,para,27,1 True,AUDIO 3
32,,reto,,37,1,para,37,1 True,
33,,rifa,,38,0,para,36,1 True,
34,(cometa),,,,,para,33,1 True,
35,,risa,,50,0,para,39,1 True,
36,,rojo,,32,0,para,36,1 True,
37,(gato),,,,,para,28,1 True,
38,,ropa,,25,0,para,46,1 True,
39,,borracho,,55,1,para,34,1 True,
40,(hilo),,,,,para,33,1 True,
41,,carreta,,30,1,para,38,1 True,
42,,perrita,,52,0,para,40,1 True,
43,(cono),,,,,para,33,1 True,
44,,jarrita,,34,1,para,33,1 True,
45,,barrilete,,83,0,para,34,1 True,
46,(camisa),,,,,para,31,1 True,AUDIO 4
47,,guitarra,,55,2,para,39,1 True,
48,,torre,,46,1,para,45,1 True,
49,(clase),,,,,para,32,1 True,
50,,burro ,,74,2,para,40,1 True,
51,,zorro,,59,2,para,49,1 True,
52,(cómico),,,,,para,27,1 True,
53,,tierra,,41,1,para,34,1 True,
54,,sonrisa,,44,0,para,34,1 True,
55,(tiempo),,,,,para,30,1 True,
56,,alrededor,,76,2,para,36,1 True,
56b,alrededor,,41,,1 True,,,,
57,,enriquece,,33,1,para,35,1 True,
58,(mango),,,,,para,32,1 True,
59,,honrado,,49,0,para,30,1 True,
60,,israel,,35,0,para,31,1 True,
61,(cometa),,,,,para,31,1 True,AUDIO 6
62,cara,,42,,1 True,para,34,1 True,
63,madera,,29,,1 True,para,20,1 True,
64,(música),,,,,para,29,1 True,
65,cereza,,40,,1 True,para,27,1 True,
66,quiero,,32,,1 True,para,28,1 True,
67,(médico),,,,,para,42,1 True,
68,pereza,,30,,1 True,para,37,1 True,
69a,parar,,38,,1 True,,,,
69b,parar,,28,,1 True,para,37,1 True,
70,(mesa),,,,,para,44,1 True,
71a,querer,,28,,1 True,,,,
71b,querer,,25,,1 True,para,41,1 True,
72a,morir,,49,,approximant,para,38,1 True,
72b,morir,,33,,approximant,,,,
73,(amigo),,,,,para,42,1 True,
74a,mirar,,39,,1 True,,,,
74b,mirar,,43,,approximant,para,40,1 True,
75a,tirar,,37,,1 True,,,,
75b,tirar,,48,,approximant,para,38,1 True,
76,(cocina),,,,,para,38,1 True,AUDIO 7
77a,morder,,42,,approximant,,,,
77b,morder,,30,,1 True,para,32,1 True,
78a,marcar,,29,,1 True,,,,
78b,marcar,,28,,1 True,para,27,1 True,
79,(tiza),,,,,para,33,1 True,
80a,cortar ,,40,,approximant,,,,
80b,cortar ,,45,,approximant,para,34,1 True,
81a,hurtar,,29,,1 True,,,,
81b,hurtar,,33,,1 True,para,40,1 True,
82,(dieta),,,,,para,30,1 True,
83a,perder,,24,,1 True,,,,
83b,perder,,35,,1 True,para,35,1 True,
84a,torero,,41,,1 True,,,,
84b,torero,,37,,1 True,para,29,1 True,
85,(agua),,,,,para,36,1 True,
86a,perecer,,32,,1 True,,,,
86b,perecer,,36,,1 True,para,45,1 True,
87a,colorear,,51,,approximant,,,,
87b,colorear,,N/A,,perceptual,para,27,1 True,
88,(café),,,,,para,30,1 True,
89a,mercurio,,35,,1 True,,,,
89b,mercurio,,42,,1 True,para,36,1 True,
90a,arteria,,30,,1 True,,,,
90b,arteria,,30,,1 True,para,26,1 True,
91,(dibujo),,,,,para,31,1 True,AUDIO 8
92a,,radicar,,51,1,,,,
92b,radicar,,27,,1 True,para,34,1 True,NOTA: N/A means it wasn't possible to determine its duration. The wave form overlap with the vowel and the boundaries couldn't be determined. 
93a,,rifar,,45,1,,,,
93b,rifar,,35,,1 True,para,38,1 True,
94,(venta),,,,,para,34,1 True,
95a,,rodar,,40,0,,,,
95b,rodar,,34,,1 True,para,45,1 True,
96a,,romper,,36,1,,,,
96b,romper,,32,,1 True,para,48,1 True,
97,(siete),,,,,para,40,1 True,
98a,,rumor,,47,1,,,,
98b,rumor,,32,,1 True,para,38,1 True,
99a,,raro,,46,1,,,,
99b,raro,,33,,1 True,para,32,1 True,
100,(ocho),,,,,para,44,1 True,
101a,,ropero,,41,1,,,,
101b,ropero,,32,,1 True,para,29,1 True,
102a,,ratero,,54,1,,,,
102b,ratero,,36,,1 True,para,29,1 True,
103,(mayo),,,,,para,31,1 True,
104a,,carrera ,,39,1,,,,
104b,carrera,,35,,1 True,para,37,1 True,
105a,,rapero,,36,0,,,,
105b,rapero,,29,,1 True,para,31,1 True,Fin AUDIO 8
106,(semana),,,,,para,38,approximant,Audio 9
107a,,barrer,,57,1,para,40,1 True,
107b,barrer,,45,,approximant,,,,
108a,,correr,,47,1,para,40,1 True,
108b,correr,,47,,approximant,,,,
109,(antes),,,,,para,41,1 True,
110a,,narrar,,36,1,para,30,1 True,
110b,narrar,,42,,approximant,,,,
111a,,borrar,,44,1,para,33,1 True,
111b,borrar,,37,,1 True,,,,
112,(estoy),,,,,para,35,1 True,
113a,,cerrar ,,33,1,para,36,1 True,
113b,cerrar,,22,,1 True,,,,
114a,,derribar,,30,1,para,35,1 True,
114b,derribar,,26,,1 True,,,,
115,(común),,,,,para,30,1 True,
116a,,corregir,,34,1,para,28,1 True,
116b,corregir,,38,,1 True,,,,
117a,,irritar,,45,0,para,32,1 True,
117b,irritar,,26,,1 True,,,,
118,(menos),,,,,para,30,1 True,
119a,,interrogar,,42,1,para,30,1 True,
119b,interrogar,,37,,approximant,,,,
120a,,corredor,,52,0,para,35,1 True,
120b,corredor,,30,,1 True,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,Pre para Taps x̄ =,,
,,,34.7761194,55.56,,,34.66666667,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,48,0,,,,
2,Roberto,,42,,approximant,,,,
3,para,,33,,1 True,,,,
4,,América,34,,1 True,,,,
5,Caribe,,45,,approximant,,,,
6,pérdida,,51,,approximant,,,,
7,,región,,44,0,,,,
8,,relacionada,,53,0,,,,
9,,rápida,,50,0,,,,
10,,tierras,,33,1,,,,
11,para,,35,,1 True,,,,
12,pérdida,,48,,approximant,,,,
13,,desarrollo,,67,0,,,,
14,infraestructura,,39,,1 True,,,,
15,,relacionada,,37,0,,,,
16,,carreteras,,36,1,,,,
17,carreteras,,28,,1 True,,,,
18,para,,34,,1 True,,,,
19,,carros,,35,1,,,,
20,,carrozas,,39,1,,,,
21,,rotundo ,,46,0,,,,
22,productor,,31,,1 True,,,,
23,materia,,35,,approximant,,,,
24,,relevante,,41,0,,,,
25,minería,,50,,approximant,,,,
26,por,,26,,1 True,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,37.92857143,44.08333333,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,norte,,N/A,,perceptual,,,,
2,acerca,,21,,1 True,,,,
3,sería,,30,,1 True,,,,
4,fuerte,,27,,1 True,,,,
5,,repente,,32,1,,,,
6,viajero,,28,,1 True,,,,
7,verlo,,53,,approximant,,,,
8,convinieron,,29,,1 True,,,,
9,primero,,30,,1 True,,,,
10,consiguiera,,35,,1 True,,,,
11,quitarle,,51,,approximant,,,,
12,seria,,39,,1 True,,,,
13,fuerte,,31,,1 True,,,,
14,norte,,30,,1 True,,,,
15,soplar,,45,,approximant,,,,
16,furia,,44,,approximant,,,,
17,pero,,31,,1 True,,,,
18,,aferraba,,47,0,,,,
19,norte,,34,,1 True,,,,
20,esplendor ,,32,,1 True,,,,
21,,arrojó,,113,3,,,,
22,norte,,36,,approximant,,,,
23,,reconocer,,77,0,,,,
24,reconocer,,30,,1 True,,,,
25,superioridad,,32,,1 True,,,,
