Sentence reading task,,,,,,,,,,,"""para""",,,,"""para""",,,Taps target tokens,,,,,
Sentence,Tap,Trill,Duration tap,Duration ,Occlusions,PARA,Duration,,Occlusions,,Duration,Occlusions,,,Duration,Occlusions,,TRUE n =37 target tokens,,Frication n =3 target tokens,,Approximant n =26 target tokens,
20,encerar,,108,,1 + frication (dr),para,46,,approximant,,37.83333333,,,,40,approximant,,27,1 TRUE,,,45,approximant
20b,encerar,,25,,1 True,,,,,,,,,,45,approximant,,29,1 TRUE,,,20,approximant (d) 
21,,encerrar,,111,1 + frication (dr),para,32,,approximant,,"""Para"" N=120",,,,63,approximant,,22,1 TRUE,,,31,approximant
21b,encerrar,,30,,1 True,,,,,,True ,Approximant,Perceptual,,35,approximant,,24,1 TRUE,,,25,approximant 
22,(pena),,,,,para,43,,approximant,,n= 18 ,n= 73,n= 29,,41,approximant,,24,1 TRUE,,,42,approximant
23,perito,,38,,approximant,para,41,,approximant,,x̄ = 37.83,x̄ = 35.93,x̄ = N/A,,52,approximant,,36,1 TRUE,,,39,approximant
24,,perrito,,131,1 + frication (dr),para,27,,approximant,,,,,,46,approximant,,24,1 TRUE,,,22,approximant
25,(invitar),,,,,para,48,,approximant,,,,,,33,approximant,,32,1 TRUE,,,approximant x̄ =,
26,pero,,34,,approximant,para,36,,approximant,,,,,,39,approximant,,21,1 TRUE,,,31.53846154,
27,,perro,,107,1 + frication (dr),para,29,,approximant,,,,,,53,approximant,,18,1 TRUE,,,,
28,(incita),,,,,para,30,,approximant,,,,,,54,approximant,,38,1 TRUE,,,,
29,cero,,40,,1,para,42,,approximant,,,,,,27,approximant,,31,1 TRUE,,,,
30,,cerro,,161,1 + frication (dr),para,50,,approximant,,,,,,42,approximant,,49,1 TRUE,,,,
31,(pato),,,,,para,34,,approximant,,,,,,36,approximant,,53,1 TRUE,,,,
32,,reto,,70,1 + frication (dr),para,40,,approximant,AUDIO 3,,,,,20,approximant,,38,1 TRUE,,,,
33,,rifa,,125,1 + frication (dr),para,45,,approximant,,,,,,33,approximant,,28,1 TRUE,,,,
34,(cometa),,,,,para,63,,approximant,,,,,,41,approximant,,29,1 TRUE,,,,
35,,risa,,98,1 + frication (dr),para,35,,approximant,,,,,,46,approximant,,24,1 TRUE,,,,
36,,rojo,,106,1 + frication (dr),para,41,,approximant,,,,,,39,approximant,,True x̄ =,,,,,
37,(gato),,,,,para,52,,approximant,,,,,,34,approximant,,31,,,,,
38,,ropa,,114,1 + frication (dr),para,46,,approximant,,,,,,46,approximant,,,,,,,
39,,borracho,,130,1 + frication (dr),para,33,,approximant,,,,,,28,approximant,,,,,,,
40,(hilo),,,,,para,39,,approximant,,,,,,37,approximant,,,,,,,
41,,carreta,,136,1 + frication (dr),para,53,,approximant,,,,,,36,approximant,,,,,,,
42,,perrita,,110,1 + frication (dr),para,36,,1 True,,,,,,42,approximant,,,,,,,
43,(cono),,,,,para,54,,approximant,,,,,,43,approximant,,,,,,,
44,,jarrita,,140,1 + frication (dr),para,27,,approximant,,,,,,39,approximant,,,,,,,
45,,barrilete,,130,1 + frication (dr),para,42,,approximant,,,,,,44,approximant,,,,,,,
46,(camisa),,,,,para,36,,approximant,AUDIO 4,,,,,53,approximant,,,,,,,
47,,guitarra,,49,1,para,20,,approximant,,,,,,31,approximant,,,,,,,
48,,torre,,93,1 + frication (dr),para,33,,approximant,,,,,,44,approximant,,,,,,,
49,(clase),,,,,para,41,,approximant,,,,,,22,approximant,,,,,,,
50,,burro ,,82,1 + frication (dr),para,46,,approximant,,,,,,27,approximant,,,,,,,
51,,zorro,,139,1 + frication (dr),para,39,,approximant,,,,,,30,approximant,,,,,,,
52,(cómico),,,,,para,34,,approximant,,,,,,28,approximant,,,,,,,
