Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,16,1 True,
2,ahora,,15,,1 True,para,14,1 True,
3,,ahorra,,18,1,para,20,1 True,
4,(uno),,,,,para,18,1 True,
5,vara,,,17,1 True,para,21,1 True,
6,,barra,,31,1,para,18,1 True,
7,(pata),,,,,para,33,1 True,
8,coral ,,14,,1 True,para,22,1 True,
9,,corral,,18,1,para,18,1 True,
10,(duelo),,,,,para,27,approximant,
11,caro,,14,,1 True,para,20,1 True,
12,,carro,,44,2,para,16,1 True,
13,(cuna),,,,,para,22,approximant,
14,pera,,23,,1 True,para,13,1 True,
15,,perra,,33,2,para,20,1 True,
16,(huelo),,,,,para,18,1 True,AUDIO 2
17,careta,,20,,1 True,para,15,1 True,
18,,carreta,,18,1,para,27,1 True,
19,(cena),,,,,para,17,1 True,
20,encerar,,15,,1 True,para,18,1 True,
20b,encerar,,22,,1 True,,,,
21,,encerrar,,15,1,para,21,1 True,
21b,encerrar,,14,,1 True,,,,
22,(pena),,,,,para,N/A,perceptual,
23,perito,,20,,1 True,para,19,1 True,
24,,perrito,,30,2,para,28,1 True,
25,(invita),,,,,para,18,1 True,
26,pero,,30,,1 True,para,22,1 True,
27,,perro,,45,2,para,20,1 True,
28,(incita),,,,,para,23,1 True,
29,cero,,31,,1 True,para,20,1 True,
30,,cerro,,34,2,para,23,1 True,
31,(pato),,,,,para,27,1 True,AUDIO 3
32,,reto,,25,1,para,20,1 True,
33,,rifa,,34,1,para,21,1 True,
34,(cometa),,,,,para,23,1 True,
35,,risa,,40,2,para,20,1 True,
36,,rojo,,40,2,para,20,1 True,
37,(gato),,,,,para,22,1 True,
38,,ropa,,37,2,para,25,1 True,
39,,borracho,,33,2,para,24,1 True,
40,(hilo),,,,,para,26,1 Tue,
41,,carreta,,17,1,para,19,1 True,
42,,perrita,,35,2,para,26,1 True,
43,(cono),,,,,para,26,1 True,
44,,jarrita,,51,2,para,26,1 True,
45,,barrilete,,43,2,para,24,1 True,
46,(camisa),,,,,para,15,1 True,AUDIO 4
47,,guitarra,,34,2,para,N/A,perceptual,
48,,torre,,25,2,para,20,1 True,
49,(clase),,,,,para,19,approximant,
50,,burro ,,30,2,para,17,1 True,
51,,zorro,,37,2,para,19,approximant,
52,(cómico),,,,,para,15,1 True,
53,,tierra,,35,2,para,27,1 True,
54,,sonrisa,,N/A,0,para,N/A,perceptual,
55,(tiempo),,,,,para,18,approximant,
56,,alrededor,,27,0,para,10,1 True,
56b,alrededor,,23,,1 True,,,,
57,,enriquece,,38,0,para,14,approximant,
58,(mango),,,,,para,15,1 True,
59,,honrado,,N/A,0,para,18,1 True,
60,,israel,,58,2,para,23,1 True,
61,(cometa),,,,,para,24,1 True,AUDIO 6
62,cara,,14,,1 True,para,25,1 True,
63,madera,,19,,1 True,para,21,approximant,
64,(música),,,,,para,23,1 True,
65,cereza,,27,,1 True ,para,N/A,perceptual,
66,quiero,,30,,1 True,para,14,1 True,
67,(médico),,,,,para,20,approximant,
68,pereza,,26,,1 True,para,28,1 + fric,
69a,parar,,34,,1 + fric,,,,
69b,parar,,29,,1 True,para,32,1 + fric,
70,(mesa),,,,,para,30,1 + fric,
71a,querer,,36,,1 + fric,,,,
71b,querer,,34,,1 + fric,para,20,1 + fric,
72a,morir,,26,,1 + fric,para,16,1 True,
72b,morir,,35,,1 + fric,,,,
73,(amigo),,,,,para,22,approximant,
74a,mirar,,30,,1 + fric,,,,
74b,mirar,,18,,1 True,para,32,1 + fric,
75a,tirar,,26,,1 + fric,,,,
75b,tirar,,33,,1 + fric,para,21,approximant,
76,(cocina),,,,,para,21,1 True,AUDIO 7
77a,morder,,21,,1 True,,,,
77b,morder,,25,,1 + fric,para,28,1 True,
78a,marcar,,20,,1 True,,,,
78b,marcar,,31,,1 True,para,35,1 + fric,
79,(tiza),,,,,para,15,1 True,
80a,cortar ,,28,,1 + fric,,,,
80b,cortar ,,17,,1 True,para,23,1 True,
81a,hurtar,,17,,1 True,,,,
81b,hurtar,,19,,1 True,para,26,1 True,
82,(dieta),,,,,para,27,1 + fric,
83a,perder,,28,,1 True,,,,
83b,perder,,35,,1 + fric,para,32,approximant,
84a,torero,,28,,1 + fric,,,,
84b,torero,,34,,1 + fric,para,23,1 + fric,
85,(agua),,,,,para,21,1 True,
86a,perecer,,24,,1 True,,,,
86b,perecer,,30,,1 + fric,para,18,approximant,
87a,colorear,,20,,approximant,,,,
87b,colorear,,17,,1 True,para,18,1 True,
88,(café),,,,,para,15,1 True,
89a,mercurio,,21,,1 True,,,,
89b,mercurio,,37,,1 + fric,para,33,approximant,
90a,arteria,,22,,approximant,,,,
90b,arteria,,37,,1 + fric,para,18,1 True,
91,(dibujo),,,,,para,17,1 True,AUDIO 8
92a,,radicar,,29,1,,,,
92b,radicar,,34,,1 + 2 frc,para,18,1 True,
93a,,rifar,,28,1,,,,
93b,rifar,,20,,1 True,para,28,1 + fric,
94,(venta),,,,,para,19,1 True,
95a,,rodar,,38,2,,,,
95b,rodar,,30,,1 + fric,para,28,1 + fric,
96a,,romper,,33,2,,,,
96b,romper,,24,,1 True,para,28,1 True,
97,(siete),,,,,para,13,1 True,
