Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,26,1 True,
2,ahora,,31,,approximant,para,27,1 True,
3,,ahorra,,132,3,para,20,1 True,
4,(uno),,,,,para,19,1 True,
5,vara,,30,,1 True,para,23,1 True,
6,,barra,,96,2,para,26,1 True,
7,(pata),,,,,para,30,1 True,
8,coral ,,21,,1 True,para,28,1 True,
9,,corral,,95,2,para,26,1 True,
10,(duelo),,,,,para,18,1 True,
11,caro,,19,,1 True,para,21,1 True,
12,,carro,,125,3,para,23,1 True,
13,(cuna),,,,,para,26,1 True,
14,pera,,23,,1 True,para,24,1 True,
15,,perra,,133,4,para,21,1 True,
16,(huelo),,,,,para,24,1 True,AUDIO 2
17,careta,,20,,1 True,para,22,1 True,
18,,carreta,,106,2,para,29,1 True,
19,(cena),,,,,para,33,1 True,
20,encerar,,21,,1 True,para,21,1 True,
20b,encerar,,23,,1 True,,,,
21,,encerrar,,176,4,para,28,1 True,
21b,encerrar,,28,,1 True,,,,
22,(pena),,,,,para,25,1 True,
23,perito,,24,,1 True,para,23,1 True,
24,,perrito,,187,3,para,24,1 True,
25,(invita),,,,,para,26,1 True,
26,pero,,27,,1 True,para,20,1 True,
27,,perro,,102,3,para,24,1 True,
28,(incita),,,,,para,20,1 True,
29,cero,,24,,1 True,para,22,1 True,
30,,cerro,,161,4,para,27,1 True,
31,(pato),,,,,para,24,1 True,AUDIO 3
32,,reto,,77,2,para,28,1 True,
33,,rifa,,84,2,para,28,1 True,
34,(cometa),,,,,para,25,1 True,
35,,risa,,78,2,para,17,1 True,
36,,rojo,,65,2,para,25,1 True,
37,(gato),,,,,para,30,1 True,
38,,ropa,,74,0,para,25,1 True,
39,,borracho,,143,4,para,28,1 True,
40,(hilo),,,,,para,29,1 True,
41,,carreta,,123,4,para,28,1 True,
42,,perrita,,127,3,para,25,1 True,
43,(cono),,,,,para,24,1 True,
44,,jarrita,,102,2,para,28,1 True,
