Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,23,1 True,
2,ahora,,27,,1 True,para,22,1 True,
3,,ahorra,,116,3,para,28,1 True,
4,(uno),,,,,para,20,1 True,
5,vara,,24,,1 True,para,19,1 True,
6,,barra,,105,3,para,19,1 True,
7,(pata),,,,,para,19,1 True,
8,coral ,,25,,1 True,para,23,1 True,
9,,corral,,134,3,para,24,1 True,
10,(duelo),,,,,para,26,1 True,
11,caro,,26,,1 True,para,22,1 True,
12,,carro,,112,3,para,18,1 True,
13,(cuna),,,,,para,21,1 True,
14,pera,,25,,1 True,para,19,1 True,
15,,perra,,114,3,para,21,1 True,
16,(huelo),,,,,para,21,1 True,AUDIO 2
17,careta,,24,,1 True,para,18,1 True,
18,,carreta,,100,3,para,19,1 True,
19,(cena),,,,,para,22,1 True,
20,encerar,,29,,1 True,para,17,1 True,
20b,encerar,,19,,1 True,,,,
21,,encerrar,,85,2,para,16,1 True,
21b,encerrar,,20,,1 True,,,,
22,(pena),,,,,para,20,1 True,
23,perito,,23,,1 True,para,20,1 True,
24,,perrito,,81,2,para,19,1 True,
25,(invita),,,,,para,29,approximant,
26,pero,,30,,1 True,para,24,1 True,
27,,perro,,120,3,para,24,1 True,
28,(incita),,,,,para,23,1 True,
29,cero,,27,,1 True,para,21,1 True,
30,,cerro,,118,3,para,20,1 True,
31,(pato),,,,,para,24,1 True,AUDIO 3
32,,reto,,101,2,para,23,1 True,
33,,rifa,,95,2,para,28,1 True,
34,(cometa),,,,,para,25,1 True,
35,,risa,,86,2,para,21,1 True,
36,,rojo,,116,3,para,26,1 True,
37,(gato),,,,,para,20,1 True,
38,,ropa,,101,3,para,23,1 True,
39,,borracho,,104,3,para,24,1 True,
40,(hilo),,,,,para,24,1 True,
41,,carreta,,109,3,para,25,1 True,
42,,perrita,,92,2,para,23,1 True,
43,(cono),,,,,para,N/A,perceptual,
44,,jarrita,,112,3,para,21,1 True,
45,,barrilete,,128,3,para,20,1 True,
46,(camisa),,,,,para,18,1 True,AUDIO 4
47,,guitarra,,113,3,para,27,1 True,
48,,torre,,102,3,para,24,1 True,
49,(clase),,,,,para,22,1 True,
50,,burro ,,98,3,para,27,1 True,
51,,zorro,,106,3,para,27,1 True,
52,(cómico),,,,,para,27,1 True,
53,,tierra,,115,3,para,26,1 True,
54,,sonrisa,,113,2,para,28,1 True,
55,(tiempo),,,,,para,22,1 True,
56,,alrededor,,179,4,para,20,1 True,
56b,alrededor,,21,,1 True,,,,
57,,enriquece,,83,2,para,24,1 True,
58,(mango),,,,,para,24,approximant,
59,,honrado,,158,4,para,17,1 True,
60,,israel,,141,3,para,22,1 True,
