Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,27,1 True,
2,ahora,,25,,1 True,para,30,1 True,
3,,ahorra,,148,5,para,29,1 True,
4,(uno),,,,,para,27,1 True,
5,vara,,25,,1 True,para,36,approximant,
6,,barra,,144,3,para,28,1 True,
7,(pata),,,,,para,31,1 True,
8,coral ,,N/A,,perceptual,para,32,1 True,
9,,corral,,139,3,para,24,1 True,
10,(duelo),,,,,para,25,1 True,
11,caro,,21,,1 True,para,28,1 True,
12,,carro,,182,4,para,30,1 True,
13,(cuna),,,,,para,29,1 True,
14,pera,,28,,1 True,para,27,1 True,
15,,perra,,150,3,para,25,1 True,
16,(huelo),,,,,para,27,1 True,AUDIO 2
17,careta,,22,,1 True,para,24,1 True,
18,,carreta,,172,4,para,20,1 True,
19,(cena),,,,,para,24,1 True,
20,encerar,,N/A,,perceptual,para,24,1 True,
20b,encerar,,38,,approximant,,,,
21,,encerrar,,172,4,para,22,1 True,
21b,encerrar,,26,,1 True,,,,
22,(pena),,,,,para,29,1 True,
23,perito,,25,,1 True,para,30,1 True,
24,,perrito,,165,4,para,22,1 True,
25,(invita),,,,,para,28,1 True,
26,pero,,30,,1 True,para,21,1 True,
27,,perro,,174,5,para,27,1 True,
28,(incita),,,,,para,29,1 True,
29,cero,,23,,1 True,para,31,1 True,
30,,cerro,,171,3,para,28,1 True,
31,(pato),,,,,para,26,1 True,AUDIO 3
32,,reto,,135,2,para,20,1 True,
33,,rifa,,147,2,para,21,1 True,
34,(cometa),,,,,para,25,1 True,
35,,risa,,125,2,para,23,1 True,
36,,rojo,,167,2,para,20,1 True,
37,(gato),,,,,para,27,1 True,
38,,ropa,,102,0,para,20,1 True,
39,,borracho,,140,2,para,21,1 True,
40,(hilo),,,,,para,25,1 True,
41,,carreta,,147,4,para,25,1 True,
42,,perrita,,147,4,para,26,1 True,
43,(cono),,,,,para,30,1 True,
44,,jarrita,,72,1,para,17,1 True,
45,,barrilete,,151,4,para,26,1 True,
46,(camisa),,,,,para,22,1 True,AUDIO 4
47,,guitarra,,159,3,para,26,1 True,
48,,torre,,177,4,para,22,1 True,
49,(clase),,,,,para,20,1 True,
50,,burro ,,170,4,para,24,1 True,
51,,zorro,,161,4,para,19,1 True,
52,(cómico),,,,,para,26,1 True,
53,,tierra,,173,4,para,26,1 True,
54,,sonrisa,,135,2,para,23,1 True,
55,(tiempo),,,,,para,29,1 True,
56,,alrededor,,149,2,para,20,1 True,
56b,alrededor,,40,,approximant,,,,
57,,enriquece,,90,0,para,20,1 True,
58,(mango),,,,,para,27,1 True,
59,,honrado,,119,0,para,24,1 True,
60,,israel,,187,3,para,N/A,perceptual,
61,(cometa),,,,,para,28,1 True,AUDIO 6
62,cara,,17,,1 True,para,21,1 True,
63,madera,,23,,1 True,para,25,1 True,
64,(música),,,,,para,19,1 True,
65,cereza,,N/A,,perceptual trill,para,18,1 True,
66,quiero,,24,,1 True,para,24,1 True,
67,(médico),,,,,para,19,1 True,
68,pereza,,N/A,,perceptual trill,para,23,1 True,
69a,parar,,37,,approximant,,,,
69b,parar,,18,,1 True,para,29,1 True,
70,(mesa),,,,,para,24,1 True,
71a,querer,,32,,1 True,,,,
71b,querer,,27,,1 True,para,24,1 True,
72a,morir,,N/A,,perceptual trill,para,26,1 True,
72b,morir,,27,,1 True,,,,
73,(amigo),,,,,para,25,1 True,
74a,mirar,,N/A,,perceptual trill,,,,
74b,mirar,,25,,1 True,para,28,1 True,
75a,tirar,,N/A,,perceptual trill,,,,
75b,tirar,,25,,1 True,para,26,1 True,
76,(cocina),,,,,para,21,1 True,AUDIO 7
77a,morder,,27,,1 True,,,,
77b,morder,,27,,1 True,para,21,1 True,
78a,marcar,,35,,approximant,,,,
78b,marcar,,27,,1 True,para,20,1 True,
79,(tiza),,,,,para,23,1 True,
80a,cortar ,,26,,1 True,,,,
80b,cortar ,,25,,1 True,para,23,1 True,
81a,hurtar,,37,,approximant,,,,
81b,hurtar,,21,,1 True,para,21,1 True,
82,(dieta),,,,,para,24,1 True,
83a,perder,,27,,1 True,,,,
83b,perder,,16,,1 True,para,19,1 True,
84a,torero,,28,,1 True,,,,
84b,torero,,20,,1 True,para,34,approximant,
85,(agua),,,,,para,29,1 True,
86a,perecer,,N/A,,perceptual trill,,,,
86b,perecer,,35,,approximant,para,19,1 True,
87a,colorear,,N/A,,perceptual trill,,,,
87b,colorear,,21,,1 True,para,23,1 True,
88,(café),,,,,para,34,approximant,
89a,mercurio,,21,,1 True,,,,
89b,mercurio,,33,,approximant,para,23,1 True,
90a,arteria,,29,,1 True,,,,
90b,arteria,,23,,1 True,para,30,1 True,
91,(dibujo),,,,,para,21,1 True,AUDIO 8
92a,,radicar,,116,2,,,,
92b,radicar,,22,,1 True,para,23,1 True,
93a,,rifar,,111,2,,,,
93b,rifar,,28,,1 True,para,23,1 True,
94,(venta),,,,,para,25,1 True,
95a,,rodar,,174,3,,,,
95b,rodar,,31,,1 True,para,23,1 True,
96a,,romper,,123,2,,,,
96b,romper,,25,,1 True,para,22,1 True,
97,(siete),,,,,para,21,1 True,
98a,,rumor,,171,2,,,,
98b,rumor,,29,,1 True,para,28,1 True,
99a,,raro,,154,4,,,,
99b,raro,,28,,1 True,para,19,1 True,
100,(ocho),,,,,para,21,1 True,
101a,,ropero,,156,2,,,,
101b,ropero,,21,,1 True,para,26,1 True,
102a,,ratero,,182,5,,,,
102b,ratero,,20,,1 True,para,19,1 True,
103,(mayo),,,,,para,25,1 True,
104a,,carrera ,,163,3,,,,
104b,carrera,,29,,1 True,para,25,1 True,
105a,,rapero,,100,2,,,,
105b,rapero,,25,,1 True,para,24,1 True,Fin AUDIO 8
106,(semana),,,,,para,20,1 True,Audio 9
107a,,barrer,,161,3,para,27,1 True,
107b,barrer,,26,,1 True,,,,
108a,,correr,,159,3,para,36,approximant,
108b,correr,,23,,1 True,,,,
109,(antes),,,,,para,17,1 True,
110a,,narrar,,157,2,para,34,approximant,
110b,narrar,,26,,1 True,,,,
111a,,borrar,,176,4,para,28,1 True,
111b,borrar,,25,,1 True,,,,
112,(estoy),,,,,para,26,1 True,
113a,,cerrar ,,199,4,para,28,1 True,
113b,cerrar,,28,,1 True,,,,
114a,,derribar,,111,2,para,25,1 True,
114b,derribar,,24,,1 True,,,,
115,(común),,,,,para,27,1 True,
116a,,corregir,,104,2,para,22,1 True,
116b,corregir,,24,,1 True,,,,
117a,,irritar,,146,3,para,24,1 True,
117b,irritar,,28,,1 True,,,,
118,(menos),,,,,para,25,1 True,
119a,,interrogar,,170,3,para,21,1 True,
119b,interrogar,,23,,,,,,
120a,,corredor,,111,2,para,23,1 True,
120b,corredor,,27,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,POST para x̄ =,,
,,,26.23728814,148.28,,,24.74789916,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,143,3,,,,
2,Roberto,,16,,1 True,,,,
3,para,,22,,1 True,,,,
