Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,37,1 True,
2,ahora,,31,,1 True,para,34,1 True,
3,,ahorra,,36,1,para,45,approximant,
4,(uno),,,,,para,42,approximant,
5,vara,,35,,1 True,para,41,approximant,
6,,barra,,69,2,para,33,1 True,
7,(pata),,,,,para,31,1 True,
8,coral ,,37,,1 True,para,30,1 True,
9,,corral,,42,1,para,45,approximant,
10,(duelo),,,,,para,32,1 True,
11,caro,,33,,1 True,para,33,1 True,
12,,carro,,52,0,para,33,1 True,
13,(cuna),,,,,para,37,approximant,
14,pera,,34,,1 True,para,40,approximant,
15,,perra,,65,1,para,43,1 True,
16,(huelo),,,,,para,35,1 True,AUDIO 2
17,careta,,52,,1 True,para,40,approximant,
18,,carreta,,69,0,para,50,approximant,
19,(cena),,,,,para,45,approximant,
20,encerar,,57,,approximant,para,30,1 True,
20b,encerar,,33,,1 True,,,,
21,,encerrar,,56,1,para,51,approximant,
21b,encerrar,,34,,1 True,,,,
22,(pena),,,,,para,32,1 True,
23,perito,,41,,1 True,para,42,1 True,
24,,perrito,,66,0,para,53,approximant,
25,(invita),,,,,para,41,approximant,
26,pero,,40,,1 True,para,35,1 True,
27,,perro,,70,0,para,32,1 True,
28,(incita),,,,,para,38,1 True,
29,cero,,51,,approximant,para,33,1 True,
30,,cerro,,40,1,para,39,1 True,
31,(pato),,,,,para,40,1 True,AUDIO 3
32,,reto,,29,1,para,42,approximant,
33,,rifa,,45,1,para,37,1 True,
34,(cometa),,,,,para,41,approximant,
35,,risa,,35,1,para,42,approximant,
36,,rojo,,52,0,para,37,1 True,
37,(gato),,,,,para,36,1 True,
38,,ropa,,41,1,para,35,1 True,
39,,borracho,,63,2,para,33,1 True,
40,(hilo),,,,,para,33,1 True,
41,,carreta,,73,3,para,36,1 True,
42,,perrita,,64,2,para,45,approximant,
43,(cono),,,,,para,41,approximant,
44,,jarrita,,33,1,para,32,1 True,
45,,barrilete,,70,2,para,36,1 True,
46,(camisa),,,,,para,33,1 True,AUDIO 4
47,,guitarra,,55,1,para,46,approximant,
48,,torre,,58,0,para,35,1 True,
49,(clase),,,,,para,39,1 True,
50,,burro ,,61,0,para,45,approximant,
51,,zorro,,49,1,para,32,1 True,
52,(cómico),,,,,para,39,1 True,
53,,tierra,,33,1,para,31,1 True,
54,,sonrisa,,59,0,para,44,approximant,
55,(tiempo),,,,,para,42,approximant,
56,,alrededor,,54,1,para,33,1 True,
56b,alrededor,,28,,1 True,,,,
57,,enriquece,,72,1,para,35,1 True,
58,(mango),,,,,para,32,1 True,
59,,honrado,,64,0,para,35,1 True,
60,,israel,,38,1,para,38,1 True,
61,(cometa),,,,,para,30,1 True,AUDIO 6
62,cara,,54,,approximant,para,59,approximant,
63,madera,,57,,approximant,para,35,1 True,
64,(música),,,,,para,33,1 True,
65,cereza,,38,,1 True,para,31,1 True,
66,quiero,,36,,1 True,para,33,1 True,
67,(médico),,,,,para,40,approximant,
68,pereza,,45,,1 True,para,33,1 True,
69a,parar,,40,,1 True,,,,
69b,parar,,53,,approximant,para,48,approximant,
70,(mesa),,,,,para,34,1 True,
71a,querer,,49,,approximant,,,,
71b,querer,,33,,1 True,para,43,approximant,
72a,morir,,33,,1 True,para,46,approximant,
72b,morir,,30,,1 True,,,,
73,(amigo),,,,,para,31,1 True,
74a,mirar,,40,,1 True,,,,
74b,mirar,,35,,1 True,para,36,1 True,
75a,tirar,,35,,1 True,,,,
75b,tirar,,32,,1 True,para,47,approximant,
76,(cocina),,,,,para,35,1 True,AUDIO 7
77a,morder,,37,,1 True,,,,
77b,morder,,50,,approximant,para,37,1 True,
78a,marcar,,33,,1 True,,,,
78b,marcar,,43,,approximant,para,32,1 True,
79,(tiza),,,,,para,29,1 True,
80a,cortar ,,34,,1 True,,,,
80b,cortar ,,32,,1 True,para,35,1 True,
81a,hurtar,,N/A,,perceptual,,,,
81b,hurtar,,44,,approximant,para,41,approximant,
82,(dieta),,,,,para,36,1 True,
83a,perder,,44,,approximant,,,,
83b,perder,,49,,approximant,para,47,approximant,
84a,torero,,36,,1 True,,,,
84b,torero,,33,,1 True,para,39,1 True,
85,(agua),,,,,para,45,approximant,
86a,perecer,,35,,1 True,,,,
86b,perecer,,31,,1 True,para,37,1 True,
87a,colorear,,36,,1 True,,,,
87b,colorear,,48,,approximant,para,52,approximant,
88,(café),,,,,para,32,1 True,
89a,mercurio,,36,,1 True,,,,
89b,mercurio,,35,,1 True,para,32,1 True,
90a,arteria,,52,,approximant,,,,
90b,arteria,,50,,approximant,para,33,1 True,
91,(dibujo),,,,,para,32,1 True,AUDIO 8
92a,,radicar,,67,2,,,,
92b,radicar,,27,,1 True,para,35,1 True,NOTA: N/A means it wasn't possible to determine its duration. The wave form overlap with the vowel and the boundaries couldn't be determined. 
93a,,rifar,,39,1,,,,
93b,rifar,,33,,1 True,para,48,approximant,
94,(venta),,,,,para,38,1 True,
95a,,rodar,,49,0,,,,
95b,rodar,,49,,approximant,para,34,1 True,
96a,,romper,,45,1,,,,
96b,romper,,30,,1 True,para,38,1 True,
97,(siete),,,,,para,37,1 True,
98a,,rumor,,42,1,,,,
98b,rumor,,32,,1 True,para,39,1 True,
99a,,raro,,58,0,,,,
99b,raro,,36,,1 True,para,37,1 True,
100,(ocho),,,,,para,32,1 True,
101a,,ropero,,66,2,,,,
101b,ropero,,35,,1 True,para,33,1 True,
102a,,ratero,,57,0,,,,
102b,ratero,,36,,1 True,para,35,1 True,
103,(mayo),,,,,para,36,1 True,
104a,,carrera ,,46,1,,,,
104b,carrera,,48,,1 True,para,34,approximant,
105a,,rapero,,46,0,,,,
105b,rapero,,41,,1 True,para,35,1 True,Fin AUDIO 8
106,(semana),,,,,para,33,1 True,Audio 9
107a,,barrer,,69,2,para,39,1 True,
107b,barrer,,34,,1 True,,,,
108a,,correr,,58,1,para,38,1 True,
108b,correr,,38,,1 True,,,,
109,(antes),,,,,para,32,1 True,
110a,,narrar,,49,1,para,38,1 True,
110b,narrar,,33,,1 True,,,,
111a,,borrar,,70,2,para,38,1 True,
111b,borrar,,47,,approximant,,,,
112,(estoy),,,,,para,39,1 True,
113a,,cerrar ,,63,0,para,31,1 True,
113b,cerrar,,30,,1 True,,,,
114a,,derribar,,49,1,para,38,1 True,
114b,derribar,,32,,1 True,,,,
115,(común),,,,,para,32,1 True,
116a,,corregir,,68,2,para,32,1 True,
116b,corregir,,33,,1 True,,,,
117a,,irritar,,36,1,para,37,1 True,
117b,irritar,,35,,1 True,,,,
118,(menos),,,,,para,38,1 True,
119a,,interrogar,,70,0,para,55,approximant,
119b,interrogar,,56,,approximant,,,,
120a,,corredor,,30,1,para,34,1 True,
120b,corredor,,32,,1 True,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,Pre para Taps x̄ =,,
,,,38.97014925,53.8,,,37.625,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,134,3,,,,
2,Roberto,,32,,1 True,,,,
3,para,,32,,1 True,,,,
4,Amércia,,33,,1 True,,,,
5,Caribe,,45,,1 True,,,,
6,pérdida,,50,,approximant,,,,
7,,región,,66,1,,,,
8,,relacionada,,29,1,,,,
9,,rápida,,52,0,,,,
10,,tierras,,64,0,,,,
11,para,,34,,1 True,,,,
12,pérdida,,45,,approximant,,,,
13,,desarrollo,,87,2,,,,
14,infraestructura,,56,,approximant,,,,
15,,relacionada,,39,0,,,,
16,,carreteras,,53,1,,,,
17,carreteras,,56,,approximant,,,,
18,para,,36,,1 True,,,,
19,,carros,,60,0,,,,
20,,carrozas,,95,2,,,,
21,,rotundo ,,49,0,,,,
22,productor,,47,,approximant,,,,
23,materia,,40,,1 True,,,,
24,,relevante,,38,0,,,,
25,minería,,52,,approximant,,,,
26,por,,28,,1 True,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,41.85714286,63.83333333,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,norte,,33,,1 True,,,,
2,acerca,,30,,1 True,,,,
3,sería,,37,,1 True,,,,
4,fuerte,,42,,approximant,,,,
5,,repente,,34,0,,,,
6,viajero,,38,,1 True,,,,
7,verlo,,53,,approximant,,,,
8,convinieron,,38,,1 True,,,,
9,primero,,33,,1 True,,,,
10,consiguiera,,55,,approximant,,,,
11,quitarle,,34,,1 True,,,,
12,seria,,46,,approximant,,,,
13,fuerte,,31,,1 True,,,,
14,norte,,45,,approximant,,,,
15,soplar,,28,,1 True,,,,
16,furia,,35,,1 True,,,,
17,pero,,32,,1 True,,,,
18,,aferraba,,57,1,,,,
19,norte,,32,,1 True,,,,
20,esplendor ,,26,,1 True,,,,
21,,arrojó,,83,2,,,,
22,norte,,39,,1 True,,,,
23,,reconocer,,60,0,,,,
24,reconocer,,59,,approximant,,,,
25,superioridad,,37,,1 True,,,,
26,superioridad,,58,,approximant,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,39.13636364,58.5,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
Imagen A,,Correr,,33,1,,,,
Imagen A,Correr,,,,,,,,
Imagen A,,Perros,,,,,,,
Imagen B,Caminar,,,,,,,,
Imagen B,,Arroz,,105,2,,,,
Imagen B,,,,,,,,,
Imagen C,Caminar,,,,,,,,
Imagen C,Lavar,,,,,,,,
Imagen C,Mujer,,,,,,,,
Imagen C,,Ropa,,26,1,,,,
Imagen D,,Correr,,33,1,,,,
Imagen D,Correr,,,,,,,,
Imagen D,Toro,,32,,1 True,,,,
Imagen D,Atacar,,,,,,,,
Imagen E,Lavar,,,,,,,,
Imagen E,Mujer,,,,,"*Usa pronombres como ""ella""",,,
Imagen E,Cara,,41,,1 True,,,,
Imagen F,Tocar,,,,,,,,
Imagen F,Mujer,,,,,,,,
Imagen F,,Guitarra,,59,1,,,,
Imagen F,,Reir,,,,,,,
Imagen F,Reir,,,,,,,,
Imagen G,Dar,,,,,,,,
Imagen G,,Rojo,,87,0,,,,
Imagen G,,Zorro,,82,2,,,,
Imagen G,Flor,,32,,1 True,,,,
Imagen H,,Rojo,,50,0,,,,
Imagen H,Girar,,,,,,,,
Imagen H,Girar,,,,,,,,
Imagen H,,Carro,,83,2,,,,
Imagen H,,Rápido,,,,,,,
,,,,,,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,35,62,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Forced choice,N/A,,,,,,,,
Preguntas,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,correr,,,,,,,
1,correr,,,,,,,,
1,caminar,,,,,,,,
2,comer,,,,,,,,
2,,restaurantes,,,,,,,
2,cocinar,,,,,,,,
3,,rojo,,,,,,,
3,,rosado,,,,,,,
4,,ropa,,,,,,,
4,cara,,,,,,,,
4,,ropa,,,,,,,
4,barata,,,,,,,,
5,peras,,,,,,,,
5,moras,,,,,,,,
6,,carro,,,,,,,
6,,carro,,,,,,,
7,,arroz,,,,,,,
7,cereal,,,,,,,,
8,cortar,,,,,,,,
8,cortar,,,,,,,,
8,comprar,,,,,,,,
9,,gorra,,,,,,,
9,,correa,,,,,,,
10,tener,,,,,,,,
10,,rutina,,,,,,,
11,limpiar,,,,,,,,
11,lavar,,,,,,,,
12,,perro,,,,,,,
12,,burro,,,,,,,
