Sentence reading task,,,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,,,
1,(papa),,,,,para,22,1 True,,,
2,ahora,,21,,approximant,para,16,approximant,,,
3,,ahorra,,138,2,para,14,approximant,,,
4,(uno),,,,,para,15,1 True,,,
5,vara,,24,,approximant,para,18,approximant,,,
6,,barra,,137,3,para,15,1 True,,,
7,(pata),,,,,para,19,1 True,,,
8,coral ,,32,,approximant,para,20,approximant,,,
9,,corral,,142,2 / 2 / 1,para,22,1 True,3 attempts for trill,184/ 215 / 26 ,average noted
10,(duelo),,,,,para,17,approximant,,,
11,caro,,20,,approximant,para,17,1 True,,,
12,,carro,,139,6,para,12,approximant,,,
13,(cuna),,,,,para,14,1 True,,,
14,pera,,19,,1 True,para,22,1 True,,,
15,,perra,,192,4,para,16,approximant,,,
16,(huelo),,,,,para,19,1 True,AUDIO 2,,
17,careta,,16,,1 True,para,15,1 True,,,
18,,carreta,,156,2,para,22,1 True,,,
19,(cena),,,,,para,19,1 True,,,
20,encerar,,17,,1 True,para,20,1 True,,,
20b,encerar,,14,,approximant,,,,,,
21,,encerrar,,190,1,para,16,approximant,,,
21b,encerrar,,30,,approximant,,,,,,
22,(pena),,,,,para,18,1 True,,,
23,perito,,15,,1 True,para,18,1 True,,,
24,,perrito,,165,4,para,18,1 True,,,
25,(invita),,,,,para,21,1 True,,,
26,pero,,15,,1 True,para,21,1 True,,,
27,,perro,,166,5,para,19,1 True,,,
28,(incita),,,,,para,17,approximant,,,
29,cero,,18,,1 True,para,18,1 True,,,
30,,cerro,,176,5,para,14,1 True,,,
31,(pato),,,,,para,20,1 True,AUDIO 3,,
32,,reto,,139,2,para,16,1 True,,,
33,,rifa,,160,5,para,17,1 True,,,
34,(cometa),,,,,para,12,1 True,,,
35,,risa,,154,4,para,12,1 True,,,
36,,rojo,,161,3,para,20,1 True,,,
37,(gato),,,,,para,15,1 True,,,
38,,ropa,,151,4,para,,,,,
39,,borracho,,213,2,para,22,approximant,,,
40,(hilo),,,,,para,20,1 True,,,
41,,carreta,,180,3,para,15,approximant,,,
42,,perrita,,159,2,para,19,1 True,,,
43,(cono),,,,,para,21,1 True,,,
44,,jarrita,,141,3,para,13,1 True,,,
45,,barrilete,,169,3,para,16,1 True,,,
46,(camisa),,,,,para,17,1 True,AUDIO 4,,
47,,guitarra,,191,3,para,22,approximant,,,
48,,torre,,196,3,para,19,1 True,,,
49,(clase),,,,,para,15,1 True,,,
50,,burro ,,198,3,para,20,1 True,,,
51,,zorro,,147,5,para,19,1 True,,,
52,(cómico),,,,,para,18,1 True,,,
53,,tierra,,188,3,para,17,1 True,,,
54,,sonrisa,,194,1,para,20,1 True,,,
55,(tiempo),,,,,para,17,1 True,,,
56,,alrededor,,N/A /d/,N/A,para,30,approximant,,,
56b,alrededor,,42,,approximant,,,,,,
57,,enriquece,,27,1,para,25,1 True,,,
58,(mango),,,,,para,22,1 True,,,
59,,honrado,,83,1,para,23,1 True,,,
60,,israel,,147,3,para,20,1 True,,,
61,(cometa),,,,,para,22,1 True,AUDIO 6,,
62,cara,,19,,1 True,para,17,1 True,,,
63,madera,,18,,approximant,para,18,1 True,,,
64,(música),,,,,para,21,1 True,,,
65,cereza,,18,,approximant,para,19,1 True,,,
66,quiero,,16,,1 True,para,15,1 True,,,
67,(médico),,,,,para,16,approximant,,,
68,pereza,,16,,1 True,para,16,1 True,,,
69a,parar,,19,,approximant,,,,,,
69b,parar,,32,,approximant,para,14,1 True,,,
70,(mesa),,,,,para,15,1 True,,,
71a,querer,,22,,1 True,,,,,,
71b,querer,,20,,approximant,para,16,1 True,,,
72a,morir,,21,,approximant,para,15,1 True,,,
72b,morir,,27,,approximant,,,,,,
73,(amigo),,,,,para,14,1 True,,,
74a,mirar,,21,,1 True,,,,,,
74b,mirar,,32,,approximant,para,20,approximant,,,
75a,tirar,,26,,1 True,,,,,,
75b,tirar,,23,,approximant,para,23,approximant,,,
76,(cocina),,,,,para,21,approximant,AUDIO 7,,
77a,morder,,23,,approximant,,,,,,
77b,morder,,N/A,,perceptual,para,17,approximant,,,
78a,marcar,,30,,approximant,,,,,,
78b,marcar,,N/A,,perceptual,para,23,approximant,,,
79,(tiza),,,,,para,19,1 True,,,
80a,cortar ,,21,,approximant,,,,,,
80b,cortar ,,23,,approximant,para,19,approximant,,,
81a,hurtar,,32,,approximant,,,,,,
81b,hurtar,,36,,approximant,para,N/A,perceptual,,,
82,(dieta),,,,,para,21,approximant,,,
83a,perder,,N/A,,perceptual,,,,,,
83b,perder,,25,,approximant,para,21,approximant,,,
84a,torero,,17,,1 True,,,,,,
84b,torero,,18,,1 True,para,19,1 True,,,
85,(agua),,,,,para,24,1 True,,,
86a,perecer,,N/A,,N/A,,,,,,
86b,perecer,,25,,approximant,para,N/A,perceptual,,,
87a,colorear,,40,,approximant,,,,,,
87b,colorear,,24,,approximant,para,18,approximant,,,
88,(café),,,,,para,18,1 True,,,
89a,mercurio,,20,,approximant,,,,,,
89b,mercurio,,17,,1 true,para,23,1 True,,,
90a,arteria,,29,,approximant,,,,,,
90b,arteria,,18,,approximant,para,20,1 True,,,
91,(dibujo),,,,,para,18,1 True,AUDIO 8,,
92a,,radicar,,130,2,,,,,,
92b,radicar,,23,,approximant,para,20,1 True,,,
93a,,rifar,,116,2,,,,,,
93b,rifar,,26,,approximant,para,21,approximant,,,
94,(venta),,,,,para,20,1 True,,,
95a,,rodar,,152,3,,,,,,
95b,rodar,,82,,approximant,para,38,approximant,,,
96a,,romper,,138,4,,,,,,
96b,romper,,N/A,,perceptual,para,17,1 True,,,
97,(siete),,,,,para,23,1 True,,,
98a,,rumor,,149,4,,,,,,
98b,rumor,,27,,approximant,para,18,1 True,,,
99a,,raro,,127,3,,,,,,
99b,raro,,19,,1 True,para,16,1 True,,,
100,(ocho),,,,,para,15,approximant,,,
101a,,ropero,,129,2,,,,,,
101b,ropero,,22,,1 True,para,18,approximant,,,
102a,,ratero,,128,3,,,,,,
102b,ratero,,19,,1 True,para,17,approximant,,,
103,(mayo),,,,,para,17,approximant,,,
104a,,carrera ,,105,2,,,,,,
104b,carrera,,22,,1 True,para,19,approximant,,,
105a,,rapero,,134,3,,,,,,
105b,rapero,,26,,1 True,para,22,approximant,Fin AUDIO 8,,
106,(semana),,,,,para,21,approximant,Audio 9,,
107a,,barrer,,128,3,para,19,approximant,,,
107b,barrer,,29,,approximant,,,,,,
108a,,correr,,113,2,para,19,approximant,,,
108b,correr,,30,,approximant,,,,,,
109,(antes),,,,,para,23,1 True,,,
110a,,narrar,,149,3,para,23,approximant,,,
110b,narrar,,28,,approximant,,,,,,
111a,,borrar,,155,3,para,18,1 True,,,
111b,borrar,,33,,approximant,,,,,,
112,(estoy),,,,,para,16,approximant,,,
113a,,cerrar ,,110,2,para,19,1 True,,,
113b,cerrar,,24,,approximant,,,,,,
114a,,derribar,,122,3,para,27,approximant,,,
114b,derribar,,20,,approximant,,,,,,
115,(común),,,,,para,16,1 True,,,
116a,,corregir,,123,3,para,22,1 True,,,
116b,corregir,,28,,approximant,,,,,,
117a,,irritar,,137,4,para,21,approximant,,,
117b,irritar,,21,,approximant,,,,,,
118,(menos),,,,,para,19,1 True,,,
119a,,interrogar,,92,2,para,22,approximant,,,
119b,interrogar,,27,,approximant,,,,,,
120a,,corredor,,135,3,para,20,approximant,,,
120b,corredor,,24,,approximant,,,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,Para POST x̄ =,,,,
,,,24.46031746,146.3469388,,,18.83760684,,,,
,,,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,,,
,True ,Approximant,Perceptual,,0,1,2,3,,,
,n=,n= ,n=,,,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,,,
,,,,,,,,,,,
,,,,,,,,,,,
Paragraph 1,Tap,Trill,Duration taps,Duration Trills,Occlusions/Cat,,,,,,
1,,Roberto,,146,5,,,,,,
2,Roberto,,14,,approximant,,,,,,
3,para,,15,,1 True,,,,,,
4,,América,20,,1 True,,,,,,
5,Caribe,,20,,1 True,,,,,,
6,pérdida,,N/A,,perceptual,,,,,,
7,,región,,151,4,,,,,,
8,,relacionada,,141,4,,,,,,
9,,rápida,,190,4,,,,,,
10,,tierras,,104,4,,,,,,
11,para,,18,,1 True,,,,,,
12,pérdida,,N/A,,perceptual,,,,,,
13,,desarrollo,,120,4,,,,,,
14,infraestructura,,14,,1 True,,,,,,
15,,relacionada,,101,4,,,,,,
16,,carreteras,,154,2,,,,,,
17,carreteras,,25,,approximant,,,,,,
18,para,,17,,1 True,,,,,,
19,,carros,,123,3,,,,,,
20,,carrozas,,113,3,,,,,,
21,,rotundo ,,150,3,,,,,,
22,productor,,21,,approximant,,,,,,
23,materia,,18,,1 True,,,,,,
24,,relevante,,90,3,,,,,,
25,minería,,17,,1 True,,,,,,
26,por,,19,,1 True,,,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,,,
,,,18.16666667,131.9166667,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AUDIO 10,,,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration  Trills,Occlusions/Cat,,,,,,
1,norte,,23,,1 True,,,,,,
2,acerca,,N/A,,perceptual,,,,,,
3,sería,,18,,1 True,,,,,,
4,fuerte,,31,,approcimant,,,,,,
5,,repente,,132,3,,,,,,
6,viajero,,19,,1 True,,,,,,
7,verlo,,25,,approximant,,,,,,
8,convinieron,,N/A,,perceptual,,,,,,
9,primero,,N/A,,perceptual,,,,,,
10,consiguiera,,28,,1 True,,,,,,
11,quitarle,,N/A,,perceptual,,,,,,
