Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,55,approximant,
2,ahora,,51,,approximant,para,47,approximant,
3,,ahorra,,N/A,0,para,N/A,perceptual,
4,(uno),,,,,para,51,approximant,
5,vara,,90,,approximant,para,62,approximant,
6,,barra,,56,0,para,57,approximant,
7,(pata),,,,,para,59,approximant,
8,coral ,,61,,approximant,para,59,approximant,
9,,corral,,60,0,para,51,approximant,
10,(duelo),,,,,para,N/A,perceptual,
11,caro,,59,,approximant,para,57,approximant,
12,,carro,,52,0,para,N/A,perceptual,
13,(cuna),,,,,para,60,approximant,
14,pera,,61,,approximant,para,53,approximant,
15,,perra,,N/A,0,para,54,approximant,
16,(huelo),,,,,para,59,approximant,AUDIO 2
17,careta,,69,,approximant,para,61,approximant,
18,,carreta,,51,0,para,N/A,perceptual,
19,(cena),,,,,para,N/A,perceptual,
20,encerar,,71,,approximant,para,66,approximant,
20b,encerar,,74,,approximant,,,,
21,,encerrar,,73,0,para,64,approximant,
21b,encerrar,,80,,approximant,,,,
22,(pena),,,,,para,54,approximant,
23,perito,,76,,approximant,para,63,approximant,
24,,perrito,,51,0,para,55,approximant,
25,(invita),,,,,para,N/A,perceptual,
26,pero,,51,,approximant,para,44,approximant,
27,,perro,,85,0,para,62,approximant,
28,(incita),,,,,para,62,approximant,
29,cero,,65,,approximant,para,55,approximant,
30,,cerro,,,,para,N/A,perceptual,
31,(pato),,,,,para,56,approximant,AUDIO 3
32,,reto,,52,0,para,N/A,perceptual,
33,,rifa,,65,0,para,55,approximant,
34,(cometa),,,,,para,54,approximant,
35,,risa,,26,0,para,47,approximant,
36,,rojo,,34,0,para,65,approximant,
37,(gato),,,,,para,47,approximant,
38,,ropa,,42,0,para,54,approximant,
39,,borracho,,55,0,para,68,approximant,
40,(hilo),,,,,para,48,approximant,
41,,carreta,,40,0,para,58,approximant,
42,,perrita,,74,0,para,63,approximant,
43,(cono),,,,,para,N/A,perceptual,
44,,jarrita,,44,0,para,54,approximant,
45,,barrilete,,N/A,0,para,57,approximant,
46,(camisa),,,,,para,37,approximant,AUDIO 4
47,,guitarra,,50,0,para,51,approximant,
48,,torre,,34,0,para,N/A,perceptual,
49,(clase),,,,,para,57,approximant,
50,,burro ,,N/A,0,para,74,approximant,
51,,zorro,,55,0,para,70,approximant,
52,(cómico),,,,,para,63,approximant,
53,,tierra,,N/A,0,para,70,approximant,
54,,sonrisa,,33,0,para,N/A,perceptual,
55,(tiempo),,,,,para,62,approximant,
56,,alrededor,,39,0,para,58,approximant,
56b,alrededor,,64,,approximant,,,,
57,,enriquece,,45,0,para,59,approximant,
58,(mango),,,,,para,60,approximant,
59,,honrado,,43,0,para,N/A,perceptual,
60,,israel,,44,0,para,54,approximant,
61,(cometa),,,,,para,84,approximant,AUDIO 6
62,cara,,54,,approximant,para,N/A,perceptual,
63,madera,,51,,approximant,para,67,approximant,
64,(música),,,,,para,N/A,perceptual,
65,cereza,,51,,approximant,para,69,approximant,
66,quiero,,97,,approximant,para,50,approximant,
67,(médico),,,,,para,61,approximant,
68,pereza,,48,,approximant,para,55,approximant,
69a,parar,,N/A,,perceptual,,,approximant,
69b,parar,,N/A,,perceptual,para,N/A,perceptual,
70,(mesa),,,,,para,63,approximant,
71a,querer,,46,,approximant,,,,
71b,querer,,56,,approximant,para,63,approximant,
72a,morir,,69,,approximant,para,60,approximant,
72b,morir,,45,,approximant,,,,
73,(amigo),,,,,para,64,approximant,
74a,mirar,,51,,approximant,,,,
74b,mirar,,52,,approximant,para,67,approximant,
75a,tirar,,72,,approximant,,,,
75b,tirar,,53,,approximant,para,N/A,perceptual,
76,(cocina),,,,,para,62,approximant,AUDIO 7
77a,morder,,51,,approximant,,,,
77b,morder,,61,,approximant,para,91,approximant,
78a,marcar,,55,,approximant,,,,
78b,marcar,,57,,approximant,para,73,approximant,
79,(tiza),,,,,para,62,approximant,
80a,cortar ,,44,,approximant,,,,
80b,cortar ,,57,,approximant,para,57,approximant,
81a,hurtar,,N/A,,perceptual,,,,
81b,hurtar,,81,,approximant,para,71,approximant,
82,(dieta),,,,,para,58,approximant,
83a,perder,,N/A,,perceptual,,,,
83b,perder,,N/A,,perceptual,para,53,approximant,
84a,torero,,46,,approximant,,,,
84b,torero,,53,,approximant,para,64,approximant,
85,(agua),,,,,para,45,approximant,
86a,perecer,,N/A,,perceptual,,,,
86b,perecer,,50,,approximant,para,55,approximant,
87a,colorear,,69,,approximant,,,,
87b,colorear,,48,,approximant,para,63,approximant,
88,(café),,,,,para,47,approximant,
89a,mercurio,,48,,approximant,,,,
89b,mercurio,,58,,approximant,para,48,approximant,
90a,arteria,,46,,approximant,,,,
90b,arteria,,56,,approximant,para,59,approximant,
91,(dibujo),,,,,para,51,approximant,AUDIO 8
92a,,radicar,,30,0,,,,
92b,radicar,,61,,approximant,para,53,approximant,NOTA: N/A means it wasn't possible to determine its duration. The wave form overlap with the vowel and the boundaries couldn't be determined. 
93a,,rifar,,55,0,,,,
93b,rifar,,134,,approximant,para,58,approximant,
94,(venta),,,,,para,59,approximant,
95a,,rodar,,63,0,,,,
95b,rodar,,48,,approximant,para,77,approximant,
96a,,romper,,40,0,,,,
96b,romper,,98,,approximant,para,54,approximant,
97,(siete),,,,,para,56,approximant,
98a,,rumor,,34,0,,,,
98b,rumor,,70,,approximant,para,52,approximant,
99a,,raro,,58,0,,,,
99b,raro,,54,,approximant,para,86,approximant,
100,(ocho),,,,,para,56,approximant,
101a,,ropero,,35,0,,,,
101b,ropero,,81,,approximant,para,75,approximant,
102a,,ratero,,N/A,0,,,,
102b,ratero,,55,,approximant,para,65,approximant,
103,(mayo),,,,,para,83,approximant,
104a,,carrera ,,65,0,,,,
104b,carrera,,76,,approximant,para,57,approximant,
105a,,rapero,,45,0,,,,
105b,rapero,,58,,approximant,para,72,approximant,Fin AUDIO 8
106,(semana),,,,,para,56,approximant,Audio 9
107a,,barrer,,84,0,para,68,approximant,
107b,barrer,,59,,approximant,,,,
108a,,correr,,60,0,para,64,approximant,
108b,correr,,58,,approximant,,,,
109,(antes),,,,,para,63,approximant,
110a,,narrar,,84,0,para,63,approximant,
110b,narrar,,81,,approximant,,,,
111a,,borrar,,N/A,0,para,67,approximant,
111b,borrar,,56,,approximant,,,,
112,(estoy),,,,,para,N/A,perceptual,
113a,,cerrar ,,86,0,para,55,approximant,
113b,cerrar,,66,,approximant,,,,
114a,,derribar,,N/A,0,para,60,approximant,
114b,derribar,,89,,approximant,,,,
115,(común),,,,,para,70,approximant,
116a,,corregir,,64,0,para,70,approximant,
116b,corregir,,64,,approximant,,,,
117a,,irritar,,69,0,para,58,approximant,
117b,irritar,,82,,approximant,,,,
118,(menos),,,,,para,72,approximant,
119a,,interrogar,,N/A,0,para,88,approximant,
119b,interrogar,,100,,,,,,
120a,,corredor,,82,0,para,54,approximant,
120b,corredor,,N/A,,perceptual,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,Pre para Taps x̄ =,,
,,,63.72131148,53.925,,,60.42718447,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Taps duration,Trills duration,Occlusions/Cat,,,,
1,,Roberto,,38,0,,,,
2,Roberto,,38,,approximant,,,,
3,para,,80,,approximant,,,,
4,,América,65,,approximant,,,,
5,Caribe,,60,,approximant,,,,
6,pérdida,,84,,approximant,,,,
7,,región,,63,0,,,,
8,,relacionada,,N/A,0,,,,
9,,rápida,,29,0,,,,
10,,tierras,,60,0,,,,
11,para,,73,,approximant,,,,
12,pérdida,,N/A,,N/A,,,,
13,,desarrollo,,62,0,,,,
14,infraestructura,,71,,approximant,,,,
15,,relacionada,,53,0,,,,
16,,carreteras,,52,0,,,,
17,carreteras,,N/A,,N/A,,,,
18,para,,65,,approximant,,,,
19,,carros,,52,0,,,,
20,,carrozas,,65,0,,,,
21,,rotundo ,,36,0,,,,
22,productor,,88,,approximant,,,,
23,materia,,60,,approximant,,,,
24,,relevante,,37,0,,,,
25,minería,,60,,approximant,,,,
26,por,,70,,approximant,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,67.83333333,49.72727273,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Taps duration,Trills duration ,Occlusions / Cat,,,,
1,norte,,45,,approximant,,,,
2,acerca,,125,,approximant,,,,
3,sería,,143,,approximant,,,,
4,fuerte,,81,,approximant,,,,
5,,repente,,41,0,,,,
6,viajero,,123,,approximant,,,,
7,verlo,,87,,approximant,,,,
8,convinieron,,77,,approximant,,,,
9,primero,,N/A,,N/A,,,,
10,consiguiera,,73,,approximant,,,,
11,quitarle,,68,,approximant,,,,
12,seria,,N/A,,perceptual,,,,
13,fuerte,,66,,approximant,,,,
14,norte,,45,,approximant,,,,
15,soplar,,85,,approximant,,,,
16,furia,,94,,approximant,,,,
17,pero,,85,,approximant,,,,
18,,aferraba,,N/A,0,,,,
19,norte,,N/A,,perceptual,,,,
20,esplendor ,,86,,approximant,,,,
21,,arrojó,,103,0,,,,
22,norte,,53,,approximant,,,,
23,,reconocer,,36,0,,,,
24,reconocer,,79,,approximant,,,,
25,superioridad,,83,,approximant,,,,
26,superioridad,,N/A,,N/A,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,83.22222222,60,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Tap duration,Trill duration,Occlusions,,,,
Imagen A,,Correr,,59,0,,,,
Imagen A,Correr,,112,,approximant,,,,
Imagen A,,Perros,,72,0,,,,
Imagen B,Caminar,,106,,approximant,,,,
Imagen B,,Arroz,,98,0,,,,
Imagen B,,,,,,,,,
Imagen C,Caminar,,108,,approximant,,,,
Imagen C,Lavar,,129,,approximant,,,,
Imagen C,Mujer,,87,,approximant,,,,
Imagen C,,Ropa,,53,0,,,,
Imagen D,,Correr,,48,0,,,,
Imagen D,Correr,,108,,approximant,,,,
Imagen D,Toro,,66,,approximant,,,,
Imagen D,Atacar,,186,,approximant,,,,
Imagen E,Lavar,,N/A,,N/A,,,,
Imagen E,Mujer,,140,,approximant,,,,
Imagen E,Cara,,116,,approximant,,,,
Imagen F,Tocar,,N/A,,N/A,,,,
