Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration ,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,16,1 True,
2,ahora,,49,,approximant,para,31,approximant,
3,,ahorra,,45,1,para,N/A,perceptual,
4,(uno),,,,,para,27,approximant,
5,vara,,N/A,,perceptual,para,24,approximant,
6,,barra,,45,2,para,31,approximant,
7,(pata),,,,,para,30,approximant,
8,coral ,,42,,approximant,para,28,approximant,
9,,corral,,87,3,para,33,approximant,
10,(duelo),,,,,para,32,approximant,
11,caro,,39,,approximant,para,32,approximant,
12,,carro,,69,3,para,28,approximant,
13,(cuna),,,,,para,N/A,perceptual,
14,pera,,28,,1 True,para,24,approximant,
15,,perra,,75,3,para,29,approximant,
16,(huelo),,,,,para,28,approximant,AUDIO 2
17,careta,,73,,2 True,para,28,approximant,
18,,carreta,,68,2,para,31,1 True,
19,(cena),,,,,para,27,approximant,
20,encerar,,61,,2 True,para,N/A,perceptual,
20b,encerar,,31,,approximant,,,,
21,,encerrar,,68,3,para,45,approximant,
21b,encerrar,,24,,approximant,,,,
22,(pena),,,,,para,27,1 True,
23,perito,,43,,1 True,para,28,approximant,
24,,perrito,,73,2,para,33,approximant,
25,(invita),,,,,para,23,approximant,
26,pero,,28,,1 True,para,27,1 True,
27,,perro,,84,3,para,36,approximant,
28,(incita),,,,,para,N/A,perceptual,
29,cero,,28,,approximant,para,37,approximant,
30,,cerro,,69,3,para,28,approximant,
31,(pato),,,,,para,N/A,perceptual,AUDIO 3
32,,reto,,34,1,para,23,approximant,
33,,rifa,,43,1,para,N/A,perceptual,
34,(cometa),,,,,para,33,approximant,
35,,risa,,38,1,para,N/A,perceptual,
36,,rojo,,30,1,para,N/A,perceptual,
37,(gato),,,,,para,28,approximant,
38,,ropa,,42,1,para,27,approximant,
39,,borracho,,65,3,para,62,approximant,
40,(hilo),,,,,para,32,1 True,
41,,carreta,,78,2,para,N/A,perceptual,
42,,perrita,,N/A,0,para,55,approximant,
43,(cono),,,,,para,27,approximant,
44,,jarrita,,70,3,para,46,approximant,
45,,barrilete,,67,2,para,30,approximant,
46,(camisa),,,,,para,26,approximant,AUDIO 4
47,,guitarra,,62,3,para,65,approximant,
48,,torre,,40,1,para,21,1 True,
49,(clase),,,,,para,26,approximant,
50,,burro ,,78,3,para,27,approximant,
51,,zorro,,62,2,para,34,approximant,
52,(cómico),,,,,para,N/A,perceptual,
53,,tierra,,78,2,para,N/A,perceptual,
54,,sonrisa,,59,2,para,45,approximant,
55,(tiempo),,,,,para,N/A,perceptual,
56,,alrededor,,32,0,para,40,approximant,
56b,alrededor,,27,,approximant,,,,
57,,enriquece,,39,1,para,29,1 True,
58,(mango),,,,,para,23,approximant,
59,,honrado,,36,0,para,23,approximant,
60,,israel,,24,0,para,25,1 True,
61,(cometa),,,,,para,24,1 True,AUDIO 6
62,cara,,33,,1 True,para,20,1 True,
63,madera,,21,,1 True,para,18,approximant,
64,(música),,,,,para,23,1 True,
65,cereza,,40,,1 True,para,30,approximant,
66,quiero,,30,,1 True,para,N/A,perceptual,
67,(médico),,,,,para,N/A,perceptual,
68,pereza,,29,,1 True,para,21,approximant,
69a,parar,,20,,approximant,,,,
69b,parar,,27,,approximant,para,22,approximant,
70,(mesa),,,,,para,22,1 True,
71a,querer,,40,,1 True,,,,
71b,querer,,43,,1 True,para,27,1 True,
72a,morir,,27,,1 True,para,N/A,perceptual,
72b,morir,,34,,approximant,,,,
73,(amigo),,,,,para,14,approximant,
74a,mirar,,26,,approximant,,,,
74b,mirar,,39,,approximant,para,20,approximant,
