Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration taps,Duration ,Occlusions,PARA,Duration,Occlusions,
61,(cometa),,,,,para,26,1 True,AUDIO 6
62,cara,,19,,1 True,para,34,approximant,
63,madera,,16,,1 True,para,21,1 True,
64,(música),,,,,para,12,approximant,
65,cereza,,35,,1 True,para,24,1 True,
66,quiero,,15,,1 True,para,28,approximant,
67,(médico),,,,,para,28,1 True,
68,pereza,,39,,1 True,para,39,approximant,
69a,parar,,46,,1 True,,,,
69b,parar,,45,,1 True,para,33,approximant,
70,(mesa),,,,,para,41,1 True,
71a,querer,,29,,1 True,,,,
71b,querer,,27,,1 True,para,24,approximant,
72a,morir,,27,,1 True,para,23,approximant,
72b,morir,,34,,1 True,,,,
73,(amigo),,,,,para,26,1 True,
74a,mirar,,29,,1 True,,,,
74b,mirar,,33,,1 True,para,23,1 true,
75a,tirar,,25,,1 True,,,,
75b,tirar,,26,,1 True,para,30,approximant,
76,(cocina),,,,,para,21,1 True,AUDIO 7
77a,morder,,45,,approximant,,,,
77b,morder,,35,,1 True,para,37,approximant,
78a,marcar,,19,,1 True,,,,
78b,marcar,,35,,approximant,para,30,approximant,
79,(tiza),,,,,para,27,approximant,
80a,cortar ,,15,,1 True,,,,
80b,cortar ,,25,,1 True,para,24,approximant,
81a,hurtar,,24,,approximant,,,,
81b,hurtar,,38,,approximant,para,27,approximant,
82,(dieta),,,,,para,22,1 True,
83a,perder,,37,,1 True,,,,
83b,perder,,40,,1 True,para,28,approximant,
84a,torero,,36,,1 True,,,,
84b,torero,,23,,1 True,para,34,1 True,
85,(agua),,,,,para,28,1 True,
86a,perecer,,25,,1 True,,,,
86b,perecer,,22,,1 True,para,24,1 True,
87a,colorear,,47,,1 True /d/,,,,
87b,colorear,,33,,approximant,para,24,1 True,
88,(café),,,,,para,22,1 True,
89a,mercurio,,24,,1 True,,,,
89b,mercurio,,31,,approximant,para,25,1 True,
90a,arteria,,26,,1 True,,,,
90b,arteria,,28,,1 True,para,28,1 True,
91,(dibujo),,,,,para,36,approximant,AUDIO 8
92a,,radicar,,47,1,,,,
92b,radicar,,47,,approximant,para,42,approximant,NOTA: N/A means it wasn't possible to determine its duration. The wave form overlap with the vowel and the boundaries couldn't be determined. 
93a,,rifar,,48,2,,,,
93b,rifar,,29,,1 True,para,24,approximant,
94,(venta),,,,,para,24,1 True,
95a,,rodar,,70,2,,,,
95b,rodar,,27,,1 True,para,19,approximant,
96a,,romper,,90,2 + frication (dr),,,,
96b,romper,,34,,approximant,para,27,approximant,
97,(siete),,,,,para,29,1 True,
98a,,rumor,,115,2 + frication (dr),,,,
98b,rumor,,28,,1 True,para,28,approximant,
99a,,raro,,66,2 + frication (dr),,,,
99b,raro,,21,,1 True,para,37,approximant,
100,(ocho),,,,,para,35,1 True,
101a,,ropero,,96,2 + frication (dr),,,,
101b,ropero,,19,,1 true,para,21,approximant,
102a,,ratero,,69,1 /l/ ,,,,
102b,ratero,,25,,1 True,para,31,approximant,
103,(mayo),,,,,para,23,1 true,
104a,,carrera ,,63,2 + frication,,,,
104b,carrera,,28,,1 True,para,26,1 True,
105a,,rapero,,59,2 + frication,,,,
105b,rapero,,16,,1 True,para,20,1 True,Fin AUDIO 8
106,(semana),,,,,para,24,1 True,Audio 9
107a,,barrer,,55,2 + frication (dr),para,21,approximant,
107b,barrer,,23,,1 True,,,,
108a,,correr,,64,2 + frication (dr),para,28,approximant,
108b,correr,,39,,1 True,,,,
109,(antes),,,,,para,25,1 True,
110a,,narrar,,66,2 + frication (dr),para,18,1 True,
110b,narrar,,25,,1 True,,,,
111a,,borrar,,64,2 + frication (dr),para,29,1 True,
111b,borrar,,23,,1 True,,,,
112,(estoy),,,,,para,17,1 True,
113a,,cerrar ,,66,2 + frication (dr),para,30,approximant,
113b,cerrar,,33,,1 True,,,,
114a,,derribar,,62,2 + frication (dr),para,33,approximant,
114b,derribar,,15,,1 True,,,,
115,(común),,,,,para,21,1 True,
116a,,corregir,,62,2 + frication (dr),para,30,1 True,
116b,corregir,,32,,1 True (l),,,,
117a,,irritar,,64,2 + frication (dr),para,32,approximant,
117b,irritar,,21,,1 True,,,,
118,(menos),,,,,para,31,approximant,
119a,,interrogar,,59,2 + frication (dr),para,31,approximant,
119b,interrogar,,38,,1 True,,,,
120a,,corredor,,77,2 + frication (dr),para,26,approximant,
120b,corredor,,26,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,POST Para x̄ =,,
,,,29.20588235,66.20833333,,,28.88034188,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,perceptual,,0,1,2,3+,
,n= ,n= ,n=,,,,,,
,x̄ =,x̄ = ,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration taps,Duration ,Occlusions,,,,
1,,Roberto,,81,2 + frication (dr),,,,
2,Roberto,,18,,1 True,,,,
3,para,,23,,1 True,,,,
4,América,,21,,1 True,,,,
5,Caribe,,31,,1 True,,,,
6,pérdida,,27,,1 True,,,,
7,,región,,77,2 + frication (dr),,,,
8,,relacionada,,38,0,NOTE: aspiration,,,
9,,rápida,,81,0,NOTE: aspiration,,,
10,,tierras,,76,2 + frication (dr),,,,
11,para,,24,,1 True,,,,
12,pérdida,,36,,approximant,,,,
13,,desarrollo,,57,1,,,,
14,infraestructura,,41,,1 True,,,,
15,,relacionada,,111,2 + frication (dr),,,,
16,,carreteras,,75,3 + frication (dr),,,,
17,carreteras,,22,,1 True,,,,
18,para,,19,,1 True,,,,
19,,carros,,50,2,NOTE: frecuent word,,,
20,,carrozas,,58,2 + frication (dr),,,,
21,,rotundo ,,65,2 + frication (dr),,,,
22,productor,,43,,approximant,,,,
23,materia,,48,,approximant,,,,
24,,relevante,,70,2 + frication (dr),,,,
25,minería,,39,,1 True,,,,
26,por,,26,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,29.85714286,69.91666667,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration ,Occlusions,,,,
1,norte,,22,,1 True,,,,
2,acerca,,32,,approximant,,,,
3,sería,,14,,1 True,,,,
4,fuerte,,15,,1 True,,,,
5,,repente,,71,2 + frication (dr),,,,
6,viajero,,N/A,,perceptual,NOTE: aspiration,,,
7,verlo,,20,,1 True,NOTE: omission of /l/ in second syllable,,,
8,convinieron,,22,,1 True,,,,
9,primero,,19,,1 True,,,,
10,consiguiera,,39,,1 True,,,,
11,quitarle,,23,,1 True,,,,
12,seria,,21,,1 True,,,,
13,fuerte,,26,,1 True,,,,
14,norte,,25,,1 True,,,,
15,soplar,,22,,1 True,,,,
16,furia,,23,,1 True,,,,
17,pero,,25,,1 True,,,,
18,,aferraba,,76,1 True,,,,
19,norte,,30,,1 True,,,,
20,esplendor ,,27,,1 True,,,,
21,,arrojó,,64,2 + frication (dr),,,,
22,norte,,24,,1 True,,,,
23,,reconocer,,51,1 + frication (dr),,,,
24,reconocer,,23,,1 True,,,,
25,superioridad (a),,16,,1 True,,,,
26,superioridad (b),,17,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,23.0952381,65.5,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration ,Occlusions,,,,
Imagen A,,Correr,,65,2 + frication (dr),,,,
Imagen A,Correr,,N/P,,,N/P: not present,,,
Imagen A,,Perros,,97,3 + frication (dr),,,,
Imagen B,Caminar,,N/P,,,,,,
Imagen B,,Arroz,,49,1,,,,
Imagen C,Caminar,,N/P,,,,,,
Imagen C,Lavar,,N/P,,,,,,
Imagen C,Mujer,,31,,1 True,,,,
Imagen C,,Ropa,,53,2 (glotal),,,,
Imagen D,,Correr,,38,1 /l/,,,,
Imagen D,Correr,,18,,1 True,,,,
Imagen D,Toro,,18,,1 True,,,,
Imagen D,Atacar,,21,,1 True,,,,
Imagen E,Lavar,,N/P,,,,,,
Imagen E,Mujer,,27,,approximant,,,,
Imagen E,Cara,,26,,1 True,,,,
Imagen F,Tocar,,N/P,,,,,,
Imagen F,Mujer,,22,,approximant,,,,
Imagen F,,Guitarra,,81,2 + frication (dr),,,,
Imagen F,,Reir,,N/P,,,,,
