Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,28,1 True,
2,ahora,,43,,approximant,para,44,approximant,
3,,ahorra,,121,4,para,30,1 True,
4,(uno),,,,,para,32,1 True,
5,vara,,58,,approximant,para,31,1 True,
6,,barra,,72,1,para,40,approximant,
7,(pata),,,,,para,28,1 True,
8,coral ,,121,,3 True,para,32,1 True,
9,,corral,,144,3,para,45,approximant,
10,(duelo),,,,,para,32,1 True,
11,caro,,111,,3 True,para,33,1 True,
12,,carro,,109,5,para,37,1 True,
13,(cuna),,,,,para,36,1 True,
14,pera,,97,,approximant,para,47,approximant,
15,,perra,,75,2,para,43,approximant,
16,(huelo),,,,,para,43,approximant,AUDIO 2
17,careta,,49,,approximant,para,45,approximant,
18,,carreta,,118,3,para,32,1 True,
19,(cena),,,,,para,22,1 True,
20,encerar,,75,,approximant,para,29,1 True,
20b,encerar,,45,,approximant,,,,
21,,encerrar,,98,3,para,51,1 True,
21b,encerrar,,34,,1 True,,,,
22,(pena),,,,,para,31,1 True,
23,perito,,69,,approximant,para,38,approximant,
24,,perrito,,116,4,para,26,1 True,
25,(invita),,,,,para,35,approximant,
26,pero,,22,,1 True,para,42,approximant,
27,,perro,,96,3,para,38,approximant,
28,(incita),,,,,para,27,1 True,
29,cero,,61,,approximant,para,44,approximant,
30,,cerro,,75,1,para,34,1 True,
31,(pato),,,,,para,39,approximant,AUDIO 3
32,,reto,,113,0,para,45,approximant,
33,,rifa,,47,0,para,36,approximant,
34,(cometa),,,,,para,42,approximant,
35,,risa,,35,0,para,35,1 True,
36,,rojo,,58,0,para,39,approximant,
37,(gato),,,,,para,42,approximant,
38,,ropa,,62,0,para,26,1 True,
39,,borracho,,87,3,para,28,1 True,
40,(hilo),,,,,para,29,1 True,
41,,carreta,,84,3,para,34,1 True,
42,,perrita,,69,0,para,42,approximant,
43,(cono),,,,,para,35,1 True,
44,,jarrita,,52,1,para,47,approximant,
45,,barrilete,,86,0,para,36,1 True,
46,(camisa),,,,,para,31,1 True,AUDIO 4
47,,guitarra,,61,0,para,28,1 True,
48,,torre,,43,0,para,37,1 True,
49,(clase),,,,,para,40,approximant,
50,,burro ,,55,0,para,46,approximant,
51,,zorro,,54,0,para,27,1 True,
52,(cómico),,,,,para,36,approximant,
53,,tierra,,32,0,para,27,1 True,
54,,sonrisa,,48,0,para,38,approximant,
55,(tiempo),,,,,para,36,1 True,
56,,alrededor,,46,0,para,32,1 True,
56b,alrededor,,28,,1 True,,,,
57,,enriquece,,61,0,para,34,1 True,
58,(mango),,,,,para,32,1 True,
59,,honrado,,75,0,para,28,1 True,
60,,israel,,55,0,para,36,1 True,
61,(cometa),,,,,para,26,1 True,AUDIO 6
62,cara,,28,,1 True,para,37,1 True,
63,madera,,27,,1 True,para,39,approximant,
64,(música),,,,,para,31,1 True,
65,cereza,,29,,1 True,para,42,approximant,
