Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Category,
71a,querer,,20,,1 True,,,,
71b,querer,,17,,1 True,para,23,approximant,
72a,morir,,17,,1 True,para,22,1 True,
72b,morir,,30,,1 True,,,,
73,(amigo),,,,,para,14,approximant,
74a,mirar,,28,,1 True,,,,
74b,mirar,,26,,1 True,para,20,1 True,
75a,tirar,,30,,1 True,,,,
75b,tirar,,17,,1 True,para,21,approximant,
76,(cocina),,,,,para,26,approximant,AUDIO 7
77a,morder,,N/A,,perceptual,,,,
77b,morder,,21,,1 True,para,22,approximant,
78a,marcar,,16,,1 True,,,,
78b,marcar,,16,,1 True,para,14,approximant,
79,(tiza),,,,,para,36,approximant,
80a,cortar ,,26,,1 True,,,,
80b,cortar ,,18,,1 True,para,24,approximant,
81a,hurtar,,37,,approximant,,,,
81b,hurtar,,21,,1 True,para,20,1 True,
82,(dieta),,,,,para,28,approximant,
83a,perder,,61,,approximant,,,,
83b,perder,,27,,1 True,para,15,1 True,
84a,torero,,13,,1 True,,,,
84b,torero,,21,,1 True,para,25,approximant,
85,(agua),,,,,para,23,1 True,
86a,perecer,,36,,approximant,,,,
86b,perecer,,17,,1 True,para,19,1 True,
87a,colorear,,26,,approximant,,,,
87b,colorear,,N/A,,perceptual,para,18,1 True,
88,(café),,,,,para,21,approximant,
89a,mercurio,,N/A,,perceptual,,,,
89b,mercurio,,37,,approximant,para,20,approximant,
90a,arteria,,27,,approximant,,,,
90b,arteria,,21,,1 True,para,22,1 True,
91,(dibujo),,,,,para,21,approximant,AUDIO 8
92a,,radicar,,15,1,,,,
92b,radicar,,15,,1 True,para,15,1 True,NOTA: N/A means it wasn't possible to determine its duration. The wave form overlap with the vowel and the boundaries couldn't be determined. 
93a,,rifar,,32,1,,,,
93b,rifar,,23,,1 True,para,16,1 True,
94,(venta),,,,,para,13,1 True,
95a,,rodar,,44,0,,,,
95b,rodar,,22,,1 True,para,19,1 True,
96a,,romper,,22,0,,,,
96b,romper,,28,,1 True,para,16,1 True,
97,(siete),,,,,para,20,1 True,
98a,,rumor,,49,0,,,,
98b,rumor,,23,,1 True,para,19,1 True,
99a,,raro,,32,1,,,,
99b,raro,,22,,1 True,para,22,1 True,
100,(ocho),,,,,para,16,1 Tue,
101a,,ropero,,45,0,,,,
101b,ropero,,20,,1 True,para,20,1 true,
102a,,ratero,,17,1,,,,
102b,ratero,,19,,1,para,19,1 True,
103,(mayo),,,,,para,13,approximant,
104a,,carrera ,,13,1,,,,
104b,carrera,,12,,1 True,para,22,1 True,
105a,,rapero,,20,0,,,,
105b,rapero,,37,,1 True,para,22,1 True,Fin AUDIO 8
106,(semana),,,,,para,19,approximant,Audio 9
107a,,barrer,,14,1,para,26,approximant,
107b,barrer,,16,,1 True,,,,
108a,,correr,,18,,para,23,1 True,
108b,correr,,17,,1 True,,,,
109,(antes),,,,,para,15,1 True,
110a,,narrar,,15,1,para,23,1 True,
110b,narrar,,17,,1 True,,,,
111a,,borrar,,14,1,para,24,1 True,
111b,borrar,,24,,1 True,,,,
112,(estoy),,,,,para,18,1 True,
113a,,cerrar ,,23,1,para,27,1 True,
113b,cerrar,,20,,1 True,,,,
114a,,derribar,,27,1,para,18,1 True,
114b,derribar,,19,,1 True,,,,
115,(común),,,,,para,22,1 True,
116a,,corregir,,22,1,para,17,1 True,
116b,corregir,,36,,approximant,,,,
117a,,irritar,,18,1,para,22,1 True,
117b,irritar,,18,,1 True,,,,
118,(menos),,,,,para,17,1 True,
119a,,interrogar,,17,1,para,25,1 True,
119b,interrogar,,25,,1 True,,,,
120a,,corredor,,14,1,para,18,1 True,
120b,corredor,,13,,1 True,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,Pre Taps x̄ =,,
,,,23.32258065,30.66666667,,,21.84033613,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,21,0,,,,
2,Roberto,,19,,1 True,,,,
3,para,,16,,1 True,,,,
4,,América,29,,1 True,,,,
5,Caribe,,19,,approximant,,,,
6,pérdida,,27,,approximant,,,,
7,,región,,N/A,0,not visible,,,
8,,relacionada,,22,0,,,,
9,,rápida,,10,1,,,,
10,,tierras,,15,1,,,,
11,para,,18,,1 True,,,,
12,pérdida,,30,,1 True,,,,
13,,desarrollo,,N/A,0,not visible,,,
14,infraestructura,,80,,approximant,,,,
15,,relacionada,,33,0,,,,
16,,carreteras,,69,2,,,,
17,carreteras,,15,,approximant,,,,
18,para,,15,,1 True,,,,
19,,carros,,19,2,,,,
20,,carrozas,,16,1,,,,
21,,rotundo ,,N/A,0,not visible,,,
22,productor,,14,,1 True,,,,
23,materia,,18,,1 True,,,,
24,,relevante,,N/A,0,not visible,,,
25,minería,,10,,,,,,
26,por,,N/A,,perceptual,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,23.84615385,25.625,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration Trills,Occlusions,,,,
1,norte,,48,,1 True,,,,
2,acerca,,20,,1 True,,,,
3,sería,,19,,1 True,,,,
4,fuerte,,37,,1 True,,,,
5,,repente,,27,1,,,,
6,viajero,,23,,approximant,,,,
7,verlo,,N/A,,perceptual,,,,
8,convinieron,,23,,1 True,,,,
9,primero,,10,,1 True,,,,
10,consiguiera,,12,,1 True,,,,
11,quitarle,,N/A,,perceptual,,,,
12,seria,,19,,1 True,,,,
13,fuerte,,N/A,,perceptual,,,,
14,norte,,38,,1 True,,,,
15,soplar,,23,,1 True,,,,
16,furia,,16,,1 True,,,,
17,pero,,11,,1 True,,,,
18,,aferraba,,12,1,,,,
19,norte,,56,,1 True,,,,
20,esplendor ,,20,,1 True,,,,
21,,arrojó,,13,1,,,,
22,norte,,56,,1 True,,,,
23,,reconocer,,26,1,,,,
24,reconocer,,46,,1 True,,,,
25,superioridad,,21,,1 True,,,,
26,superioridad,,N/!,,N/A,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,27.66666667,19.5,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration ,Occlusions/Cat,,,,
Imagen A,,Correr,,,,,,,
Imagen A,Pictura (new),,13,,approximant,,,,
Imagen A,,Perros,,15,1,,,,
Imagen B,Caminar,,23,,approximant,,,,
Imagen B,,Arroz,,N/A,N/A,,,,
Imagen C,Mujer,,18,,1 True,,,,
Imagen C,Caminar,,N/A,,N/A,,,,
Imagen C,Lavar,,17,,approximant,,,,
Imagen C,Mujer b,,43,,approximant,,,,
Imagen C,,Ropa,,N/A,N/A,,,,
Imagen D,,Correr,,N/A,N/A,,,,
Imagen D,Correr,,N/A,,N/A,,,,
Imagen D,Toro,,14,,approximant,,,,
Imagen D,Atacar,,N/A,,N/A,,,,
Imagen E,Lavar,,N/A,,N/A,,,,
Imagen E,Mujer,,23,,approximant,,,,
Imagen E,Cara,,30,,1 True,,,,
Imagen F,Tocar,,N/A,,N/A,,,,
Imagen F,Mujer,,36,,approximant,,,,
Imagen F,,Guitarra,,19,1,,,,
Imagen F,,Reir,,N/A,N/A,,,,
Imagen F,Reir,,N/A,,N/A,,,,
Imagen G,Dar,,N/A,,N/A,,,,
Imagen G,,Rojo,,28,0,,,,
Imagen G,,Zorro,,12,1,,,,
Imagen G,Flor,,23,,approximant,,,,
Imagen H,,Rojo,,28,0,,,,
Imagen H,Girar,,15,,1 True,,,,
Imagen H,Girar,,N/A,,N/A,,,,
Imagen H,,Carro,,26,2,,,,
Imagen H,,Rápido,,28,0,,,,
,,,,,,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,23.18181818,22.28571429,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Forced choice,N/A for Sp101,,,,,,,,
Preguntas,Tap,Trill,Duration taps,Duration ,Occlusions,,,,
1,,correr,,,,,,,
1,correr,,,,,,,,
1,caminar,,,,,,,,
2,comer,,,,,,,,
2,,restaurantes,,,,,,,
2,cocinar,,,,,,,,
3,,rojo,,,,,,,
3,,rosado,,,,,,,
4,,ropa,,,,,,,
4,cara,,,,,,,,
4,,ropa,,,,,,,
4,barata,,,,,,,,
5,peras,,,,,,,,
5,moras,,,,,,,,
6,,carro,,,,,,,
6,,carro,,,,,,,
7,,arroz,,,,,,,
7,cereal,,,,,,,,
8,cortar,,,,,,,,
8,cortar,,,,,,,,
8,comprar,,,,,,,,
9,,gorra,,,,,,,
9,,correa,,,,,,,
10,tener,,,,,,,,
10,,rutina,,,,,,,
11,limpiar,,,,,,,,
11,lavar,,,,,,,,
12,,perro,,,,,,,
12,,burro,,,,,,,
