Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,21,1 True,
2,ahora,,20,,1 True,para,18,1 True,
3,,ahorra,,106,3,para,19,1 True,
4,(uno),,,,,para,20,1 True,
5,vara,,22,,1 True,para,22,1 True,
6,,barra,,133,2,para,22,1 True,
7,(pata),,,,,para,23,1 True,
8,coral ,,16,,1 True,para,19,1 True,
9,,corral,,141,4,para,18,1 True,
10,(duelo),,,,,para,23,1 True,
11,caro,,17,,1 True,para,20,1 True,
12,,carro,,142,4,para,18,1 True,
13,(cuna),,,,,para,16,1 True,
14,pera,,20,,1 True,para,23,1 True,
15,,perra,,120,3,para,20,1 True,
16,(huelo),,,,,para,19,1 True,AUDIO 2
17,careta,,22,,1 True,para,17,1 True,
18,,carreta,,117,3,para,25,1 True,
19,(cena),,,,,para,26,approximant,
20,encerar,,34,,approximant,para,17,1 True,
20b,encerar,,16,,1 True,,,,
21,,encerrar,,98,2,para,18,1 True,
21b,encerrar,,17,,1 True,,,,
22,(pena),,,,,para,19,1 True,
23,perito,,22,,1 True,para,21,1 True,
24,,perrito,,137,4,para,15,1 True,
25,(invita),,,,,para,17,1 True,
26,pero,,22,,1 True,para,15,1 True,
27,,perro,,146,4,para,19,1 True,
28,(incita),,,,,para,18,1 True,
29,cero,,29,,approximant,para,16,1 True,
30,,cerro,,99,3,para,22,1 True,
31,(pato),,,,,para,15,1 True,AUDIO 3
32,,reto,,107,2,para,17,1 True,
33,,rifa,,88,2,para,19,1 True,
34,(cometa),,,,,para,20,1 True,
35,,risa,,133,3,para,28,approximant,
36,,rojo,,86,2,para,15,1 True,
37,(gato),,,,,para,16,1 True,
38,,ropa,,111,2,para,19,1 True,
39,,borracho,,136,4,para,23,1 True,
40,(hilo),,,,,para,15,1 True,
41,,carreta,,137,3,para,29,approximant,
42,,perrita,,122,3,para,28,approximant,
43,(cono),,,,,para,20,1 True,
44,,jarrita,,96,2,para,25,approximant,
45,,barrilete,,152,0,para,28,1 True,
46,(camisa),,,,,para,25,approximant,AUDIO 4
47,,guitarra,,134,3,para,20,1 True,
48,,torre,,137,3,para,18,1 True,
49,(clase),,,,,para,28,approximant,
50,,burro ,,132,3,para,25,approximant,
51,,zorro,,96,2,para,17,1 True,
52,(cómico),,,,,para,21,1 True,
53,,tierra,,134,0,para,17,1 True,
54,,sonrisa,,79,1,para,19,approximant,
55,(tiempo),,,,,para,16,1 True,
56,,alrededor,,152,4,para,34,approximant,
56b,alrededor,,19,,1 True,,,,
57,,enriquece,,120,2,para,21,1 True,
58,(mango),,,,,para,16,1 True,
59,,honrado,,118,2,para,17,1 True,
60,,israel,,84,2,para,19,1 True,
61,(cometa),,,,,para,23,1 True,AUDIO 6
62,cara,,20,,1 True,para,18,1 True,
63,madera,,26,,1 True,para,20,1 True,
64,(música),,,,,para,18,1 True,
65,cereza,,32,,approximant,para,24,1 True,
66,quiero,,29,,1 True,para,15,1 True,
67,(médico),,,,,para,18,1 True,
68,pereza,,22,,1 True,para,32,approximant,
69a,parar,,19,,1 True,,,,
69b,parar,,18,,1 True,para,15,1 True,
70,(mesa),,,,,para,18,1 True,
71a,querer,,19,,1 True,para,20,1 True,
71b,querer,,20,,1 True,,,,
72a,morir,,21,,1 True,para,20,1 True,
72b,morir,,25,,approximant,,,,
73,(amigo),,,,,para,31,approximant,
74a,mirar,,34,,approximant,para,30,approximant,
74b,mirar,,31,,approximant,,,,
75a,tirar,,26,,1 True,para,21,1 True,
75b,tirar,,35,,approximant,,,,
76,(cocina),,,,,para,20,1 True,AUDIO 7
77a,morder,,24,,1 True,para,20,1 True,
77b,morder,,21,,1 True,,,,
78a,marcar,,16,,1 True,para,23,1 True,
78b,marcar,,20,,1 True,,,,
79,(tiza),,,,,para,18,1 True,
80a,cortar ,,22,,1 True,para,23,1 True,
80b,cortar ,,26,,1 True,,,,
81a,hurtar,,23,,1 True,para,27,1 True,
81b,hurtar,,34,,approximant,,,,
82,(dieta),,,,,para,23,1 True,
83a,perder,,32,,approximant,para,27,approximant,
83b,perder,,21,,1 True,,,,
84a,torero,,17,,1 True,para,16,1 True,
84b,torero,,21,,1 True,,,,
85,(agua),,,,,para,24,1 True,
86a,perecer,,31,,approximant,para,31,approximant,
86b,perecer,,23,,1 True,,,,
87a,colorear,,22,,1 True,para,30,approximant,
87b,colorear,,20,,1 True,,,,
88,(café),,,,,para,18,1 True,
89a,mercurio,,28,,approximant,para,15,1 True,
89b,mercurio,,30,,approximant,,,,
90a,arteria,,21,,1 True,para,24,approximant,
90b,arteria,,22,,1 True,,,,
91,(dibujo),,,,,para,19,1 True,AUDIO 8
92a,,radicar,,114,3,para,18,1 True,
92b,radicar,,17,,1 True,,,,
93a,,rifar,,106,4,para,26,1 True,
93b,rifar,,18,,,,,,
94,(venta),,,,,para,22,1 True,
95a,,rodar,,148,4,para,23,1 True,
95b,rodar,,25,,1 True,,,,
96a,,romper,,132,3,para,18,1 True,
96b,romper,,19,,1 True,,,,
97,(siete),,,,,para,20,1 True,
98a,,rumor,,108,3,para,27,1 True,
98b,rumor,,19,,1 True,,,,
99a,,raro,,133,3,para,18,1 True,
99b,raro,,20,,1 True,,,,
100,(ocho),,,,,para,19,1 True,
101a,,ropero,,86,2,para,14,1 True,
101b,ropero,,18,,1 True,,,,
102a,,ratero,,149,3,para,15,1 True,
102b,ratero,,14,,1 True,,,,
103,(mayo),,,,,para,22,1 True,
104a,,carrera ,,125,3,para,32,approximant,
104b,carrera,,21,,1 True,,,,
105a,,rapero,,128,3,para,17,1 True,
105b,rapero,,26,,1 True,,,,Fin AUDIO 8
106,(semana),,,,,para,19,1 True,Audio 9
107a,,barrer,,100,2,para,21,1 True,
107b,barrer,,20,,1 True,,,,
108a,,correr,,87,2,para,24,1 True,
108b,correr,,19,,1 True,,,,
109,(antes),,,,,para,21,1 True,
110a,,narrar,,112,0,para,27,approximant,
110b,narrar,,31,,approximant,,,,
111a,,borrar,,122,2,para,17,1 True,
111b,borrar,,18,,1 True,,,,
112,(estoy),,,,,para,28,approximant,
113a,,cerrar ,,118,1,para,19,1 True,
113b,cerrar,,19,,1 True,,,,
114a,,derribar,,132,3,para,21,approximant,
114b,derribar,,20,,1 True,,,,
115,(común),,,,,para,23,1 True,
116a,,corregir,,92,0,para,26,1 True,
116b,corregir,,18,,1 True,,,,
117a,,irritar,,100,2,para,17,1 True,
117b,irritar,,19,,1 True,,,,
118,(menos),,,,,para,19,1 True,
119a,,interrogar,,158,0,para,19,1 True,
119b,interrogar,,18,,1 True,,,,
120a,,corredor,,109,2,para,19,1 True,
120b,corredor,,18,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,POST para x̄ =,,
,,,22.41176471,119.04,,,20.9,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,Roberto,,127,2,,,,
2,Roberto,,26,,approximant,,,,
3,para,,22,,1 True,,,,
4,,América,18,,1 True,,,,
5,Caribe,,19,,1 True,,,,
6,pérdida,,27,,1 True,,,,
7,,región,,90,0,,,,
8,,relacionada,,118,3,,,,
9,,rápida,,127,3,,,,
10,,tierras,,159,3,,,,
11,para,,20,,1 True,,,,
12,pérdida,,22,,1 True,,,,
13,,desarrollo,,139,3,,,,
14,infraestructura,,20,,1 True,,,,
15,,relacionada,,113,2,,,,
16,,carreteras,,114,2,,,,
17,carreteras,,20,,1 True,,,,
18,para,,28,,approximant,,,,
19,,carros,,102,2,,,,
20,,carrozas,,123,2,,,,
21,,rotundo ,,113,2,,,,
22,productor,,16,,1 True,,,,
23,materia,,15,,1 True,,,,
24,,relevante,,147,3,,,,
25,minería,,15,,1 True,,,,
26,por,,23,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,20.78571429,122.6666667,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,norte,,17,,1 True,,,,
2,acerca,,18,,1 True,,,,
3,sería,,23,,1 True,,,,
4,fuerte,,20,,1 True,,,,
5,,repente,,74,1,,,,
6,viajero,,21,,1 True,,,,
7,verlo,,35,,approximant,,,,
8,convinieron,,19,,1 True,,,,
9,primero,,27,,approximant,,,,
10,consiguiera,,26,,1 True,,,,
11,quitarle,,34,,approximant,,,,
12,seria,,19,,1 True,,,,
13,fuerte,,21,,1 True,,,,
14,norte,,20,,1 True,,,,
15,soplar,,27,,1 True,,,,
16,furia,,21,,1 True,,,,
17,pero,,21,,1 True,,,,
18,,aferraba,,115,2,,,,
19,norte,,21,,1 True,,,,
20,esplendor ,,24,,1 True,,,,
21,,arrojó,,115,2,,,,
22,norte,,25,,1 True,,,,
23,,reconocer,,57,0,,,,
24,reconocer,,26,,1 True,,,,
25,superioridad,,15,,1 True,,,,
26,superioridad,,20,,1 True,,,,
,,,POST Taps x̄ =,POST Trills x̄ =,,,,,
,,,22.72727273,90.25,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
Imagen A,,Correr,,95,1,,,,
Imagen A,Correr,,14,,1 True,,,,
Imagen A,,Perros,,117,3,,,,
Imagen B,Caminar,,24,,approximant,,,,
Imagen B,,Arroz,,146,4,,,,
