Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,53,approximant,
2,ahora,,70,,approximant,para,73,approximant,
3,,ahorra,,45,1,para,60,approximant,
4,(uno),,,,,para,39,1 True,
5,vara,,43,,1 True,para,43,1 True,
6,,barra,47,,approximant,para,34,1 True,
7,(pata),,,,,para,37,1 True,
8,coral ,,123,,approximant,para,72,approximant,
9,,corral,,78,0,para,70,approximant,
10,(duelo),,,,,para,43,1 True,
11,caro,,36,,1 True,para,42,1 True,
12,,carro,,41,1,para,41,1 True,
13,(cuna),,,,,para,64,approximant,
14,pera,,61,,approximant,para,65,approximant,
15,,perra,,36,1,para,57,approximant,
16,(huelo),,,,,para,51,approximant,AUDIO 2
17,careta,,N/A,,perceptual,para,62,approximant,
18,,carreta,,46,0,para,60,approximant,
19,(cena),,,,,para,57,approximant,
20,encerar,,63,,approximant,para,65,approximant,
20b,encerar,,57,,approximant,,,,
21,,encerrar,,35,1,para,70,approximant,
21b,encerrar,,74,,approximant,,,,
22,(pena),,,,,para,60,approximant,
23,perito,,72,,approximant,para,67,approximant,
24,,perrito,,24,1,para,50,approximant,
25,(invita),,,,,para,58,approximant,
26,pero,,74,,approximant,para,69,approximant,
27,,perro,,30,1,para,57,approximant,
28,(incita),,,,,para,56,approximant,
29,cero,,74,,approximant,para,62,approximant,
30,,cerro,,52,0,para,65,approximant,
31,(pato),,,,,para,65,approximant,AUDIO 3
32,,reto,,45,0,para,69,approximant,
33,,rifa,,45,0,para,67,approximant,
34,(cometa),,,,,para,59,approximant,
35,,risa,,42,0,para,55,approximant,
36,,rojo,,35,0,para,68,approximant,
37,(gato),,,,,para,61,approximant,
38,,ropa,,56,0,para,71,approximant,
39,,borracho,,48,2,para,61,approximant,
40,(hilo),,,,,para,59,approximant,
41,,carreta,,31,1,para,56,approximant,
42,,perrita,,39,1,para,62,approximant,
43,(cono),,,,,para,61,approximant,
44,,jarrita,,39,1,para,64,approximant,
45,,barrilete,,58,0,para,69,approximant,
