Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,22,1 True,
2,ahora,,22,,1 True,para,28,1 True,
3,,ahorra,,112,3,para,34,1 True,
4,(uno),,,,,para,23,1 True,
5,vara,,35,,1 True,para,26,1 True,
6,,barra,,117,3,para,23,1 True,
7,(pata),,,,,para,31,1 True,
8,coral ,,24,,1 True,para,21,1 True,
9,,corral,,128,3,para,23,1 True,
10,(duelo),,,,,para,20,1 True,
11,caro,,30,,1 True,para,26,1 True,
12,,carro,,134,3,para,21,1 True,
13,(cuna),,,,,para,24,1 True,
14,pera,,24,,1 True,para,21,1 True,
15,,perra,,136,3,para,27,1 True,
16,(huelo),,,,,para,23,1 True,AUDIO 2
17,careta,,30,,1 True,para,25,1 True,
18,,carreta,,149,4,para,25,1 True,
19,(cena),,,,,para,27,1 True,
20,encerar,,28,,1 True,para,19,1 True,
20b,encerar,,18,,1 True,,,,
21,,encerrar,,148,3,para,24,1 True,
21b,encerrar,,15,,1 True,,,,
22,(pena),,,,,para,28,1 True,
23,perito,,27,,,para,20,1 True,
24,,perrito,,176,2,para,22,1 True,
25,(invita),,,,,para,23,1 True,
26,pero,,24,,1 True,para,20,1 True,
27,,perro,,171,3,para,28,1 True,
28,(incita),,,,,para,24,1 True,
29,cero,,25,,1 True,para,25,1 True,
30,,cerro,,149,3,para,26,1 True,
31,(pato),,,,,para,22,1 True,AUDIO 3
32,,reto,,81,2,para,33,1 True,
33,,rifa,,142,2,para,24,1 True,
34,(cometa),,,,,para,28,1 True,
35,,risa,,70,0,para,24,1 True,
36,,rojo,,121,2,para,25,1 True,
37,(gato),,,,,para,25,1 True,
38,,ropa,,145,3,para,21,1 True,
39,,borracho,,158,4,para,26,1 True,
40,(hilo),,,,,para,26,1 True,
41,,carreta,,148,3,para,21,1 True,
42,,perrita,,128,2,para,18,1 True,
43,(cono),,,,,para,19,1 True,
44,,jarrita,,157,3,para,26,1 True,
45,,barrilete,,158,3,para,31,1 True,
46,(camisa),,,,,para,21,1 True,AUDIO 4
47,,guitarra,,130,3,para,25,1 True,
48,,torre,,147,3,para,23,1 True,
49,(clase),,,,,para,26,1 True,
50,,burro ,,158,3,para,27,1 True,
51,,zorro,,159,3,para,22,1 True,
52,(cómico),,,,,para,29,1 True,
53,,tierra,,145,3,para,25,1 True,
54,,sonrisa,,167,4,para,25,1 True,
55,(tiempo),,,,,para,25,1 True,
56,,alrededor,,85,1,para,22,1 True,
56b,alrededor,,19,,1 True,,,,
57,,enriquece,,170,3,para,28,1 True,
58,(mango),,,,,para,40,approximant,
59,,honrado,,164,3,para,24,1 True,
60,,israel,,167,3,para,27,1 True,
61,(cometa),,,,,para,23,1 True,AUDIO 6
62,cara,,21,,1 True,para,26,1 True,
63,madera,,27,,1 True,para,24,1 True,
64,(música),,,,,para,22,1 True,
65,cereza,,29,,1 True,para,29,1 True,
66,quiero,,28,,1 True,para,24,1 True,
67,(médico),,,,,para,28,1 True,
68,pereza,,23,,1 True,para,28,1 True,
69a,parar,,34,,1 True,,,,
69b,parar,,28,,1 True,para,27,1 True,
70,(mesa),,,,,para,27,1 True,
71a,querer,,25,,1 True,,,,
71b,querer,,19,,1 True,para,23,1 True,
72a,morir,,31,,1 True,para,24,1 True,
72b,morir,,23,,1 True,,,,
73,(amigo),,,,,para,23,1 True,
74a,mirar,,26,,1 True,,,,
74b,mirar,,26,,1 True,para,24,1 True,
75a,tirar,,29,,1 True,,,,
75b,tirar,,24,,1 True,para,26,1 True,
76,(cocina),,,,,para,26,1 True,AUDIO 7
77a,morder,,27,,1 True,,,,
77b,morder,,19,,1 True,para,25,1 True,
78a,marcar,,22,,1 True,,,,
78b,marcar,,26,,1 True,para,31,1 True,
79,(tiza),,,,,para,25,1 True,
80a,cortar ,,25,,1 True,,,,
80b,cortar ,,25,,1 True,para,25,1 True,
81a,hurtar,,21,,1 True,,,,
81b,hurtar,,24,,1 True,para,21,1 True,
82,(dieta),,,,,para,32,1 True,
83a,perder,,24,,1 True,,,,
83b,perder,,23,,1 True,para,26,1 True,
84a,torero,,28,,1 True,,,,
84b,torero,,24,,1 True,para,20,1 True,
85,(agua),,,,,para,23,1 True,
86a,perecer,,25,,1 True,,,,
86b,perecer,,28,,1 True,para,26,1 True,
87a,colorear,,28,,1 True,,,,
87b,colorear,,19,,1 True,para,21,1 True,
88,(café),,,,,para,28,1 True,
89a,mercurio,,21,,1 True,,,,
89b,mercurio,,35,,approximant,para,26,1 True,
90a,arteria,,21,,1 True,,,,
90b,arteria,,25,,1 True,para,24,1 True,
91,(dibujo),,,,,para,27,1 True,AUDIO 8
92a,,radicar,,156,3,,,,
92b,radicar,,28,,1 True,para,19,1 True,
93a,,rifar,,146,3,,,,
93b,rifar,,21,,1 True,para,24,1 True,
94,(venta),,,,,para,25,1 True,
95a,,rodar,,150,3,,,,
95b,rodar,,19,,1 True,para,21,1 True,
96a,,romper,,129,2,,,,
96b,romper,,22,,1 True,para,26,1 True,
97,(siete),,,,,para,24,1 True,
98a,,rumor,,142,3,,,,
98b,rumor,,25,,1 True,para,25,1 True,
99a,,raro,,163,4,,,,
99b,raro,,27,,1 True,para,24,1 True,
100,(ocho),,,,,para,28,1 True,
101a,,ropero,,144,3,,,,
101b,ropero,,24,,1 True,para,26,1 True,
102a,,ratero,,124,3,,,,
102b,ratero,,28,,1 True,para,29,1 True,
103,(mayo),,,,,para,24,1 True,
104a,,carrera ,,165,4,,,,
104b,carrera,,20,,1 True,para,24,1 True,
105a,,rapero,,114,2,,,,
105b,rapero,,22,,1 True,para,24,1 True,Fin AUDIO 8
