Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions,PARA,Duration,Occlusions,NOTE: Taps for this participant seem to be stable at pre-task. Trills are not. Trills are produced as taps.
111b,borrar,,70,,approximant,,,,
112,(estoy),,,,,para,29,approximant,
113a,,cerrar ,,52,0,para,N/A,perceptual,
113b,cerrar,,94,,approximant,,,,
114a,,derribar,,43,1,para,46,1 True,
114b,derribar,,121,,approximant,,,,
115,(común),,,,,para,44,approximant,
116a,,corregir,,27,0,para,33,approximant,
116b,corregir,,146,,approximant,,,,
117a,,irritar,,50,1,para,30,1 True,
117b,irritar,,59,,approximant,,,,
118,(menos),,,,,para,37,1 True,
119a,,interrogar,,N/A,0,para,24,approximant,
119b,interrogar,,132,,approximant,,40,1 True,
120a,,corredor,,N/A,0,para,,,
120b,corredor,,97,,approximant,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,para Pre Taps x̄ =,,
,,,60.46031746,38.8125,,,30.40566038,,
,,,,,,,,,
,,,,,,,,,
,Taps N=67,,,,Trills N=50 occlussions,,,,
,True ,Approximant,Perceptual,,0,1,2,3,
,n=,n= ,n=,,,,,,
,x̄ =,x̄ =,x̄ = ,,x̄ =,x̄ =,x̄ =,x̄ =,
,,,,,,,,,
AUDIO 5,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Tap,Duration  Trill,Occlusions/Cat,,,,
1,,Roberto,,51,0,,,,
2,Roberto,,56,,approximant,,,,
3,para,,35,,1 True,,,,
4,,América,33,,1 True,,,,
5,Caribe,,35,,1 True,,,,
6,pérdida,,26,,approximant,,,,
7,,región,,55,0,,,,
8,,relacionada,,71,0,,,,
9,,rápida,,67,0,,,,
10,,tierras,,30,1,,,,
11,para,,28,,approximant,,,,
12,pérdida,,41,,approximant,,,,
13,,desarrollo,,56,1,,,,
14,infraestructura,,27,,1 True,,,,
15,,relacionada,,99,0,,,,
16,,carreteras,,21,1,,,,
17,carreteras,,42,,approximant,,,,
18,para,,26,,1 True,,,,
19,,carros,,32,1,,,,
20,,carrozas,,52,2,,,,
21,,rotundo ,,95,0,,,,
22,productor,,49,,approximant,,,,
23,materia,,24,,1 True,,,,
24,,relevante,,63,0,,,,
25,minería,,47,,1 True,,,,
26,por,,61,,approximant,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,37.85714286,57.66666667,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUDIO 10,,,,,,,,,
Paragraph 2,Tap,Trill,Duration tap,Duration ,Occlusions/Cat,,,,
1,norte,,43,,approximant,,,,
2,acerca,,36,,approximant,,,,
3,sería,,35,,1 True,,,,
4,fuerte,,63,,approximant,,,,
5,,repente,,29,1,,,,
6,viajero,,30,,approximant,,,,
7,verlo,,31,,approximant,,,,
8,convinieron,,64,,approximant,,,,
9,primero,,24,,1 True,,,,
10,consiguiera,,33,,1 Tue,,,,
11,quitarle,,67,,approximant,,,,
12,seria,,34,,approximant,,,,
13,fuerte,,38,,approximant,,,,
14,norte,,37,,approximant,,,,
15,soplar,,61,,approximant,,,,
16,furia,,38,,1 True,,,,
17,pero,,28,,1 True,,,,
18,,aferraba,,40,1,,,,
19,norte,,36,,approximant,,,,
20,esplendor ,,89,,approximant,,,,
21,,arrojó,,52,1,,,,
22,norte,,56,,approximant,,,,
23,,reconocer,,39,0,,,,
24,reconocer,,91,,approximmant,,,,
25,superioridad,,N/A,,perceptual,,,,
26,superioridad,,N/A,,N/A,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,46.7,40,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Describir imágenes,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
Imagen A,,Correr,,32,1,,,,
Imagen A,Correr,,72,,approximant,,,,
Imagen A,,Perros,,35,1,,,,
Imagen B,Caminar,,139,,approximant,,,,
Imagen B,,Arroz,,33,1,,,,
Imagen C,Caminar,,75,,approximant,,,,
Imagen C,Lavar,,64,,approximant,,,,
Imagen C,Mujer,,33,,approximant,,,,
Imagen C,,Ropa,,38,0,,,,
Imagen D,,Correr,,30,1,,,,
Imagen D,Correr,,95,,approximant,,,,
Imagen D,Toro,,27,,approximant,,,,
Imagen D,Atacar,,85,,approximant,,,,
Imagen E,Lavar,,N/A,,N/A,,,,
Imagen E,Mujer,,88,,approximant,,,,
Imagen E,Cara,,N/A,,N/A,,,,
Imagen F,Tocar,,90,,approximant,,,,
Imagen F,Mujer,,55,,approximant,,,,
Imagen F,,Guitarra,,25,1,,,,
Imagen F,,Reir,,N/A,N/A,,,,
Imagen F,Reir,,,N/A,N/A,,,,
Imagen G,Dar,,,N/A,N/A,,,,
Imagen G,,Rojo,,67,0,,,,
Imagen G,,Zorro,,59,0,,,,
Imagen G,Flor,,,N/A,N/A,,,,
Imagen H,,Rojo,,51,0,,,,
Imagen H,Girar,,,N/A,N/A,,,,
Imagen H,Girar,,,N/A,N/A,,,,
Imagen H,,Carro,,39,0,,,,
Imagen H,,Rápido,,22,0,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,74.81818182,39.18181818,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Forced choice,N/A for sp101,,,,,,,,
Preguntas,Tap,Trill,,Duration ,Occlusions,,,,
1,,correr,,,,,,,
1,correr,,,,,,,,
1,caminar,,,,,,,,
