Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,28,1 True,
2,ahora,,24,,1 True,para,27,1 True,
3,,ahorra,,102,2,para,25,1 True,
4,(uno),,,,,para,21,1 True,
5,vara,,25,,1 True,para,24,1 True,
6,,barra,,87,2,para,25,1 True,
7,(pata),,,,,para,25,1 True,
8,coral ,,21,,1 True,para,24,1 True,
9,,corral,,134,3,para,23,1 True,
10,(duelo),,,,,para,26,1 True,
11,caro,,24,,1 True,para,26,1 True,
12,,carro,,107,2,para,27,1 True,
13,(cuna),,,,,para,24,1 True,
14,pera,,20,,1 True,para,22,1 True,
15,,perra,,96,2,para,24,1 True,
16,(huelo),,,,,para,25,1 True,AUDIO 2
17,careta,,27,,1 True,para,24,1 True,
18,,carreta,,82,2,para,25,1 True,
19,(cena),,,,,para,24,1 True,
20,encerar,,29,,1 True,para,27,1 True,
20b,encerar,,23,,1 True,,,,
21,,encerrar,,97,2,para,26,1 True,
21b,encerrar,,25,,1 True,,,,
22,(pena),,,,,para,21,1 True,
23,perito,,23,,1 True,para,27,1 True,
24,,perrito,,107,3,para,26,1 True,
25,(invita),,,,,para,28,approximant,
26,pero,,23,,1 True,para,27,1 True,
27,,perro,,87,2,para,23,1 True,
28,(incita),,,,,para,26,1 True,
29,cero,,24,,1 True,para,24,1 True,
30,,cerro,,124,3,para,26,1 True,
31,(pato),,,,,para,N/A,perceptual,AUDIO 3
32,,reto,,171,2,para,24,1 True,
33,,rifa,,120,2,para,27,1 True,
34,(cometa),,,,,para,25,1 True,
35,,risa,,138,2,para,25,1 True,
36,,rojo,,170,2,para,20,1 True,
37,(gato),,,,,para,30,approximant,
38,,ropa,,117,2,para,20,1 True,
39,,borracho,,119,3,para,22,1 True,
40,(hilo),,,,,para,25,1 True,
41,,carreta,,89,1,para,22,1 True,
42,,perrita,,70,1,para,24,1 True,
43,(cono),,,,,para,17,1 True,
44,,jarrita,,87,1,para,21,1 True,
45,,barrilete,,81,1,para,25,1 True,
46,(camisa),,,,,para,25,1 True,AUDIO 4
