Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,PARA,Duration,Occlusions/Cat,
1,,,,,,para,38,approximant,
2,ahora,,36,,approximant,para,28,approximant,
3,,ahorra,,99,0,para,36,approximant,
4,(uno),,,,,para,25,approximant,
5,vara,,28,,approximant,para,39,approximant,
6,,barra,,65,1,para,N/A,perceptual,
7,(pata),,,,,para,20,1 True,
8,coral ,,29,,approximant,para,32,approximant,
9,,corral,,86,1,para,25,approximant,
10,(duelo),,,,,para,31,approximant,
11,caro,,41,,approximant,para,31,approximant,
12,,carro,,68,1,para,35,approximant,
13,(cuna),,,,,para,31,approximant,
14,pera,,24,,1 True,para,27,approximant,
15,,perra,,35,1,para,31,approximant,
16,(huelo),,,,,para,20,1 True,AUDIO 2
17,careta,,27,,approximant,para,25,approximant,
18,,carreta,,68,2,para,31,approximant,
19,(cena),,,,,para,26,1 True,
20,encerar,,29,,approximant,para,25,approximant,
20b,encerar,,38,,approximant,,,,
21,,encerrar,,79,1,para,30,approximant,
21b,encerrar,,27,,approximant,,,,
22,(pena),,,,,para,27,approximant,
23,perito,,22,,1 True,para,N/A,perceptual,
24,,perrito,,64,2,para,23,1 True,
25,(invita),,,,,para,22,approximant,
26,pero,,16,,approximant,para,N/A,perceptual,
27,,perro,,80,2,para,33,approximant,
28,(incita),,,,,para,24,approximant,
29,cero,,20,,1 True,para,35,approximant,
30,,cerro,,102,2,para,28,approximant,
31,(pato),,,,,para,32,approximant,AUDIO 3
32,,reto,,64,1,para,23,approximant,
33,,rifa,,72,1,para,16,1 True,
34,(cometa),,,,,para,N/A,perceptual,
35,,risa,,90,2,para,20,approximant,
36,,rojo,,109,2,para,25,approximant,
37,(gato),,,,,para,33,approximant,
38,,ropa,,82,2,para,33,approximant,
39,,borracho,,105,2,para,35,approximant,
40,(hilo),,,,,para,25,1 True,
41,,carreta,,100,2,para,17,1 True,
42,,perrita,,82,2,para,32,approximant,
43,(cono),,,,,para,24,1 True,
44,,jarrita,,96,2,para,25,1 True,
45,,barrilete,,88,1,para,28,approximant,
46,(camisa),,,,,para,32,approximant,AUDIO 4
47,,guitarra,,61,1,para,21,approximant,
48,,torre,,71,0,para,30,approximant,
49,(clase),,,,,para,26,1 True,
50,,burro ,,102,2,para,28,approximant,
51,,zorro,,142,0,para,43,approximant,
52,(cómico),,,,,para,25,1 True,
53,,tierra,,73,0,para,25,approximant,
54,,sonrisa,,84,1,para,30,approximant,
55,(tiempo),,,,,para,31,1 True,
56,,alrededor,,98,2,para,19,1 True,
56b,alrededor,,27,,1 True,,,,
57,,enriquece,,107,2,para,30,1 True,
58,(mango),,,,,para,27,1 True,
59,,honrado,,100,0,para,20,1 True,
60,,israel,,79,0,para,N/A,perceptual,
61,(cometa),,,,,para,22,approximant,AUDIO 6
62,cara,,34,,1 True,para,15,1 True,
63,madera,,17,,approximant,para,28,approximant,
64,(música),,,,,para,27,1 True,
65,cereza,,16,,1 True,para,26,approximant,
66,quiero,,23,,1 True,para,18,approximant,
67,(médico),,,,,para,30,approximant,
68,pereza,,16,,1 True,para,19,1 True,
69a,parar,,23,,1 True,,,,
69b,parar,,25,,1 True,para,21,1 True,
70,(mesa),,,,,para,16,1 True,
71a,querer,,N/A,,perceptual,,,,
71b,querer,,N/A,,N/A,para,27,approximant,
72a,morir,,18,,1 True,para,N/A,perceptual,
72b,morir,,30,,approximant,,,,
73,(amigo),,,,,para,26,approximant,
74a,mirar,,19,,1 True,,,,
74b,mirar,,25,,approximant,para,16, 1 True,
75a,tirar,,27,,approximant,,,,
75b,tirar,,34,,approximant,para,24,approximant,
76,(cocina),,,,,para,25,1 True,AUDIO 7
77a,morder,,22,,1 True,,,,
77b,morder,,16,,1 True,para,24,approximant,
78a,marcar,,16,,1 True,,,,
78b,marcar,,24,,1 True,para,23,1 True,
79,(tiza),,,,,para,24,1 True,
80a,cortar ,,17,,1 True,,,,
80b,cortar ,,22,,1 True,para,30,approximant,
81a,hurtar,,15,,1 True,,,,
81b,hurtar,,17,,1 True,para,25,1 True,
82,(dieta),,,,,para,N/A,perceptual,
83a,perder,,32,,1 True,,,,
83b,perder,,20,,1 True,para,25,approximant,
84a,torero,,15,,1 True,,,,
84b,torero,,13,,1 True,para,30,approximant,
85,(agua),,,,,para,29,1 True,
86a,perecer,,15,,1 True,,,,
86b,perecer,,21,,1 True,para,26,approximant,
87a,colorear,,23,,1 True,,,,
87b,colorear,,N/A,,N/A,para,24,approximant,
88,(café),,,,,para,18,1 True,
89a,mercurio,,22,,1 True,,,,
89b,mercurio,,22,,1 True,para,17,1 True,
90a,arteria,,17,,1 True,,,,
90b,arteria,,19,,1 True,para,24,approximant,
91,(dibujo),,,,,para,25,1 True,AUDIO 8
92a,,radicar,70,,0,,,,
92b,radicar,,23,,1 True,para,22,1 True,
93a,,rifar,,95,2,,,,
93b,rifar,,22,,1 True,para,28,1 True,
94,(venta),,,,,para,26,1 True,
95a,,rodar,,44,0,,,,
95b,rodar,,20,,1 True,para,23,1 True,
96a,,romper,,82,2,,,,
