"","sentence","tap","trill","duration_taps","duration_trills","occlusions_cat"
"121","98a",NA,"rumor",NA,"149","4"
"122","98b","rumor",NA,"27",NA,"approximant"
"123","99a",NA,"raro",NA,"127","3"
"124","99b","raro",NA,"19",NA,"1 True"
"125","100","(ocho)",NA,NA,NA,NA
"126","101a",NA,"ropero",NA,"129","2"
"127","101b","ropero",NA,"22",NA,"1 True"
"128","102a",NA,"ratero",NA,"128","3"
"129","102b","ratero",NA,"19",NA,"1 True"
"130","103","(mayo)",NA,NA,NA,NA
"131","104a",NA,"carrera ",NA,"105","2"
"132","104b","carrera",NA,"22",NA,"1 True"
"133","105a",NA,"rapero",NA,"134","3"
"134","105b","rapero",NA,"26",NA,"1 True"
"135","106","(semana)",NA,NA,NA,NA
"136","107a",NA,"barrer",NA,"128","3"
"137","107b","barrer",NA,"29",NA,"approximant"
"138","108a",NA,"correr",NA,"113","2"
"139","108b","correr",NA,"30",NA,"approximant"
"140","109","(antes)",NA,NA,NA,NA
"141","110a",NA,"narrar",NA,"149","3"
"142","110b","narrar",NA,"28",NA,"approximant"
"143","111a",NA,"borrar",NA,"155","3"
"144","111b","borrar",NA,"33",NA,"approximant"
"145","112","(estoy)",NA,NA,NA,NA
"146","113a",NA,"cerrar ",NA,"110","2"
"147","113b","cerrar",NA,"24",NA,"approximant"
"148","114a",NA,"derribar",NA,"122","3"
"149","114b","derribar",NA,"20",NA,"approximant"
"150","115","(común)",NA,NA,NA,NA
"151","116a",NA,"corregir",NA,"123","3"
"152","116b","corregir",NA,"28",NA,"approximant"
"153","117a",NA,"irritar",NA,"137","4"
"154","117b","irritar",NA,"21",NA,"approximant"
"155","118","(menos)",NA,NA,NA,NA
"156","119a",NA,"interrogar",NA,"92","2"
"157","119b","interrogar",NA,"27",NA,"approximant"
"158","120a",NA,"corredor",NA,"135","3"
"159","120b","corredor",NA,"24",NA,"approximant"
