"","sentence","tap","trill","duration_taps","duration_trills","occlusions_cat"
"2","1",NA,NA,NA,NA,NA
"3","2","ahora",NA,"15",NA,"1 True"
"4","3",NA,"ahorra",NA,"18","1"
"5","4","(uno)",NA,NA,NA,NA
"6","5","vara",NA,NA,"17","1 True"
"7","6",NA,"barra",NA,"31","1"
"8","7","(pata)",NA,NA,NA,NA
"9","8","coral ",NA,"14",NA,"1 True"
"10","9",NA,"corral",NA,"18","1"
"11","10","(duelo)",NA,NA,NA,NA
"12","11","caro",NA,"14",NA,"1 True"
"13","12",NA,"carro",NA,"44","2"
"14","13","(cuna)",NA,NA,NA,NA
"15","14","pera",NA,"23",NA,"1 True"
"16","15",NA,"perra",NA,"33","2"
"17","16","(huelo)",NA,NA,NA,NA
"18","17","careta",NA,"20",NA,"1 True"
"19","18",NA,"carreta",NA,"18","1"
"20","19","(cena)",NA,NA,NA,NA
"21","20","encerar",NA,"15",NA,"1 True"
"22","20b","encerar",NA,"22",NA,"1 True"
"23","21",NA,"encerrar",NA,"15","1"
"24","21b","encerrar",NA,"14",NA,"1 True"
"25","22","(pena)",NA,NA,NA,NA
"26","23","perito",NA,"20",NA,"1 True"
"27","24",NA,"perrito",NA,"30","2"
"28","25","(invita)",NA,NA,NA,NA
"29","26","pero",NA,"30",NA,"1 True"
"30","27",NA,"perro",NA,"45","2"
"31","28","(incita)",NA,NA,NA,NA
"32","29","cero",NA,"31",NA,"1 True"
"33","30",NA,"cerro",NA,"34","2"
"34","31","(pato)",NA,NA,NA,NA
"35","32",NA,"reto",NA,"25","1"
"36","33",NA,"rifa",NA,"34","1"
"37","34","(cometa)",NA,NA,NA,NA
"38","35",NA,"risa",NA,"40","2"
"39","36",NA,"rojo",NA,"40","2"
"40","37","(gato)",NA,NA,NA,NA
"41","38",NA,"ropa",NA,"37","2"
"42","39",NA,"borracho",NA,"33","2"
"43","40","(hilo)",NA,NA,NA,NA
"44","41",NA,"carreta",NA,"17","1"
"45","42",NA,"perrita",NA,"35","2"
"46","43","(cono)",NA,NA,NA,NA
"47","44",NA,"jarrita",NA,"51","2"
"48","45",NA,"barrilete",NA,"43","2"
"49","46","(camisa)",NA,NA,NA,NA
"50","47",NA,"guitarra",NA,"34","2"
"51","48",NA,"torre",NA,"25","2"
"52","49","(clase)",NA,NA,NA,NA
