"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_trill_image_df",5,2509.15303256793,2527.12658946594,-1249.57651628397,2499.15303256793,NA,NA,NA
"time_mod_trill_image_df",6,2494.14534650104,2515.71361477865,-1241.07267325052,2482.14534650104,17.0076860668878,1,3.72288092099968e-05
"group_mod_trill_image_df",8,2497.3649102595,2526.12260129632,-1240.68245512975,2481.3649102595,0.780436241539519,2,0.676909210436413
"int_mod_trill_image_df",10,2496.97478688532,2532.92190068134,-1238.48739344266,2476.97478688532,4.3901233741808,2,0.111351692331134
