"","participant","time","sentence","token","duration","occlusions_cat","is_trill","no_occlusions","level"
"127","sp102_P2E","POST","Imagen F","Guitarra","153","3","trill","3","sp102"
"128","sp102_P2E","POST","Imagen G","Perros","162","2","trill","2","sp102"
"129","sp102_P2E","POST","Imagen G","Flor","18","1 True","tap","1","sp102"
"130","sp102_P2E","POST","Imagen H","Carro","102","2","trill","2","sp102"
"131","sp102_P2E","POST","Imagen H","Rápido","122","2","trill","2","sp102"
"132","sp102_P2E","PRE","Imagen A","Corriendo","37","0","trill","0","sp102"
"133","sp102_P2E","PRE","Imagen A","Perros","34","1","trill","1","sp102"
"134","sp102_P2E","PRE","Imagen B","Arroz","46","0","trill","0","sp102"
"135","sp102_P2E","PRE","Imagen C","Quiere","25","1 True","tap","1","sp102"
"136","sp102_P2E","PRE","Imagen C","Ropa","50","0","trill","0","sp102"
"137","sp102_P2E","PRE","Imagen F","Guitarra","61","1","trill","1","sp102"
"138","sp102_P2E","PRE","Imagen G","Perros","34","1","trill","1","sp102"
"139","sp102_P2E","PRE","Imagen G","Rojo","70","0","trill","0","sp102"
"140","sp102_P2E","PRE","Imagen G","Flor","79","approximant","tap","a","sp102"
"141","sp102_P2E","PRE","Imagen H","Rápido","67","0","trill","0","sp102"
"142","sp203_P2E","POST","Imagen A","Corriendo","126","3","trill","3","sp203/204"
"143","sp203_P2E","POST","Imagen A","Perros","136","3","trill","3","sp203/204"
"144","sp203_P2E","POST","Imagen B","Caminaron","24","1 True","tap","1","sp203/204"
"145","sp203_P2E","POST","Imagen B","Arroz","148","4","trill","4","sp203/204"
"146","sp203_P2E","POST","Imagen C","Caminar","25","1 True","tap","1","sp203/204"
"147","sp203_P2E","POST","Imagen C","Mujer","30","1 True","tap","1","sp203/204"
"148","sp203_P2E","POST","Imagen C","Ropa","139","3","trill","3","sp203/204"
"149","sp203_P2E","POST","Imagen D","Corriendo","121","2","trill","2","sp203/204"
"150","sp203_P2E","POST","Imagen D","Toro","27","1 True","tap","1","sp203/204"
"151","sp203_P2E","POST","Imagen E","Mujer","29","1 True","tap","1","sp203/204"
"152","sp203_P2E","POST","Imagen E","Cara","25","1 True","tap","1","sp203/204"
"153","sp203_P2E","POST","Imagen F","Mujer","25","1 True","tap","1","sp203/204"
"154","sp203_P2E","POST","Imagen F","Guitarra","136","3","trill","3","sp203/204"
"155","sp203_P2E","POST","Imagen G","Zorro","152","3","trill","3","sp203/204"
"156","sp203_P2E","POST","Imagen G","Zorro 2","117","2","trill","2","sp203/204"
"157","sp203_P2E","POST","Imagen G","Flor","26","1 True","tap","1","sp203/204"
"158","sp203_P2E","POST","Imagen H","Carro","173","4","trill","4","sp203/204"
"159","sp203_P2E","POST","Imagen H","Rápido","124","2","trill","2","sp203/204"
"160","sp203_P2E","PRE","Imagen A","Corriendo","77","0","trill","0","sp203/204"
"161","sp203_P2E","PRE","Imagen A","Perros","93","3","trill","3","sp203/204"
"162","sp203_P2E","PRE","Imagen B","Caminar","29","1 True","tap","1","sp203/204"
"163","sp203_P2E","PRE","Imagen B","Arroz","102","3","trill","3","sp203/204"
"164","sp203_P2E","PRE","Imagen C","Mujer","28","1 True","tap","1","sp203/204"
"165","sp203_P2E","PRE","Imagen C","Caminar","32","1 True","tap","1","sp203/204"
"166","sp203_P2E","PRE","Imagen C","Caminar 2","28","1 True","tap","1","sp203/204"
"167","sp203_P2E","PRE","Imagen C","Ropa","28","0","trill","0","sp203/204"
"168","sp203_P2E","PRE","Imagen C","Ropa 2","40","0","trill","0","sp203/204"
"169","sp203_P2E","PRE","Imagen D","Correr","31","1","trill","1","sp203/204"
"170","sp203_P2E","PRE","Imagen D","Toro","35","1 True","tap","1","sp203/204"
"171","sp203_P2E","PRE","Imagen E","Mujer","49","approximant","tap","a","sp203/204"
"172","sp203_P2E","PRE","Imagen E","Cara","31","1 True","tap","1","sp203/204"
"173","sp203_P2E","PRE","Imagen F","Mujer","50","approximant","tap","a","sp203/204"
"174","sp203_P2E","PRE","Imagen F","Guitarra","42","1","trill","1","sp203/204"
"175","sp203_P2E","PRE","Imagen G","Dar","56","approximant","tap","a","sp203/204"
"176","sp203_P2E","PRE","Imagen G","Zorro","100","3","trill","3","sp203/204"
"177","sp203_P2E","PRE","Imagen G","Zorro 2","80","2","trill","2","sp203/204"
"178","sp203_P2E","PRE","Imagen G","Flor","28","1 True","tap","1","sp203/204"
"179","sp203_P2E","PRE","Imagen H","Rojo","89","3","trill","3","sp203/204"
"180","sp203_P2E","PRE","Imagen H","Girar","39","1 True","tap","1","sp203/204"
"181","sp203_P2E","PRE","Imagen H","Carro","141","4","trill","4","sp203/204"
"182","sp203_P2E","PRE","Imagen H","Rápido","36","0","trill","0","sp203/204"
"183","sp204_P2E","POST","Imagen A","Corriendo","148","3","trill","3","sp203/204"
"184","sp204_P2E","POST","Imagen A","Perros","149","3","trill","3","sp203/204"
"185","sp204_P2E","POST","Imagen B","Caminar","30","1 True","tap","1","sp203/204"
"186","sp204_P2E","POST","Imagen B","Arroz","120","2","trill","2","sp203/204"
"187","sp204_P2E","POST","Imagen C","Lavar","28","1 True","tap","1","sp203/204"
"188","sp204_P2E","POST","Imagen C","Ropa","133","2","trill","2","sp203/204"
"189","sp204_P2E","POST","Imagen D","Luchar","31","1 True","tap","1","sp203/204"
"190","sp204_P2E","POST","Imagen E","Cara","24","1 True","tap","1","sp203/204"
"191","sp204_P2E","POST","Imagen F","Guitarra","129","4","trill","4","sp203/204"
"192","sp204_P2E","POST","Imagen G","Rojo","112","2","trill","2","sp203/204"
"193","sp204_P2E","POST","Imagen G","Flor","22",NA,"tap",NA,"sp203/204"
"194","sp204_P2E","POST","Imagen H","Carro","157","4","trill","4","sp203/204"
"195","sp204_P2E","PRE","Imagen A","Correr","33","1","trill","1","sp203/204"
"196","sp204_P2E","PRE","Imagen B","Arroz","105","2","trill","2","sp203/204"
"197","sp204_P2E","PRE","Imagen C","Ropa","26","1","trill","1","sp203/204"
"198","sp204_P2E","PRE","Imagen D","Correr","33","1","trill","1","sp203/204"
"199","sp204_P2E","PRE","Imagen D","Toro","32","1 True","tap","1","sp203/204"
"200","sp204_P2E","PRE","Imagen E","Cara","41","1 True","tap","1","sp203/204"
"201","sp204_P2E","PRE","Imagen F","Guitarra","59","1","trill","1","sp203/204"
"202","sp204_P2E","PRE","Imagen G","Rojo","87","0","trill","0","sp203/204"
"203","sp204_P2E","PRE","Imagen G","Zorro","82","2","trill","2","sp203/204"
"204","sp204_P2E","PRE","Imagen G","Flor","32","1 True","tap","1","sp203/204"
"205","sp204_P2E","PRE","Imagen H","Rojo","50","0","trill","0","sp203/204"
"206","sp204_P2E","PRE","Imagen H","Carro","83","2","trill","2","sp203/204"
"207","sp102_P3E","POST","Imagen A","Corriendo","115","2","trill","2","sp102"
"208","sp102_P3E","POST","Imagen A","Perros","151","3","trill","3","sp102"
"209","sp102_P3E","POST","Imagen B","Arrocito","137","3","trill","3","sp102"
"210","sp102_P3E","POST","Imagen C","Mujer","30","1 True","tap","1","sp102"
"211","sp102_P3E","POST","Imagen C","Ropa","95","2","trill","2","sp102"
"212","sp102_P3E","POST","Imagen D","Corre","132","3","trill","3","sp102"
"213","sp102_P3E","POST","Imagen D","Rápido","114","2","trill","2","sp102"
"214","sp102_P3E","POST","Imagen D","Toro","25","1 True","tap","1","sp102"
"215","sp102_P3E","POST","Imagen E","Mujer","22","1 True","tap","1","sp102"
"216","sp102_P3E","POST","Imagen E","Nariz","24","1 True","tap","1","sp102"
"217","sp102_P3E","POST","Imagen F","Mujer","20","1 True","tap","1","sp102"
"218","sp102_P3E","POST","Imagen F","Guitarra","145","3","trill","3","sp102"
"219","sp102_P3E","POST","Imagen G","Rojo","91","2","trill","2","sp102"
"220","sp102_P3E","POST","Imagen G","Flor","27","1 True","tap","1","sp102"
"221","sp102_P3E","POST","Imagen H","Rojo","94","2","trill","2","sp102"
"222","sp102_P3E","POST","Imagen H","Gira","19","1 True","tap","1","sp102"
"223","sp102_P3E","POST","Imagen H","Carro","149","3","trill","3","sp102"
"224","sp102_P3E","POST","Imagen H","Rápido","120","2","trill","2","sp102"
"225","sp102_P3E","PRE","Imagen A","Correron","86","0","trill","0","sp102"
"226","sp102_P3E","PRE","Imagen A","Correron","41","1 True","tap","1","sp102"
"227","sp102_P3E","PRE","Imagen A","Perros","70","1","trill","1","sp102"
"228","sp102_P3E","PRE","Imagen B","Arroz","80","2","trill","2","sp102"
"229","sp102_P3E","PRE","Imagen C","Lavar","50","approximant","tap","a","sp102"
"230","sp102_P3E","PRE","Imagen C","Mujer","40","1 True","tap","1","sp102"
"231","sp102_P3E","PRE","Imagen C","Ropa","40","0","trill","0","sp102"
"232","sp102_P3E","PRE","Imagen D","Correr","49","1","trill","1","sp102"
"233","sp102_P3E","PRE","Imagen D","Mujer","46","approximant","tap","a","sp102"
"234","sp102_P3E","PRE","Imagen E","Mujer","48","approximant","tap","a","sp102"
"235","sp102_P3E","PRE","Imagen E","Cara","53","approximant","tap","a","sp102"
"236","sp102_P3E","PRE","Imagen F","Mujer","52","approximant","tap","a","sp102"
"237","sp102_P3E","PRE","Imagen F","Guitarra","59","1","trill","1","sp102"
"238","sp102_P3E","PRE","Imagen G","Flor","48","approximant","tap","a","sp102"
"239","sp102_P3E","PRE","Imagen H","Rojo","75","2","trill","2","sp102"
"240","sp102_P3E","PRE","Imagen H","Girar","56","approximant","tap","a","sp102"
"241","sp102_P3E","PRE","Imagen H","Carro","82","2","trill","2","sp102"
"242","sp102_P3E","PRE","Imagen H","Rápido","59","1","trill","1","sp102"
"243","sp1_P3E","POST","Imagen A","Correr","98","2","trill","2","sp1"
"244","sp1_P3E","POST","Imagen A","Correr","16","1 True","tap","1","sp1"
"245","sp1_P3E","POST","Imagen A","Perros","94","2","trill","2","sp1"
"246","sp1_P3E","POST","Imagen B","Arroz","155","4","trill","4","sp1"
"247","sp1_P3E","POST","Imagen C","Lavar","32","approximant","tap","a","sp1"
"248","sp1_P3E","POST","Imagen C","Mujer","39","1 True","tap","1","sp1"
"249","sp1_P3E","POST","Imagen C","Ropa","116","3","trill","3","sp1"
"250","sp1_P3E","POST","Imagen D","Correr","136","4","trill","4","sp1"
"251","sp1_P3E","POST","Imagen D","Correr","28","approximant","tap","a","sp1"
"252","sp1_P3E","POST","Imagen D","Toro","15","approximant","tap","a","sp1"
"253","sp1_P3E","POST","Imagen D","Atacar","19","approximant","tap","a","sp1"
"254","sp1_P3E","POST","Imagen E","Mujer","27","approximant","tap","a","sp1"
"255","sp1_P3E","POST","Imagen E","Cara","25","1 True","tap","1","sp1"
"256","sp1_P3E","POST","Imagen F","Mujer","25","approximant","tap","a","sp1"
"257","sp1_P3E","POST","Imagen F","Guitarra","147","3","trill","3","sp1"
"258","sp1_P3E","POST","Imagen G","Rojo","97","2","trill","2","sp1"
"259","sp1_P3E","POST","Imagen G","Zorro","178","4","trill","4","sp1"
"260","sp1_P3E","POST","Imagen H","Rojo","105","4","trill","4","sp1"
"261","sp1_P3E","POST","Imagen H","Carro","132","4","trill","4","sp1"
"262","sp1_P3E","PRE","Imagen A","Correr","32","1","trill","1","sp1"
"263","sp1_P3E","PRE","Imagen A","Correr","72","approximant","tap","a","sp1"
"264","sp1_P3E","PRE","Imagen A","Perros","35","1","trill","1","sp1"
"265","sp1_P3E","PRE","Imagen B","Caminar","139","approximant","tap","a","sp1"
"266","sp1_P3E","PRE","Imagen B","Arroz","33","1","trill","1","sp1"
"267","sp1_P3E","PRE","Imagen C","Caminar","75","approximant","tap","a","sp1"
"268","sp1_P3E","PRE","Imagen C","Lavar","64","approximant","tap","a","sp1"
"269","sp1_P3E","PRE","Imagen C","Mujer","33","approximant","tap","a","sp1"
"270","sp1_P3E","PRE","Imagen C","Ropa","38","0","trill","0","sp1"
"271","sp1_P3E","PRE","Imagen D","Correr","30","1","trill","1","sp1"
"272","sp1_P3E","PRE","Imagen D","Correr","95","approximant","tap","a","sp1"
"273","sp1_P3E","PRE","Imagen D","Toro","27","approximant","tap","a","sp1"
"274","sp1_P3E","PRE","Imagen D","Atacar","85","approximant","tap","a","sp1"
"275","sp1_P3E","PRE","Imagen E","Mujer","88","approximant","tap","a","sp1"
"276","sp1_P3E","PRE","Imagen F","Tocar","90","approximant","tap","a","sp1"
"277","sp1_P3E","PRE","Imagen F","Mujer","55","approximant","tap","a","sp1"
"278","sp1_P3E","PRE","Imagen F","Guitarra","25","1","trill","1","sp1"
"279","sp1_P3E","PRE","Imagen G","Rojo","67","0","trill","0","sp1"
"280","sp1_P3E","PRE","Imagen G","Zorro","59","0","trill","0","sp1"
"281","sp1_P3E","PRE","Imagen H","Rojo","51","0","trill","0","sp1"
"282","sp1_P3E","PRE","Imagen H","Carro","39","0","trill","0","sp1"
"283","sp1_P3E","PRE","Imagen H","Rápido","22","0","trill","0","sp1"
"284","sp203_P3E","POST","Imagen A","Corriendo","145","3","trill","3","sp203/204"
"285","sp203_P3E","POST","Imagen A","Perros","156","5","trill","5","sp203/204"
"286","sp203_P3E","POST","Imagen B","Arroz","153","3","trill","3","sp203/204"
"287","sp203_P3E","POST","Imagen C","Mujer","31","1 True","tap","1","sp203/204"
"288","sp203_P3E","POST","Imagen C","Mujer 2","45","approximant","tap","a","sp203/204"
"289","sp203_P3E","POST","Imagen C","Ropa","95","0","trill","0","sp203/204"
"290","sp203_P3E","POST","Imagen D","Corre","96","2","trill","2","sp203/204"
"291","sp203_P3E","POST","Imagen D","Corre 2","159","4","trill","4","sp203/204"
"292","sp203_P3E","POST","Imagen D","Toro","34","1 True","tap","1","sp203/204"
"293","sp203_P3E","POST","Imagen E","Mujer","22","1 True","tap","1","sp203/204"
"294","sp203_P3E","POST","Imagen E","Cara","25","1 True","tap","1","sp203/204"
"295","sp203_P3E","POST","Imagen F","Mujer","44","approximant","tap","a","sp203/204"
"296","sp203_P3E","POST","Imagen F","Guitarra","138","4","trill","4","sp203/204"
"297","sp203_P3E","POST","Imagen F","Reirse","79","0","trill","0","sp203/204"
"298","sp203_P3E","POST","Imagen F","Reirse","23","1 True","tap","1","sp203/204"
"299","sp203_P3E","POST","Imagen G","Rojo","152","4","trill","4","sp203/204"
"300","sp203_P3E","POST","Imagen G","Zorro","154","4","trill","4","sp203/204"
"301","sp203_P3E","POST","Imagen H","Rojo","185","4","trill","4","sp203/204"
"302","sp203_P3E","POST","Imagen H","Carro","215","5","trill","5","sp203/204"
"303","sp203_P3E","POST","Imagen H","Rápido","154","3","trill","3","sp203/204"
"304","sp203_P3E","PRE","Imagen A","Corriendo","46","0","trill","0","sp203/204"
"305","sp203_P3E","PRE","Imagen A","Perros","62","0","trill","0","sp203/204"
"306","sp203_P3E","PRE","Imagen B","Arroz","47","0","trill","0","sp203/204"
"307","sp203_P3E","PRE","Imagen C","Caminar","78","approximant","tap","a","sp203/204"
"308","sp203_P3E","PRE","Imagen C","Lavar","92","approximant","tap","a","sp203/204"
"309","sp203_P3E","PRE","Imagen C","Mujer","102","approximant","tap","a","sp203/204"
"310","sp203_P3E","PRE","Imagen C","Ropa","33","0","trill","0","sp203/204"
"311","sp203_P3E","PRE","Imagen D","Corriendo","43","0","trill","0","sp203/204"
"312","sp203_P3E","PRE","Imagen D","Toro","107","approximant","tap","a","sp203/204"
"313","sp203_P3E","PRE","Imagen D","Atacar","103","approximant","tap","a","sp203/204"
"314","sp203_P3E","PRE","Imagen E","Mujer","116","approximant","tap","a","sp203/204"
"315","sp203_P3E","PRE","Imagen E","Cara","63","approximant","tap","a","sp203/204"
"316","sp203_P3E","PRE","Imagen F","Mujer","117","approximant","tap","a","sp203/204"
"317","sp203_P3E","PRE","Imagen F","Guitarra","88","0","trill","0","sp203/204"
"318","sp203_P3E","PRE","Imagen F","Reir","63","0","trill","0","sp203/204"
"319","sp203_P3E","PRE","Imagen G","Dar","63","approximant","tap","a","sp203/204"
"320","sp203_P3E","PRE","Imagen G","Rojo","51","0","trill","0","sp203/204"
"321","sp203_P3E","PRE","Imagen G","Zorro","31","1","trill","1","sp203/204"
"322","sp203_P3E","PRE","Imagen G","Flor","61","approximant","tap","a","sp203/204"
"323","sp203_P3E","PRE","Imagen H","Rojo","41","0","trill","0","sp203/204"
"324","sp203_P3E","PRE","Imagen H","Girar","38","1 True","tap","1","sp203/204"
"325","sp203_P3E","PRE","Imagen H","Carro","51","0","trill","0","sp203/204"
"326","sp203_P3E","PRE","Imagen H","Rápido","51","0","trill","0","sp203/204"
"327","sp1_P5E","POST","Imagen A","Perros","27","2","trill","2","sp1"
"328","sp1_P5E","POST","Imagen B","Arroz","26","1","trill","1","sp1"
"329","sp1_P5E","POST","Imagen C","Mujer","23","1 True","tap","1","sp1"
"330","sp1_P5E","POST","Imagen C","Ropa","29","1","trill","1","sp1"
"331","sp1_P5E","POST","Imagen D","Toro","10","1 True","tap","1","sp1"
"332","sp1_P5E","POST","Imagen E","Mujer","18","1 True","tap","1","sp1"
"333","sp1_P5E","POST","Imagen E","Cara","35","1 + fric","tap","1","sp1"
"334","sp1_P5E","POST","Imagen F","Mujer","24","1 True","tap","1","sp1"
"335","sp1_P5E","POST","Imagen F","Guitarra","40","2","trill","2","sp1"
"336","sp1_P5E","POST","Imagen G","Rojo","36","2","trill","2","sp1"
