"","participant","time","sentence","token","duration","occlusions_cat","is_trill","no_occlusions","level"
"1","sp102_P1E","POST","Imagen A","Correr","95","1","trill","1","sp102"
"2","sp102_P1E","POST","Imagen A","Correr","14","1 True","tap","1","sp102"
"3","sp102_P1E","POST","Imagen A","Perros","117","3","trill","3","sp102"
"4","sp102_P1E","POST","Imagen B","Caminar","24","approximant","tap","a","sp102"
"5","sp102_P1E","POST","Imagen B","Arroz","146","4","trill","4","sp102"
"6","sp102_P1E","POST","Imagen C","Mujer","23","1 True","tap","1","sp102"
"7","sp102_P1E","POST","Imagen C","Ropa","117","3","trill","3","sp102"
"8","sp102_P1E","POST","Imagen D","Correr","70","1","trill","1","sp102"
"9","sp102_P1E","POST","Imagen D","Correr","23","1 True","tap","1","sp102"
"10","sp102_P1E","POST","Imagen D","Toro","24","1 True","tap","1","sp102"
"11","sp102_P1E","POST","Imagen E","Mujer","26","approximant","tap","a","sp102"
"12","sp102_P1E","POST","Imagen E","Cara","18","1 True","tap","1","sp102"
"13","sp102_P1E","POST","Imagen F","Mujer","22","1 True","tap","1","sp102"
"14","sp102_P1E","POST","Imagen F","Guitarra","120","3","trill","3","sp102"
"15","sp102_P1E","POST","Imagen G","Rojo","145","0","trill","0","sp102"
"16","sp102_P1E","POST","Imagen G","Zorro","159","4","trill","4","sp102"
"17","sp102_P1E","POST","Imagen G","Flor","23","1 True","tap","1","sp102"
"18","sp102_P1E","POST","Imagen H","Rojo","135","3","trill","3","sp102"
"19","sp102_P1E","POST","Imagen H","Carro","162","4","trill","4","sp102"
"20","sp102_P1E","PRE","Imagen A","Correr","35","0","trill","0","sp102"
"21","sp102_P1E","PRE","Imagen A","Correr","35","approximant","tap","a","sp102"
"22","sp102_P1E","PRE","Imagen A","Perros","38",NA,"trill",NA,"sp102"
"23","sp102_P1E","PRE","Imagen B","Arroz","33","0","trill","0","sp102"
"24","sp102_P1E","PRE","Imagen C","Ropa","37","0","trill","0","sp102"
"25","sp102_P1E","PRE","Imagen D","Correr","33","0","trill","0","sp102"
"26","sp102_P1E","PRE","Imagen D","Correr","36","approximant","tap","a","sp102"
"27","sp102_P1E","PRE","Imagen D","Toro","30","approximant","tap","a","sp102"
"28","sp102_P1E","PRE","Imagen E","Mujer","51","approximant","tap","a","sp102"
"29","sp102_P1E","PRE","Imagen E","Cara","27","1 True","tap","1","sp102"
"30","sp102_P1E","PRE","Imagen F","Mujer","37","approximant","tap","a","sp102"
"31","sp102_P1E","PRE","Imagen F","Guitarra","30","1","trill","1","sp102"
"32","sp102_P1E","PRE","Imagen G","Zorro","36","1","trill","1","sp102"
"33","sp102_P1E","PRE","Imagen G","Flor","57","approximant","tap","a","sp102"
"34","sp102_P1E","PRE","Imagen H","Rojo","35","0","trill","0","sp102"
"35","sp102_P1E","PRE","Imagen H","Carro","28","1","trill","1","sp102"
"36","sp1_P1E","POST","Imagen A","Correr","65","2 + frication (dr)","trill","2","sp1"
"37","sp1_P1E","POST","Imagen A","Perros","97","3 + frication (dr)","trill","3","sp1"
"38","sp1_P1E","POST","Imagen B","Arroz","49","1","trill","1","sp1"
"39","sp1_P1E","POST","Imagen C","Mujer","31","1 True","tap","1","sp1"
"40","sp1_P1E","POST","Imagen C","Ropa","53","2 (glotal)","trill","2","sp1"
"41","sp1_P1E","POST","Imagen D","Correr","38","1 /l/","trill","1","sp1"
"42","sp1_P1E","POST","Imagen D","Correr","18","1 True","tap","1","sp1"
"43","sp1_P1E","POST","Imagen D","Toro","18","1 True","tap","1","sp1"
"44","sp1_P1E","POST","Imagen D","Atacar","21","1 True","tap","1","sp1"
"45","sp1_P1E","POST","Imagen E","Mujer","27","approximant","tap","a","sp1"
"46","sp1_P1E","POST","Imagen E","Cara","26","1 True","tap","1","sp1"
"47","sp1_P1E","POST","Imagen F","Mujer","22","approximant","tap","a","sp1"
"48","sp1_P1E","POST","Imagen F","Guitarra","81","2 + frication (dr)","trill","2","sp1"
"49","sp1_P1E","POST","Imagen G","Dar","39","1 True","tap","1","sp1"
"50","sp1_P1E","POST","Imagen G","Zorro","113","2 + frication (dr)","trill","2","sp1"
"51","sp1_P1E","POST","Imagen G","Flor","45","approximant","tap","a","sp1"
"52","sp1_P1E","POST","Imagen H","Girar","20","1 True","tap","1","sp1"
"53","sp1_P1E","POST","Imagen H","Carro","77","2 + frication (dr)","trill","2","sp1"
"54","sp1_P1E","POST","Imagen H","Rápido","77","2","trill","2","sp1"
"55","sp1_P1E","PRE","Imagen A","Correr","62","2 + frication (dr)","trill","2","sp1"
"56","sp1_P1E","PRE","Imagen A","Perros","83","1 + frication (dr)","trill","1","sp1"
"57","sp1_P1E","PRE","Imagen B","Arroz","69","1 + frication (dr)","trill","1","sp1"
"58","sp1_P1E","PRE","Imagen C","Mujer","25","1 True","tap","1","sp1"
"59","sp1_P1E","PRE","Imagen C","Ropa","45","0 approximant + aspiration","trill","0","sp1"
"60","sp1_P1E","PRE","Imagen D","Correr","86","2 + frication (dr)","trill","2","sp1"
"61","sp1_P1E","PRE","Imagen D","Toro","16","1 True","tap","1","sp1"
"62","sp1_P1E","PRE","Imagen E","Mujer","30","approximant","tap","a","sp1"
"63","sp1_P1E","PRE","Imagen E","Cara","27","approximant","tap","a","sp1"
"64","sp1_P1E","PRE","Imagen F","Mujer","26",NA,"tap",NA,"sp1"
"65","sp1_P1E","PRE","Imagen F","Guitarra","18","0","trill","0","sp1"
"66","sp1_P1E","PRE","Imagen F","Reir","30","1 True","tap","1","sp1"
"67","sp1_P1E","PRE","Imagen G","Zorro","42","0","trill","0","sp1"
"68","sp1_P1E","PRE","Imagen H","Rojo","96","2 + frication (dr)","trill","2","sp1"
"69","sp1_P1E","PRE","Imagen H","Girar","16","approximant /d/","tap","a","sp1"
"70","sp1_P1E","PRE","Imagen H","Girar","43","approximant","tap","a","sp1"
"71","sp1_P1E","PRE","Imagen H","Carro","69","1 + frication (dr)","trill","1","sp1"
"72","sp1_P1E","PRE","Imagen H","Rápido","56","1 + frication (dr)","trill","1","sp1"
"73","sp203_P1E","POST","Imagen A","Correr","39","1","trill","1","sp203/204"
"74","sp203_P1E","POST","Imagen A","Correr","29","1 True","tap","1","sp203/204"
"75","sp203_P1E","POST","Imagen A","Perros","37","1","trill","1","sp203/204"
"76","sp203_P1E","POST","Imagen B","Caminar","27","1 True","tap","1","sp203/204"
"77","sp203_P1E","POST","Imagen B","Arroz","39","1","trill","1","sp203/204"
"78","sp203_P1E","POST","Imagen C","Caminar","27","1 True","tap","1","sp203/204"
"79","sp203_P1E","POST","Imagen C","Lavar","28","1 True","tap","1","sp203/204"
"80","sp203_P1E","POST","Imagen C","Mujer","28","1 True","tap","1","sp203/204"
"81","sp203_P1E","POST","Imagen C","Ropa","72","0","trill","0","sp203/204"
"82","sp203_P1E","POST","Imagen D","Correr","36","1","trill","1","sp203/204"
"83","sp203_P1E","POST","Imagen D","Correr","26","1 True","tap","1","sp203/204"
"84","sp203_P1E","POST","Imagen D","Toro","28","1 True","tap","1","sp203/204"
"85","sp203_P1E","POST","Imagen D","Para","29","1 True","tap","1","sp203/204"
"86","sp203_P1E","POST","Imagen D","Atacar","33","1 True","tap","1","sp203/204"
"87","sp203_P1E","POST","Imagen E","Lavar","25","1 True","tap","1","sp203/204"
"88","sp203_P1E","POST","Imagen E","Mujer","27","1 True","tap","1","sp203/204"
"89","sp203_P1E","POST","Imagen E","Cara","28","1 True","tap","1","sp203/204"
"90","sp203_P1E","POST","Imagen F","Mujer","28","1 True","tap","1","sp203/204"
"91","sp203_P1E","POST","Imagen F","Guitarra","42","1","trill","1","sp203/204"
"92","sp203_P1E","POST","Imagen F","Reir","67","0","trill","0","sp203/204"
"93","sp203_P1E","POST","Imagen F","Reir","38","approximant","tap","a","sp203/204"
"94","sp203_P1E","POST","Imagen G","Rojo","47","0","trill","0","sp203/204"
"95","sp203_P1E","POST","Imagen G","Zorro","48","1","trill","1","sp203/204"
"96","sp203_P1E","POST","Imagen G","Flor","29","1 True","tap","1","sp203/204"
"97","sp203_P1E","POST","Imagen H","Rojo","46","0","trill","0","sp203/204"
"98","sp203_P1E","POST","Imagen H","Girar","27","1 True","tap","1","sp203/204"
"99","sp203_P1E","POST","Imagen H","Carro","40","1","trill","1","sp203/204"
"100","sp203_P1E","POST","Imagen H","Rápido","45","1","trill","1","sp203/204"
"101","sp203_P1E","PRE","Imagen A","Corriendo","36","0","trill","0","sp203/204"
"102","sp203_P1E","PRE","Imagen A","Perros","46","0","trill","0","sp203/204"
"103","sp203_P1E","PRE","Imagen B","Arroz","52","0","trill","0","sp203/204"
"104","sp203_P1E","PRE","Imagen C","Lavar","104",NA,"tap",NA,"sp203/204"
"105","sp203_P1E","PRE","Imagen C","Mujer","103","approximant","tap","a","sp203/204"
"106","sp203_P1E","PRE","Imagen C","Ropa","38","0","trill","0","sp203/204"
"107","sp203_P1E","PRE","Imagen D","Correr","47","0","trill","0","sp203/204"
"108","sp203_P1E","PRE","Imagen D","Toro","56","approximant","tap","a","sp203/204"
"109","sp203_P1E","PRE","Imagen E","Mujer","84","approximant","tap","a","sp203/204"
"110","sp203_P1E","PRE","Imagen E","Cara","35","1 True","tap","1","sp203/204"
"111","sp203_P1E","PRE","Imagen F","Mujer","118","approximant","tap","a","sp203/204"
"112","sp203_P1E","PRE","Imagen F","Guitarra","30","1","trill","1","sp203/204"
"113","sp203_P1E","PRE","Imagen G","Rojo","40","0","trill","0","sp203/204"
"114","sp203_P1E","PRE","Imagen G","Zorro","33","1","trill","1","sp203/204"
"115","sp203_P1E","PRE","Imagen G","Flor","69","approximant","tap","a","sp203/204"
"116","sp203_P1E","PRE","Imagen H","Girar","77","approximant","tap","a","sp203/204"
"117","sp203_P1E","PRE","Imagen H","Carro","38","1","trill","1","sp203/204"
"118","sp203_P1E","PRE","Imagen H","Rápido","41","0","trill","0","sp203/204"
"119","sp102_P2E","POST","Imagen A","Correr","138","3","trill","3","sp102"
"120","sp102_P2E","POST","Imagen A","Correr","28","1 True","tap","1","sp102"
"121","sp102_P2E","POST","Imagen A","Perros","152","3","trill","3","sp102"
"122","sp102_P2E","POST","Imagen B","Arroz","147","3","trill","3","sp102"
"123","sp102_P2E","POST","Imagen B","Persona","22","1 True","tap","1","sp102"
"124","sp102_P2E","POST","Imagen B","Piernas","28","1 True","tap","1","sp102"
"125","sp102_P2E","POST","Imagen C","Ropa","144","3","trill","3","sp102"
"126","sp102_P2E","POST","Imagen D","Persona","26","1 True","tap","1","sp102"
