"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_tap_lectura",5,6555.61979262476,6579.28680208395,-3272.80989631238,6545.61979262476,NA,NA,NA
"time_mod_tap_lectura",6,6539.38898669536,6567.78939804638,-3263.69449334768,6527.38898669536,18.2308059294037,1,1.95687992694438e-05
"group_mod_tap_lectura",8,6537.6887609315,6575.55597606619,-3260.84438046575,6521.6887609315,5.70022576386327,2,0.0578377916646858
"int_mod_tap_lectura",10,6541.61275407407,6588.94677299245,-3260.80637703704,6521.61275407407,0.0760068574227262,2,0.962709640032059
