"","no.par","AIC","logLik","LR.stat","df","Pr(>Chisq)"
"null_mod_trill_lec",6,964.712336413292,-476.356168206646,NA,NA,NA
"time_mod_trill_lec",7,793.769854549978,-389.884927274989,172.942481863314,1,1.68473088162545e-39
"group_mod_trill_lec",9,796.076720693919,-389.03836034696,1.69313385605903,2,0.428884799808788
"int_mod_trill_lec",11,796.408910499681,-387.204455249841,3.6678101942382,2,0.159788358759278
