"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_tap_image_df",4,239.368223877596,253.068023947522,-115.684111938798,231.368223877596,NA,NA,NA
"time_mod_tap_image_df",5,221.882663161553,239.00741324896,-105.941331580776,211.882663161553,19.4855607160438,1,1.01363019700659e-05
"group_mod_tap_image_df",7,221.096671389401,245.07132151177,-103.5483356947,207.096671389401,4.78599177215204,2,0.0913555825765739
