"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_trill_srt",5,3048.92441950892,3074.61478467914,-1519.46220975446,3038.92441950892,NA,NA,NA
"time_mod_trill_srt",6,3030.26843338135,3061.09687158562,-1509.13421669068,3018.26843338135,20.6559861275709,1,5.49650695082935e-06
"group_mod_trill_srt",8,3034.03053182432,3075.13511609668,-1509.01526591216,3018.03053182432,0.237901557029545,2,0.887851501055988
"int_mod_trill_srt",10,3036.15415263423,3087.53488297468,-1508.07707631712,3016.15415263423,1.87637919008921,2,0.391335670468133
