"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_tap_image_df",5,1948.28052596075,1965.47092250537,-969.140262980377,1938.28052596075,NA,NA,NA
"time_mod_tap_image_df",6,1938.92070689964,1959.54918275318,-963.460353449822,1926.92070689964,11.3598190611106,1,0.000750501355642176
"group_mod_tap_image_df",8,1939.8204496307,1967.32508410209,-961.910224815352,1923.8204496307,3.10025726894014,2,0.212220673177046
"int_mod_tap_image_df",10,1943.59631965153,1977.97711274076,-961.798159825765,1923.59631965153,0.224129979174222,2,0.893986155821226
