"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_trill_lec",5,1076.21950070304,1096.17682343858,-533.109750351522,1066.21950070304,NA,NA,NA
"time_mod_trill_lec",6,1057.02912253882,1080.97790982146,-522.514561269408,1045.02912253882,21.1903781642297,1,4.15846955333697e-06
"group_mod_trill_lec",8,1059.56279668399,1091.49451306086,-521.781398341996,1043.56279668399,1.46632585482212,2,0.480387154931597
"int_mod_trill_lec",10,1062.53652051636,1102.45116598744,-521.268260258178,1042.53652051636,1.02627616763675,2,0.59861412697415
