"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_trill_srt",5,11682.9440474829,11708.6975547708,-5836.47202374143,11672.9440474829,NA,NA,NA
"time_mod_trill_srt",6,11674.6991111884,11705.6033199339,-5831.34955559418,11662.6991111884,10.2449362945026,1,0.00137060317753891
"group_mod_trill_srt",8,11677.7810135582,11718.9866252189,-5830.8905067791,11661.7810135582,0.918097630161355,2,0.631884398658722
"int_mod_trill_srt",10,11679.4844388188,11730.9914533947,-5829.74221940939,11659.4844388188,2.29657473941916,2,0.317179515730613
