"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_tap_srt",4,1351.5830636107,1373.31772977137,-671.791531805351,1343.5830636107,NA,NA,NA
"time_mod_tap_srt",5,1337.36769214867,1364.5360248495,-663.683846074334,1327.36769214867,16.215371462034,1,5.65335291936033e-05
"group_mod_tap_srt",7,1337.87785839159,1375.91352417275,-661.938929195795,1323.87785839159,3.48983375707871,2,0.174659506316731
"int_mod_tap_srt",9,1338.68628483466,1387.58928369616,-660.343142417332,1320.68628483466,3.19157355692619,2,0.202748947228127
