"","no.par","AIC","logLik","LR.stat","df","Pr(>Chisq)"
"null_mod_trill_srt",5,2928.2590217951,-1459.12951089755,NA,NA,NA
"time_mod_trill_srt",6,2506.87710601111,-1247.43855300555,423.381915783991,1,4.48063163834879e-94
"group_mod_trill_srt",8,2509.88204993589,-1246.94102496794,0.995056075223147,2,0.608031835351306
"int_mod_trill_srt",10,2498.26725022797,-1239.13362511398,15.6147997079202,2,0.000406714190454276
