"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_tap_lectura",4,805.177799689357,824.092314141696,-398.588899844679,797.177799689357,NA,NA,NA
"time_mod_tap_lectura",5,788.180055412819,811.823198478242,-389.090027706409,778.180055412819,18.9977442765385,1,1.30873078546375e-05
"group_mod_tap_lectura",7,785.373020895781,818.473421187374,-385.686510447891,771.373020895781,6.80703451703721,2,0.0332560937326069
"int_mod_tap_lectura",9,784.395959132551,826.953616650313,-383.197979566275,766.395959132551,4.97706176323072,2,0.0830318606478259
