"","participant","level","time","sentence","para","duration_2","occlusions_2"
"1","P1E","sp1","POST","1","para","27","1 True"
"2","P1E","sp1","POST","2","para","29","1 True"
"3","P1E","sp1","POST","3","para","29","1 True"
"4","P1E","sp1","POST","4","para","18","1 True"
"5","P1E","sp1","POST","5","para","27","approximant"
"6","P1E","sp1","POST","6","para","28","1 True"
"7","P1E","sp1","POST","7","para","23","1 True"
"8","P1E","sp1","POST","9","para","33","approximant"
"9","P1E","sp1","POST","10","para","39","approximant"
"10","P1E","sp1","POST","11","para","24","1 True"
"11","P1E","sp1","POST","12","para","37","1 True"
"12","P1E","sp1","POST","13","para","32","1 True"
"13","P1E","sp1","POST","14","para","23","1 True"
"14","P1E","sp1","POST","16","para","41","approximant"
"15","P1E","sp1","POST","17","para","27","1 True"
"16","P1E","sp1","POST","18","para","26","1 True"
"17","P1E","sp1","POST","19","para","35","approximant"
"18","P1E","sp1","POST","20","para","38","approximant"
"19","P1E","sp1","POST","21","para","40","1 True"
"20","P1E","sp1","POST","22","para","48","approximant"
"21","P1E","sp1","POST","23","para","69","approximant"
"22","P1E","sp1","POST","24","para","33","1 True"
"23","P1E","sp1","POST","25","para","26","1 True"
"24","P1E","sp1","POST","26","para","26","1 True"
"25","P1E","sp1","POST","27","para","36","1 True"
"26","P1E","sp1","POST","28","para","22","1 True"
"27","P1E","sp1","POST","29","para","34","1 True"
"28","P1E","sp1","POST","30","para","30","1 True"
"29","P1E","sp1","POST","31","para","18","approximant"
"30","P1E","sp1","POST","32","para","18","approximant"
"31","P1E","sp1","POST","33","para","26","1 True"
"32","P1E","sp1","POST","34","para","18","1 True"
"33","P1E","sp1","POST","35","para","24","1 True"
"34","P1E","sp1","POST","36","para","24","1 True"
"35","P1E","sp1","POST","37","para","40","approximant"
"36","P1E","sp1","POST","38","para","41","approximant"
"37","P1E","sp1","POST","39","para","26","1 True"
"38","P1E","sp1","POST","40","para","39","1 True"
"39","P1E","sp1","POST","41","para","28","1 True"
"40","P1E","sp1","POST","42","para","25","1 True"
"41","P1E","sp1","POST","43","para","27","1 True"
"42","P1E","sp1","POST","44","para","25","1 True"
"43","P1E","sp1","POST","45","para","23","1 True"
"44","P1E","sp1","POST","46","para","23","approximant"
"45","P1E","sp1","POST","47","para","29","1 True"
"46","P1E","sp1","POST","49","para","22","approximant"
"47","P1E","sp1","POST","50","para","45","approximant"
"48","P1E","sp1","POST","51","para","37","1 True"
"49","P1E","sp1","POST","52","para","26","approximant"
"50","P1E","sp1","POST","53","para","23","1 True"
"51","P1E","sp1","POST","54","para","34","1 True"
"52","P1E","sp1","POST","55","para","45","approximant"
"53","P1E","sp1","POST","56","para","23","approximant"
"54","P1E","sp1","POST","57","para","25","1 True"
"55","P1E","sp1","POST","58","para","50","approximant"
"56","P1E","sp1","POST","59","para","28","approximant"
"57","P1E","sp1","POST","60","para","36","approximant"
"58","P1E","sp1","POST","61","para","26","1 True"
"59","P1E","sp1","POST","62","para","34","approximant"
"60","P1E","sp1","POST","63","para","21","1 True"
"61","P1E","sp1","POST","64","para","12","approximant"
"62","P1E","sp1","POST","65","para","24","1 True"
"63","P1E","sp1","POST","66","para","28","approximant"
"64","P1E","sp1","POST","67","para","28","1 True"
"65","P1E","sp1","POST","68","para","39","approximant"
"66","P1E","sp1","POST","69b","para","33","approximant"
"67","P1E","sp1","POST","70","para","41","1 True"
"68","P1E","sp1","POST","71b","para","24","approximant"
"69","P1E","sp1","POST","72a","para","23","approximant"
"70","P1E","sp1","POST","73","para","26","1 True"
"71","P1E","sp1","POST","74b","para","23","1 true"
"72","P1E","sp1","POST","75b","para","30","approximant"
"73","P1E","sp1","POST","76","para","21","1 True"
"74","P1E","sp1","POST","77b","para","37","approximant"
"75","P1E","sp1","POST","78b","para","30","approximant"
"76","P1E","sp1","POST","79","para","27","approximant"
"77","P1E","sp1","POST","80b","para","24","approximant"
"78","P1E","sp1","POST","81b","para","27","approximant"
"79","P1E","sp1","POST","82","para","22","1 True"
"80","P1E","sp1","POST","83b","para","28","approximant"
"81","P1E","sp1","POST","84b","para","34","1 True"
"82","P1E","sp1","POST","85","para","28","1 True"
"83","P1E","sp1","POST","86b","para","24","1 True"
"84","P1E","sp1","POST","87b","para","24","1 True"
"85","P1E","sp1","POST","88","para","22","1 True"
"86","P1E","sp1","POST","89b","para","25","1 True"
"87","P1E","sp1","POST","90b","para","28","1 True"
"88","P1E","sp1","POST","91","para","36","approximant"
"89","P1E","sp1","POST","92b","para","42","approximant"
"90","P1E","sp1","POST","93b","para","24","approximant"
"91","P1E","sp1","POST","94","para","24","1 True"
"92","P1E","sp1","POST","95b","para","19","approximant"
"93","P1E","sp1","POST","96b","para","27","approximant"
"94","P1E","sp1","POST","97","para","29","1 True"
"95","P1E","sp1","POST","98b","para","28","approximant"
"96","P1E","sp1","POST","99b","para","37","approximant"
"97","P1E","sp1","POST","100","para","35","1 True"
"98","P1E","sp1","POST","101b","para","21","approximant"
"99","P1E","sp1","POST","102b","para","31","approximant"
"100","P1E","sp1","POST","103","para","23","1 true"
"101","P1E","sp1","POST","104b","para","26","1 True"
"102","P1E","sp1","POST","105b","para","20","1 True"
"103","P1E","sp1","POST","106","para","24","1 True"
"104","P1E","sp1","POST","107a","para","21","approximant"
"105","P1E","sp1","POST","108a","para","28","approximant"
"106","P1E","sp1","POST","109","para","25","1 True"
"107","P1E","sp1","POST","110a","para","18","1 True"
"108","P1E","sp1","POST","111a","para","29","1 True"
"109","P1E","sp1","POST","112","para","17","1 True"
"110","P1E","sp1","POST","113a","para","30","approximant"
"111","P1E","sp1","POST","114a","para","33","approximant"
"112","P1E","sp1","POST","115","para","21","1 True"
"113","P1E","sp1","POST","116a","para","30","1 True"
"114","P1E","sp1","POST","117a","para","32","approximant"
"115","P1E","sp1","POST","118","para","31","approximant"
"116","P1E","sp1","POST","119a","para","31","approximant"
"117","P1E","sp1","POST","120a","para","26","approximant"
"118","P1E","sp1","PRE","1","para","39",NA
"119","P1E","sp1","PRE","2","para","40",NA
"120","P1E","sp1","PRE","3","para","37",NA
"121","P1E","sp1","PRE","4","para","33",NA
"122","P1E","sp1","PRE","5","para","35",NA
"123","P1E","sp1","PRE","6","para","44",NA
"124","P1E","sp1","PRE","7","para","53",NA
"125","P1E","sp1","PRE","8","para","25",NA
"126","P1E","sp1","PRE","9","para","28",NA
"127","P1E","sp1","PRE","10","para","34",NA
"128","P1E","sp1","PRE","11","para","32",NA
"129","P1E","sp1","PRE","12","para","47",NA
"130","P1E","sp1","PRE","13","para","38",NA
"131","P1E","sp1","PRE","14","para","51",NA
"132","P1E","sp1","PRE","15","para","30",NA
"133","P1E","sp1","PRE","16","para","50",NA
"134","P1E","sp1","PRE","17","para","43",NA
"135","P1E","sp1","PRE","18","para","93",NA
"136","P1E","sp1","PRE","19","para","45",NA
"137","P1E","sp1","PRE","20","para","46",NA
"138","P1E","sp1","PRE","21","para","32",NA
"139","P1E","sp1","PRE","22","para","43",NA
"140","P1E","sp1","PRE","23","para","41",NA
"141","P1E","sp1","PRE","24","para","27",NA
"142","P1E","sp1","PRE","25","para","48",NA
"143","P1E","sp1","PRE","26","para","36",NA
"144","P1E","sp1","PRE","27","para","29",NA
"145","P1E","sp1","PRE","28","para","30",NA
"146","P1E","sp1","PRE","29","para","42",NA
"147","P1E","sp1","PRE","30","para","50",NA
"148","P1E","sp1","PRE","31","para","34",NA
"149","P1E","sp1","PRE","32","para","40",NA
"150","P1E","sp1","PRE","33","para","45",NA
"151","P1E","sp1","PRE","34","para","63",NA
"152","P1E","sp1","PRE","35","para","35",NA
"153","P1E","sp1","PRE","36","para","41",NA
"154","P1E","sp1","PRE","37","para","52",NA
"155","P1E","sp1","PRE","38","para","46",NA
"156","P1E","sp1","PRE","39","para","33",NA
"157","P1E","sp1","PRE","40","para","39",NA
"158","P1E","sp1","PRE","41","para","53",NA
"159","P1E","sp1","PRE","42","para","36",NA
"160","P1E","sp1","PRE","43","para","54",NA
"161","P1E","sp1","PRE","44","para","27",NA
"162","P1E","sp1","PRE","45","para","42",NA
"163","P1E","sp1","PRE","46","para","36",NA
"164","P1E","sp1","PRE","47","para","20",NA
"165","P1E","sp1","PRE","48","para","33",NA
"166","P1E","sp1","PRE","49","para","41",NA
"167","P1E","sp1","PRE","50","para","46",NA
"168","P1E","sp1","PRE","51","para","39",NA
"169","P1E","sp1","PRE","52","para","34",NA
"170","P1E","sp1","PRE","53","para","46",NA
"171","P1E","sp1","PRE","54","para","28",NA
"172","P1E","sp1","PRE","55","para","37",NA
"173","P1E","sp1","PRE","56","para","36",NA
"174","P1E","sp1","PRE","57","para","42",NA
"175","P1E","sp1","PRE","58","para","43",NA
"176","P1E","sp1","PRE","59","para","39",NA
"177","P1E","sp1","PRE","60","para","44",NA
"178","P1E","sp1","PRE","61","para","53",NA
"179","P1E","sp1","PRE","62","para","31",NA
"180","P1E","sp1","PRE","63","para","44",NA
"181","P1E","sp1","PRE","64","para","22",NA
"182","P1E","sp1","PRE","65","para","27",NA
"183","P1E","sp1","PRE","66","para","30",NA
"184","P1E","sp1","PRE","67","para","28",NA
"185","P1E","sp1","PRE","68","para","20",NA
"186","P1E","sp1","PRE","69b","para","35",NA
"187","P1E","sp1","PRE","70","para","33",NA
"188","P1E","sp1","PRE","71b","para","35",NA
"189","P1E","sp1","PRE","73","para","35",NA
"190","P1E","sp1","PRE","74b","para","24",NA
"191","P1E","sp1","PRE","75b","para","19",NA
"192","P1E","sp1","PRE","76","para","26",NA
"193","P1E","sp1","PRE","77b","para","27",NA
"194","P1E","sp1","PRE","78b","para","34",NA
"195","P1E","sp1","PRE","80b","para","20",NA
"196","P1E","sp1","PRE","82","para","26",NA
"197","P1E","sp1","PRE","83b","para","23",NA
"198","P1E","sp1","PRE","84b","para","33",NA
"199","P1E","sp1","PRE","85","para","22",NA
"200","P1E","sp1","PRE","88","para","17",NA
"201","P1E","sp1","PRE","90b","para","22",NA
"202","P1E","sp1","PRE","96b","para","36",NA
"203","P1E","sp1","PRE","97","para","29",NA
"204","P1E","sp1","PRE","99b","para","24",NA
"205","P1E","sp1","PRE","103","para","12",NA
"206","P1E","sp1","PRE","104b","para","33",NA
"207","P1E","sp1","PRE","105b","para","36",NA
"208","P1E","sp1","PRE","119a","para","23",NA
"209","P3E","sp1","POST","1","para","22","1 True"
"210","P3E","sp1","POST","2","para","16","approximant"
"211","P3E","sp1","POST","3","para","14","approximant"
"212","P3E","sp1","POST","4","para","15","1 True"
"213","P3E","sp1","POST","5","para","18","approximant"
"214","P3E","sp1","POST","6","para","15","1 True"
"215","P3E","sp1","POST","7","para","19","1 True"
"216","P3E","sp1","POST","8","para","20","approximant"
"217","P3E","sp1","POST","9","para","22","1 True"
"218","P3E","sp1","POST","10","para","17","approximant"
"219","P3E","sp1","POST","11","para","17","1 True"
"220","P3E","sp1","POST","12","para","12","approximant"
"221","P3E","sp1","POST","13","para","14","1 True"
"222","P3E","sp1","POST","14","para","22","1 True"
"223","P3E","sp1","POST","15","para","16","approximant"
"224","P3E","sp1","POST","16","para","19","1 True"
"225","P3E","sp1","POST","17","para","15","1 True"
"226","P3E","sp1","POST","18","para","22","1 True"
"227","P3E","sp1","POST","19","para","19","1 True"
"228","P3E","sp1","POST","20","para","20","1 True"
"229","P3E","sp1","POST","21","para","16","approximant"
"230","P3E","sp1","POST","22","para","18","1 True"
"231","P3E","sp1","POST","23","para","18","1 True"
"232","P3E","sp1","POST","24","para","18","1 True"
"233","P3E","sp1","POST","25","para","21","1 True"
"234","P3E","sp1","POST","26","para","21","1 True"
"235","P3E","sp1","POST","27","para","19","1 True"
"236","P3E","sp1","POST","28","para","17","approximant"
"237","P3E","sp1","POST","29","para","18","1 True"
"238","P3E","sp1","POST","30","para","14","1 True"
"239","P3E","sp1","POST","31","para","20","1 True"
"240","P3E","sp1","POST","32","para","16","1 True"
"241","P3E","sp1","POST","33","para","17","1 True"
"242","P3E","sp1","POST","34","para","12","1 True"
"243","P3E","sp1","POST","35","para","12","1 True"
"244","P3E","sp1","POST","36","para","20","1 True"
"245","P3E","sp1","POST","37","para","15","1 True"
"246","P3E","sp1","POST","39","para","22","approximant"
"247","P3E","sp1","POST","40","para","20","1 True"
"248","P3E","sp1","POST","41","para","15","approximant"
"249","P3E","sp1","POST","42","para","19","1 True"
"250","P3E","sp1","POST","43","para","21","1 True"
"251","P3E","sp1","POST","44","para","13","1 True"
"252","P3E","sp1","POST","45","para","16","1 True"
"253","P3E","sp1","POST","46","para","17","1 True"
"254","P3E","sp1","POST","47","para","22","approximant"
"255","P3E","sp1","POST","48","para","19","1 True"
"256","P3E","sp1","POST","49","para","15","1 True"
"257","P3E","sp1","POST","50","para","20","1 True"
"258","P3E","sp1","POST","51","para","19","1 True"
"259","P3E","sp1","POST","52","para","18","1 True"
"260","P3E","sp1","POST","53","para","17","1 True"
"261","P3E","sp1","POST","54","para","20","1 True"
"262","P3E","sp1","POST","55","para","17","1 True"
"263","P3E","sp1","POST","56","para","30","approximant"
"264","P3E","sp1","POST","57","para","25","1 True"
"265","P3E","sp1","POST","58","para","22","1 True"
"266","P3E","sp1","POST","59","para","23","1 True"
"267","P3E","sp1","POST","60","para","20","1 True"
"268","P3E","sp1","POST","61","para","22","1 True"
"269","P3E","sp1","POST","62","para","17","1 True"
"270","P3E","sp1","POST","63","para","18","1 True"
"271","P3E","sp1","POST","64","para","21","1 True"
"272","P3E","sp1","POST","65","para","19","1 True"
"273","P3E","sp1","POST","66","para","15","1 True"
"274","P3E","sp1","POST","67","para","16","approximant"
"275","P3E","sp1","POST","68","para","16","1 True"
"276","P3E","sp1","POST","69b","para","14","1 True"
"277","P3E","sp1","POST","70","para","15","1 True"
