"","sentence","token","duration","occlusions","participant","time","is_trill","no_occlusions","level"
"83","6","viajero","22","0 (alveolar /t/ oral stop)","sp1_P1E","PRE","tap","0","sp1"
"84","7","verlo","81","0 approximant","sp1_P1E","PRE","tap","0","sp1"
"85","8","convinieron","37","1 True","sp1_P1E","PRE","tap","1","sp1"
"86","9","primero","43","1 True","sp1_P1E","PRE","tap","1","sp1"
"87","10","consiguiera","52","1 True","sp1_P1E","PRE","tap","1","sp1"
"88","11","quitarle","55","approximant","sp1_P1E","PRE","tap","a","sp1"
"89","12","seria","23","1 True","sp1_P1E","PRE","tap","1","sp1"
"90","13","fuerte","36","approximant","sp1_P1E","PRE","tap","a","sp1"
"91","14","norte","44","1 True","sp1_P1E","PRE","tap","1","sp1"
"92","15","soplar","57","approximant","sp1_P1E","PRE","tap","a","sp1"
"93","16","furia","28","1 True","sp1_P1E","PRE","tap","1","sp1"
"94","17","pero","25","1 True","sp1_P1E","PRE","tap","1","sp1"
"95","18","aferraba","33","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"96","19","norte","37","1 True","sp1_P1E","PRE","tap","1","sp1"
"97","20","esplendor ","48","1 True","sp1_P1E","PRE","tap","1","sp1"
"98","21","arrojó","65","2 + frication (dr)","sp1_P1E","PRE","trill","2","sp1"
"99","22","norte","31","approximant","sp1_P1E","PRE","tap","a","sp1"
"100","23","reconocer","77","1 + frication (dr)","sp1_P1E","PRE","tap","1","sp1"
"101","24","reconocer","58","1 True","sp1_P1E","PRE","tap","1","sp1"
"102","25","superioridad (a)","37","1 True","sp1_P1E","PRE","tap","1","sp1"
"103","26","superioridad (b)","39","approximant","sp1_P1E","PRE","tap","a","sp1"
"104","1","Roberto","127","2","sp102_P1E","POST","trill","2","sp102"
"105","2","Roberto","26","approximant","sp102_P1E","POST","tap","a","sp102"
"106","3","para","22","1 True","sp102_P1E","POST","tap","1","sp102"
"107","4","América","18","1 True","sp102_P1E","POST","tap","1","sp102"
"108","5","Caribe","19","1 True","sp102_P1E","POST","tap","1","sp102"
"109","6","pérdida","27","1 True","sp102_P1E","POST","tap","1","sp102"
"110","7","región","90","0","sp102_P1E","POST","trill","0","sp102"
"111","8","relacionada","118","3","sp102_P1E","POST","trill","3","sp102"
"112","9","rápida","127","3","sp102_P1E","POST","trill","3","sp102"
"113","10","tierras","159","3","sp102_P1E","POST","trill","3","sp102"
"114","11","para","20","1 True","sp102_P1E","POST","tap","1","sp102"
"115","12","pérdida","22","1 True","sp102_P1E","POST","tap","1","sp102"
"116","13","desarrollo","139","3","sp102_P1E","POST","trill","3","sp102"
"117","14","infraestructura","20","1 True","sp102_P1E","POST","tap","1","sp102"
"118","15","relacionada","113","2","sp102_P1E","POST","trill","2","sp102"
"119","16","carreteras","114","2","sp102_P1E","POST","trill","2","sp102"
"120","17","carreteras","20","1 True","sp102_P1E","POST","tap","1","sp102"
"121","18","para","28","approximant","sp102_P1E","POST","tap","a","sp102"
"122","19","carros","102","2","sp102_P1E","POST","trill","2","sp102"
"123","20","carrozas","123","2","sp102_P1E","POST","trill","2","sp102"
"124","21","rotundo ","113","2","sp102_P1E","POST","trill","2","sp102"
"125","22","productor","16","1 True","sp102_P1E","POST","tap","1","sp102"
"126","23","materia","15","1 True","sp102_P1E","POST","tap","1","sp102"
"127","24","relevante","147","3","sp102_P1E","POST","trill","3","sp102"
"128","25","minería","15","1 True","sp102_P1E","POST","tap","1","sp102"
"129","26","por","23","1 True","sp102_P1E","POST","tap","1","sp102"
"130","1","norte","17","1 True","sp102_P1E","POST","tap","1","sp102"
"131","2","acerca","18","1 True","sp102_P1E","POST","tap","1","sp102"
"132","3","sería","23","1 True","sp102_P1E","POST","tap","1","sp102"
"133","4","fuerte","20","1 True","sp102_P1E","POST","tap","1","sp102"
"134","5","repente","74","1","sp102_P1E","POST","trill","1","sp102"
"135","6","viajero","21","1 True","sp102_P1E","POST","tap","1","sp102"
"136","7","verlo","35","approximant","sp102_P1E","POST","tap","a","sp102"
"137","8","convinieron","19","1 True","sp102_P1E","POST","tap","1","sp102"
"138","9","primero","27","approximant","sp102_P1E","POST","tap","a","sp102"
"139","10","consiguiera","26","1 True","sp102_P1E","POST","tap","1","sp102"
"140","11","quitarle","34","approximant","sp102_P1E","POST","tap","a","sp102"
"141","12","seria","19","1 True","sp102_P1E","POST","tap","1","sp102"
"142","13","fuerte","21","1 True","sp102_P1E","POST","tap","1","sp102"
"143","14","norte","20","1 True","sp102_P1E","POST","tap","1","sp102"
"144","15","soplar","27","1 True","sp102_P1E","POST","tap","1","sp102"
"145","16","furia","21","1 True","sp102_P1E","POST","tap","1","sp102"
"146","17","pero","21","1 True","sp102_P1E","POST","tap","1","sp102"
"147","18","aferraba","115","2","sp102_P1E","POST","trill","2","sp102"
"148","19","norte","21","1 True","sp102_P1E","POST","tap","1","sp102"
"149","20","esplendor ","24","1 True","sp102_P1E","POST","tap","1","sp102"
"150","21","arrojó","115","2","sp102_P1E","POST","trill","2","sp102"
"151","22","norte","25","1 True","sp102_P1E","POST","tap","1","sp102"
"152","23","reconocer","57","0","sp102_P1E","POST","trill","0","sp102"
"153","24","reconocer","26","1 True","sp102_P1E","POST","tap","1","sp102"
"154","1","Roberto","52","0","sp102_P1E","PRE","trill","0","sp102"
"155","2","Roberto","41","approximant","sp102_P1E","PRE","tap","a","sp102"
"156","3","para","37","approximant","sp102_P1E","PRE","tap","a","sp102"
"157","4","América","30","1 True","sp102_P1E","PRE","tap","1","sp102"
"158","5","Caribe","38","approximant","sp102_P1E","PRE","tap","a","sp102"
"159","6","pérdida","35","approximant","sp102_P1E","PRE","tap","a","sp102"
"160","7","región","46","0","sp102_P1E","PRE","trill","0","sp102"
"161","8","relacionada","42","0","sp102_P1E","PRE","trill","0","sp102"
"162","9","rápida","27","1","sp102_P1E","PRE","trill","1","sp102"
"163","10","tierras","36","0","sp102_P1E","PRE","trill","0","sp102"
"164","11","para","46","approximant","sp102_P1E","PRE","tap","a","sp102"
"165","12","pérdida","46","approximant","sp102_P1E","PRE","tap","a","sp102"
"166","13","desarrollo","26","1","sp102_P1E","PRE","trill","1","sp102"
"167","14","infraestructura","57","approximant","sp102_P1E","PRE","tap","a","sp102"
"168","15","relacionada","35","0","sp102_P1E","PRE","trill","0","sp102"
"169","16","carreteras","27","0","sp102_P1E","PRE","trill","0","sp102"
"170","18","para","48","approximant","sp102_P1E","PRE","tap","a","sp102"
"171","19","carros","34","0","sp102_P1E","PRE","trill","0","sp102"
"172","20","carrozas","31","0","sp102_P1E","PRE","trill","0","sp102"
"173","21","rotundo ","29","0","sp102_P1E","PRE","trill","0","sp102"
"174","22","productor","51","approximant","sp102_P1E","PRE","tap","a","sp102"
"175","23","materia","33","1 True","sp102_P1E","PRE","tap","1","sp102"
"176","24","relevante","38","0","sp102_P1E","PRE","trill","0","sp102"
"177","25","minería","54","approximant","sp102_P1E","PRE","tap","a","sp102"
"178","26","por","50","approximant","sp102_P1E","PRE","tap","a","sp102"
"179","1","norte","41","approximant","sp102_P1E","PRE","tap","a","sp102"
"180","2","acerca","29","1 True","sp102_P1E","PRE","tap","1","sp102"
"181","3","sería","30","1 True","sp102_P1E","PRE","tap","1","sp102"
"182","4","fuerte","37","approximant","sp102_P1E","PRE","tap","a","sp102"
"183","5","repente","23","1","sp102_P1E","PRE","trill","1","sp102"
"184","6","viajero","26","1 True","sp102_P1E","PRE","tap","1","sp102"
"185","7","verlo","42","approximant","sp102_P1E","PRE","tap","a","sp102"
"186","8","convinieron","48","approximant","sp102_P1E","PRE","tap","a","sp102"
"187","9","primero","35","approximant","sp102_P1E","PRE","tap","a","sp102"
"188","11","quitarle","54","approximant","sp102_P1E","PRE","tap","a","sp102"
"189","12","seria","34","approximant","sp102_P1E","PRE","tap","a","sp102"
"190","13","fuerte","43","approximant","sp102_P1E","PRE","tap","a","sp102"
"191","14","norte","52","approximant","sp102_P1E","PRE","tap","a","sp102"
"192","15","soplar","55","approximant","sp102_P1E","PRE","tap","a","sp102"
"193","16","furia","34","approximant","sp102_P1E","PRE","tap","a","sp102"
"194","17","pero","52","approximant","sp102_P1E","PRE","tap","a","sp102"
"195","18","aferraba","46","1","sp102_P1E","PRE","trill","1","sp102"
"196","19","norte","46","approximant","sp102_P1E","PRE","tap","a","sp102"
"197","20","esplendor ","43","approximant","sp102_P1E","PRE","tap","a","sp102"
"198","21","arrojó","27","1","sp102_P1E","PRE","trill","1","sp102"
"199","22","norte","46","approximant","sp102_P1E","PRE","tap","a","sp102"
"200","1","Roberto","52","1","sp203_P1E","POST","trill","1","sp203/204"
"201","2","Roberto","24","1 True","sp203_P1E","POST","tap","1","sp203/204"
"202","3","para","26","1 True","sp203_P1E","POST","tap","1","sp203/204"
"203","4","América","28","1 True","sp203_P1E","POST","tap","1","sp203/204"
"204","5","Caribe","24","1 True","sp203_P1E","POST","tap","1","sp203/204"
"205","6","pérdida","29","1 True","sp203_P1E","POST","tap","1","sp203/204"
"206","7","región","58","1","sp203_P1E","POST","trill","1","sp203/204"
"207","8","relacionada","66","0","sp203_P1E","POST","trill","0","sp203/204"
"208","9","rápida","77","0","sp203_P1E","POST","trill","0","sp203/204"
"209","10","tierras","81","0","sp203_P1E","POST","trill","0","sp203/204"
"210","11","para","26","1 True","sp203_P1E","POST","tap","1","sp203/204"
"211","12","pérdida","31","1 True","sp203_P1E","POST","tap","1","sp203/204"
"212","13","desarrollo","70","1","sp203_P1E","POST","trill","1","sp203/204"
"213","14","infraestructura","27","1 True","sp203_P1E","POST","tap","1","sp203/204"
"214","15","relacionada","70","0","sp203_P1E","POST","trill","0","sp203/204"
"215","16","carreteras","51","1","sp203_P1E","POST","trill","1","sp203/204"
"216","17","carreteras","29","1 True","sp203_P1E","POST","tap","1","sp203/204"
"217","18","para","40","approximant","sp203_P1E","POST","tap","a","sp203/204"
"218","19","carros","59","1","sp203_P1E","POST","trill","1","sp203/204"
"219","20","carrozas","69","1","sp203_P1E","POST","trill","1","sp203/204"
"220","21","rotundo ","68","0","sp203_P1E","POST","trill","0","sp203/204"
"221","22","productor","28","1 True","sp203_P1E","POST","tap","1","sp203/204"
"222","23","materia","27","1 True","sp203_P1E","POST","tap","1","sp203/204"
"223","24","relevante","39","0","sp203_P1E","POST","trill","0","sp203/204"
"224","25","minería","28","1 True","sp203_P1E","POST","tap","1","sp203/204"
"225","26","por","46","approximant","sp203_P1E","POST","tap","a","sp203/204"
"226","1","norte","27","1 True","sp203_P1E","POST","tap","1","sp203/204"
"227","2","acerca","28","1 True","sp203_P1E","POST","tap","1","sp203/204"
"228","3","sería","26","1 True","sp203_P1E","POST","tap","1","sp203/204"
"229","4","fuerte","24","1 True","sp203_P1E","POST","tap","1","sp203/204"
"230","5","repente","45","1","sp203_P1E","POST","trill","1","sp203/204"
"231","6","viajero","21","1 True","sp203_P1E","POST","tap","1","sp203/204"
"232","7","verlo","46","approximant","sp203_P1E","POST","tap","a","sp203/204"
"233","8","convinieron","30","1 True","sp203_P1E","POST","tap","1","sp203/204"
"234","9","primero","25","1 True","sp203_P1E","POST","tap","1","sp203/204"
"235","10","consiguiera","32","approximant","sp203_P1E","POST","tap","a","sp203/204"
"236","12","seria","25","1 True","sp203_P1E","POST","tap","1","sp203/204"
"237","13","fuerte","21","1 True","sp203_P1E","POST","tap","1","sp203/204"
"238","14","norte","27","1 True","sp203_P1E","POST","tap","1","sp203/204"
"239","15","soplar","33","approximant","sp203_P1E","POST","tap","a","sp203/204"
"240","16","furia","31","1 True","sp203_P1E","POST","tap","1","sp203/204"
"241","17","pero","36","approximant","sp203_P1E","POST","tap","a","sp203/204"
"242","18","aferraba","52","1","sp203_P1E","POST","trill","1","sp203/204"
"243","19","norte","23","1 True","sp203_P1E","POST","tap","1","sp203/204"
"244","20","esplendor ","32","approximant","sp203_P1E","POST","tap","a","sp203/204"
"245","21","arrojó","57","1","sp203_P1E","POST","trill","1","sp203/204"
"246","22","norte","24","1 True","sp203_P1E","POST","tap","1","sp203/204"
"247","1","Roberto","38","0","sp203_P1E","PRE","trill","0","sp203/204"
"248","2","Roberto","47","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"249","3","para","75","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"250","4","América","65","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"251","5","Caribe","68","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"252","6","pérdida","44","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"253","7","región","47","0","sp203_P1E","PRE","trill","0","sp203/204"
"254","8","relacionada","51","0","sp203_P1E","PRE","trill","0","sp203/204"
"255","9","rápida","46","0","sp203_P1E","PRE","trill","0","sp203/204"
"256","10","tierras","57","0","sp203_P1E","PRE","trill","0","sp203/204"
"257","11","para","68","aapproximant","sp203_P1E","PRE","tap","a","sp203/204"
"258","12","pérdida","52","aapproximant","sp203_P1E","PRE","tap","a","sp203/204"
"259","13","desarrollo","52","0","sp203_P1E","PRE","trill","0","sp203/204"
"260","14","infraestructura","54","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"261","15","relacionada","43","0","sp203_P1E","PRE","trill","0","sp203/204"
"262","16","carreteras","40","0","sp203_P1E","PRE","trill","0","sp203/204"
"263","17","carreteras","51","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"264","18","para","51","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"265","19","carros","46","0","sp203_P1E","PRE","trill","0","sp203/204"
"266","20","carrozas","41","0","sp203_P1E","PRE","trill","0","sp203/204"
"267","21","rotundo ","34","0","sp203_P1E","PRE","trill","0","sp203/204"
"268","22","productor","58","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"269","23","materia","69","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"270","24","relevante","33","0","sp203_P1E","PRE","trill","0","sp203/204"
"271","25","minería","61","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"272","26","por","55","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"273","1","norte","41","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"274","2","acerca","65","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"275","3","sería","66","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"276","4","fuerte","55","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"277","5","repente","39","0","sp203_P1E","PRE","trill","0","sp203/204"
"278","6","viajero","78","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"279","7","verlo","60","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"280","8","convinieron","74","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"281","9","primero","58","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"282","10","consiguiera","81","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"283","11","quitarle","55","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"284","12","seria","62","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"285","13","fuerte","46","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"286","14","norte","54","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"287","15","soplar","68","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"288","16","furia","68","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"289","17","pero","59","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"290","18","aferraba","61","0","sp203_P1E","PRE","trill","0","sp203/204"
"291","19","norte","46","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"292","20","esplendor ","76","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"293","21","arrojó","52","0","sp203_P1E","PRE","trill","0","sp203/204"
"294","22","norte","35","approximant","sp203_P1E","PRE","tap","a","sp203/204"
"295","23","reconocer","42","0","sp203_P1E","PRE","trill","0","sp203/204"
"296","1","Roberto","153","3","sp102_P2E","POST","trill","3","sp102"
"297","2","Roberto","22","1 True","sp102_P2E","POST","tap","1","sp102"
"298","3","para","24","1 True","sp102_P2E","POST","tap","1","sp102"
"299","4","América","27","1 True","sp102_P2E","POST","tap","1","sp102"
"300","5","Caribe","24","1 True","sp102_P2E","POST","tap","1","sp102"
"301","6","pérdida","21","1 True","sp102_P2E","POST","tap","1","sp102"
"302","7","región","176","4","sp102_P2E","POST","trill","4","sp102"
"303","8","relacionada","131","3","sp102_P2E","POST","trill","3","sp102"
"304","9","rápida","184","3","sp102_P2E","POST","trill","3","sp102"
"305","10","tierras","139","2","sp102_P2E","POST","trill","2","sp102"
"306","11","para","21","1 True","sp102_P2E","POST","tap","1","sp102"
"307","12","pérdida","26","1 True","sp102_P2E","POST","tap","1","sp102"
"308","13","desarrollo","144","3","sp102_P2E","POST","trill","3","sp102"
"309","14","infraestructura","29","approximant","sp102_P2E","POST","tap","a","sp102"
"310","15","relacionada","197","4","sp102_P2E","POST","trill","4","sp102"
"311","16","carreteras","130","3","sp102_P2E","POST","trill","3","sp102"
"312","17","carreteras","23","1 True","sp102_P2E","POST","tap","1","sp102"
"313","18","para","21","1 True","sp102_P2E","POST","tap","1","sp102"
"314","19","carros","143","2","sp102_P2E","POST","trill","2","sp102"
"315","20","carrozas","123","2","sp102_P2E","POST","trill","2","sp102"
"316","21","rotundo ","160","3","sp102_P2E","POST","trill","3","sp102"
"317","22","productor","24","1 True","sp102_P2E","POST","tap","1","sp102"
"318","23","materia","21","1 True","sp102_P2E","POST","tap","1","sp102"
"319","24","relevante","173","3","sp102_P2E","POST","trill","3","sp102"
"320","25","minería","24","1 True","sp102_P2E","POST","tap","1","sp102"
"321","26","por","26","1 True","sp102_P2E","POST","tap","1","sp102"
"322","2","acerca","24","1 True","sp102_P2E","POST","tap","1","sp102"
"323","3","sería","27","1 True","sp102_P2E","POST","tap","1","sp102"
"324","4","fuerte","22","1 True","sp102_P2E","POST","tap","1","sp102"
"325","5","repente","115","2","sp102_P2E","POST","trill","2","sp102"
"326","6","viajero","21","1 True","sp102_P2E","POST","tap","1","sp102"
"327","7","verlo","27","1 True","sp102_P2E","POST","tap","1","sp102"
"328","8","convinieron","26","1 True","sp102_P2E","POST","tap","1","sp102"
"329","9","primero","25","1 True","sp102_P2E","POST","tap","1","sp102"
"330","10","consiguiera","24","1 True","sp102_P2E","POST","tap","1","sp102"
"331","11","quitarle","26","1 True","sp102_P2E","POST","tap","1","sp102"
"332","12","seria","23","1 True","sp102_P2E","POST","tap","1","sp102"
"333","13","fuerte","24","1 True","sp102_P2E","POST","tap","1","sp102"
"334","14","norte","24","1 True","sp102_P2E","POST","tap","1","sp102"
"335","15","soplar","27","1 True","sp102_P2E","POST","tap","1","sp102"
"336","16","furia","29","1 True","sp102_P2E","POST","tap","1","sp102"
"337","17","pero","22","1 True","sp102_P2E","POST","tap","1","sp102"
"338","18","aferraba","164","3","sp102_P2E","POST","trill","3","sp102"
"339","19","norte","29","1 True","sp102_P2E","POST","tap","1","sp102"
"340","20","esplendor ","20","1 True","sp102_P2E","POST","tap","1","sp102"
"341","21","arrojó","133","0","sp102_P2E","POST","trill","0","sp102"
"342","22","norte","26","1 True","sp102_P2E","POST","tap","1","sp102"
"343","23","reconocer","103","2","sp102_P2E","POST","trill","2","sp102"
"344","24","reconocer","25","1 True","sp102_P2E","POST","tap","1","sp102"
"345","1","Roberto","41","1","sp102_P2E","PRE","trill","1","sp102"
"346","2","Roberto","26","1 True","sp102_P2E","PRE","tap","1","sp102"
"347","3","para","20","1 True","sp102_P2E","PRE","tap","1","sp102"
"348","4","América","31","1 True","sp102_P2E","PRE","tap","1","sp102"
"349","5","Caribe","33","1 True","sp102_P2E","PRE","tap","1","sp102"
"350","6","pérdida","69","approximant","sp102_P2E","PRE","tap","a","sp102"
"351","7","región","46","0","sp102_P2E","PRE","trill","0","sp102"
"352","8","relacionada","34","0","sp102_P2E","PRE","trill","0","sp102"
"353","9","rápida","67","0","sp102_P2E","PRE","trill","0","sp102"
"354","10","tierras","44","0","sp102_P2E","PRE","trill","0","sp102"
"355","11","para","28","1 True","sp102_P2E","PRE","tap","1","sp102"
"356","12","pérdida","28","1 True","sp102_P2E","PRE","tap","1","sp102"
"357","13","desarrollo","83","2","sp102_P2E","PRE","trill","2","sp102"
"358","14","infraestructura","38","1 True","sp102_P2E","PRE","tap","1","sp102"
"359","15","relacionada","43","0","sp102_P2E","PRE","trill","0","sp102"
"360","16","carreteras","51","1","sp102_P2E","PRE","trill","1","sp102"
"361","17","carreteras","30","1 True","sp102_P2E","PRE","tap","1","sp102"
"362","18","para","38","approximant","sp102_P2E","PRE","tap","a","sp102"
"363","19","carros","40","1","sp102_P2E","PRE","trill","1","sp102"
"364","20","carrozas","117","3","sp102_P2E","PRE","trill","3","sp102"
"365","21","rotundo ","85","0","sp102_P2E","PRE","trill","0","sp102"
"366","22","productor","96","approximant","sp102_P2E","PRE","tap","a","sp102"
"367","23","materia","68","approximant","sp102_P2E","PRE","tap","a","sp102"
"368","24","relevante","82","0","sp102_P2E","PRE","trill","0","sp102"
"369","25","minería","34","1 True","sp102_P2E","PRE","tap","1","sp102"
"370","26","por","50","approximant","sp102_P2E","PRE","tap","a","sp102"
"371","1","norte","24","1 True","sp102_P2E","PRE","tap","1","sp102"
"372","2","acerca","37","approximant","sp102_P2E","PRE","tap","a","sp102"
"373","3","sería","27","1 True","sp102_P2E","PRE","tap","1","sp102"
"374","4","fuerte","38","approximant","sp102_P2E","PRE","tap","a","sp102"
"375","5","repente","50","0","sp102_P2E","PRE","trill","0","sp102"
