"","sentence","token","duration","occlusions","participant","time","is_trill","no_occlusions","level"
"1","1","Roberto","81","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"2","2","Roberto","18","1 True","sp1_P1E","POST","tap","1","sp1"
"3","3","para","23","1 True","sp1_P1E","POST","tap","1","sp1"
"4","4","América","21","1 True","sp1_P1E","POST","tap","1","sp1"
"5","5","Caribe","31","1 True","sp1_P1E","POST","tap","1","sp1"
"6","6","pérdida","27","1 True","sp1_P1E","POST","tap","1","sp1"
"7","7","región","77","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"8","8","relacionada","38","0","sp1_P1E","POST","trill","0","sp1"
"9","9","rápida","81","0","sp1_P1E","POST","trill","0","sp1"
"10","10","tierras","76","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"11","11","para","24","1 True","sp1_P1E","POST","tap","1","sp1"
"12","12","pérdida","36","approximant","sp1_P1E","POST","tap","a","sp1"
"13","13","desarrollo","57","1","sp1_P1E","POST","trill","1","sp1"
"14","14","infraestructura","41","1 True","sp1_P1E","POST","tap","1","sp1"
"15","15","relacionada","111","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"16","16","carreteras","75","3 + frication (dr)","sp1_P1E","POST","trill","3","sp1"
"17","17","carreteras","22","1 True","sp1_P1E","POST","tap","1","sp1"
"18","18","para","19","1 True","sp1_P1E","POST","tap","1","sp1"
"19","19","carros","50","2","sp1_P1E","POST","trill","2","sp1"
"20","20","carrozas","58","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"21","21","rotundo ","65","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"22","22","productor","43","approximant","sp1_P1E","POST","tap","a","sp1"
"23","23","materia","48","approximant","sp1_P1E","POST","tap","a","sp1"
"24","24","relevante","70","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"25","25","minería","39","1 True","sp1_P1E","POST","tap","1","sp1"
"26","26","por","26","1 True","sp1_P1E","POST","tap","1","sp1"
"27","1","norte","22","1 True","sp1_P1E","POST","tap","1","sp1"
"28","2","acerca","32","approximant","sp1_P1E","POST","tap","a","sp1"
"29","3","sería","14","1 True","sp1_P1E","POST","tap","1","sp1"
"30","4","fuerte","15","1 True","sp1_P1E","POST","tap","1","sp1"
"31","5","repente","71","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"32","7","verlo","20","1 True","sp1_P1E","POST","tap","1","sp1"
"33","8","convinieron","22","1 True","sp1_P1E","POST","tap","1","sp1"
"34","9","primero","19","1 True","sp1_P1E","POST","tap","1","sp1"
"35","10","consiguiera","39","1 True","sp1_P1E","POST","tap","1","sp1"
"36","11","quitarle","23","1 True","sp1_P1E","POST","tap","1","sp1"
"37","12","seria","21","1 True","sp1_P1E","POST","tap","1","sp1"
"38","13","fuerte","26","1 True","sp1_P1E","POST","tap","1","sp1"
"39","14","norte","25","1 True","sp1_P1E","POST","tap","1","sp1"
"40","15","soplar","22","1 True","sp1_P1E","POST","tap","1","sp1"
"41","16","furia","23","1 True","sp1_P1E","POST","tap","1","sp1"
"42","17","pero","25","1 True","sp1_P1E","POST","tap","1","sp1"
"43","18","aferraba","76","1 True","sp1_P1E","POST","trill","1","sp1"
"44","19","norte","30","1 True","sp1_P1E","POST","tap","1","sp1"
"45","20","esplendor ","27","1 True","sp1_P1E","POST","tap","1","sp1"
"46","21","arrojó","64","2 + frication (dr)","sp1_P1E","POST","trill","2","sp1"
"47","22","norte","24","1 True","sp1_P1E","POST","tap","1","sp1"
"48","23","reconocer","51","1 + frication (dr)","sp1_P1E","POST","trill","1","sp1"
"49","24","reconocer","23","1 True","sp1_P1E","POST","tap","1","sp1"
"50","25","superioridad (a)","16","1 True","sp1_P1E","POST","tap","1","sp1"
"51","26","superioridad (b)","17","1 True","sp1_P1E","POST","tap","1","sp1"
"52","1","Roberto","120","0","sp1_P1E","PRE","trill","0","sp1"
"53","2","Roberto","49","approximant","sp1_P1E","PRE","tap","a","sp1"
"54","3","para","34","1 TRUE","sp1_P1E","PRE","tap","1","sp1"
"55","4","América","39","1 TRUE","sp1_P1E","PRE","tap","1","sp1"
"56","5","Caribe","32","approximant","sp1_P1E","PRE","tap","a","sp1"
"57","6","pérdida","41","approximant","sp1_P1E","PRE","tap","a","sp1"
"58","7","región","117","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"59","8","relacionada","80","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"60","9","rápida","60","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"61","10","tierras","60","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"62","11","para","24","1 tap TRUE","sp1_P1E","PRE","tap","1","sp1"
"63","12","pérdida","75","approximant","sp1_P1E","PRE","tap","a","sp1"
"64","13","desarrollo","136","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"65","14","infraestructura","116","approximant","sp1_P1E","PRE","tap","a","sp1"
"66","15","relacionada","120","0","sp1_P1E","PRE","trill","0","sp1"
"67","16","carreteras","136","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"68","17","carreteras","48","1 tap TRUE","sp1_P1E","PRE","tap","1","sp1"
"69","18","para","29","1 tap TRUE","sp1_P1E","PRE","tap","1","sp1"
"70","19","carros","46","2","sp1_P1E","PRE","trill","2","sp1"
"71","20","carrozas","77","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"72","21","rotundo ","87","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"73","22","productor","15","1 tap TRUE","sp1_P1E","PRE","tap","1","sp1"
"74","23","materia","26","1 tap TRUE","sp1_P1E","PRE","tap","1","sp1"
"75","24","relevante","113","0 + frication (dr)","sp1_P1E","PRE","trill","0","sp1"
"76","25","minería","111","approximant + frication (dr)","sp1_P1E","PRE","tap","a","sp1"
"77","26","por","34","approximant","sp1_P1E","PRE","tap","a","sp1"
"78","1","norte","66","0 approximant","sp1_P1E","PRE","tap","0","sp1"
"79","2","acerca","69","1 True","sp1_P1E","PRE","tap","1","sp1"
"80","3","sería","26","1 True","sp1_P1E","PRE","tap","1","sp1"
"81","4","fuerte","50","1 true","sp1_P1E","PRE","tap","1","sp1"
"82","5","repente","54","1 + frication (dr)","sp1_P1E","PRE","trill","1","sp1"
