"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_tap_srt",5,13756.8687403238,13784.0987478154,-6873.43437016188,13746.8687403238,NA,NA,NA
"time_mod_tap_srt",6,13744.0836131413,13776.7596221313,-6866.04180657067,13732.0836131413,14.7851271824275,1,0.000120481996920993
"group_mod_tap_srt",8,13744.6911905968,13788.2592025834,-6864.34559529842,13728.6911905968,3.39242254449709,2,0.183376975008978
"int_mod_tap_srt",10,13748.1978860156,13802.6579009988,-6864.09894300778,13728.1978860156,0.49330458127406,2,0.781412350690446
