"","no.par","AIC","logLik","LR.stat","df","Pr(>Chisq)"
"null_mod_trill_pct",5,634.001242097491,-312.000621048746,NA,NA,NA
"time_mod_trill_pct",6,526.617185231224,-257.308592615612,109.384056866267,1,1.33700622758153e-25
"group_mod_trill_pct",8,530.068828459358,-257.034414229679,0.548356771866452,2,0.760196454810825
"int_mod_trill_pct",10,526.422958964621,-253.211479482311,7.64586949473681,2,0.0218635426752318
