"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_trill_pct",5,727.806560076036,745.76149497859,-358.903280038018,717.806560076036,NA,NA,NA
"time_mod_trill_pct",6,708.916216990983,730.462138874049,-348.458108495492,696.916216990983,20.8903430850525,1,4.86340261406221e-06
"group_mod_trill_pct",8,712.703454779682,741.431350623769,-348.351727389841,696.703454779682,0.212762211301538,2,0.899081937568705
"int_mod_trill_pct",10,715.808874596496,751.718744401605,-347.904437298248,695.808874596496,0.894580183185781,2,0.639358408870936
