"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"null_mod_trill_lectura",5,3726.93190326233,3746.88922599787,-1858.46595163116,3716.93190326233,NA,NA,NA
"time_mod_trill_lectura",6,3714.39461524844,3738.34340253109,-1851.19730762422,3702.39461524844,14.5372880138871,1,0.000137412660356196
"group_mod_trill_lectura",8,3718.27745028821,3750.20916666507,-1851.1387251441,3702.27745028821,0.117164960234277,2,0.943100450156034
"int_mod_trill_lectura",10,3716.66863684433,3756.58328231541,-1848.33431842217,3696.66863684433,5.60881344387235,2,0.0605426791632883
